start,end,speaker
16.89,17.73,SPEAKER_02
17.73,17.85,SPEAKER_00
17.85,20.03,SPEAKER_02
30.59,34.03,SPEAKER_02
37.88,38.34,SPEAKER_02
52.31,62.67,SPEAKER_02
71.48,72.29,SPEAKER_03
94.21,95.1,SPEAKER_03
95.27,101.96,SPEAKER_03
106.63,109.48,SPEAKER_03
113.14,114.73,SPEAKER_03
117.89,117.92,SPEAKER_03
117.92,118.04,SPEAKER_07
118.04,118.38,SPEAKER_03
118.38,118.39,SPEAKER_07
118.39,118.86,SPEAKER_03
121.46,122.48,SPEAKER_03
122.98,125.23,SPEAKER_03
129.68,131.01,SPEAKER_03
153.83,156.29,SPEAKER_03
188.19,188.63,SPEAKER_03
193.01,194.33,SPEAKER_03
198.9,199.59,SPEAKER_03
205.42,206.94,SPEAKER_03
207.37,207.44,SPEAKER_00
207.44,207.75,SPEAKER_03
212.23,213.48,SPEAKER_03
219.03,219.47,SPEAKER_03
224.91,232.23,SPEAKER_03
232.25,235.5,SPEAKER_03
242.64,247.55,SPEAKER_08
248.16,250.32,SPEAKER_08
251.22,251.77,SPEAKER_08
251.94,278.59,SPEAKER_08
259.28,259.82,SPEAKER_00
278.97,279.67,SPEAKER_08
280.81,280.85,SPEAKER_08
281.98,289.13,SPEAKER_08
289.2,294.2,SPEAKER_08
290.91,291.58,SPEAKER_00
294.21,315.46,SPEAKER_08
298.55,299.43,SPEAKER_00
312.56,313.57,SPEAKER_00
315.64,323.25,SPEAKER_08
323.78,336.0,SPEAKER_08
333.94,334.56,SPEAKER_07
336.13,340.92,SPEAKER_08
341.19,346.04,SPEAKER_08
349.21,349.83,SPEAKER_08
349.97,350.37,SPEAKER_08
350.96,351.15,SPEAKER_08
351.39,352.11,SPEAKER_08
352.26,358.95,SPEAKER_08
359.11,389.49,SPEAKER_08
382.64,382.65,SPEAKER_00
389.67,398.03,SPEAKER_08
393.81,394.03,SPEAKER_00
394.57,394.86,SPEAKER_00
398.2,398.5,SPEAKER_08
414.45,415.17,SPEAKER_08
415.29,415.92,SPEAKER_08
415.97,417.92,SPEAKER_08
418.19,425.15,SPEAKER_08
422.68,423.32,SPEAKER_00
425.18,427.04,SPEAKER_08
437.94,438.04,SPEAKER_08
439.96,440.11,SPEAKER_08
440.54,440.81,SPEAKER_08
440.91,441.01,SPEAKER_08
441.46,441.8,SPEAKER_08
441.85,442.04,SPEAKER_08
445.38,445.6,SPEAKER_08
445.62,445.78,SPEAKER_08
447.98,448.11,SPEAKER_08
448.15,448.33,SPEAKER_08
448.97,452.38,SPEAKER_08
452.62,455.25,SPEAKER_08
455.49,455.67,SPEAKER_01
455.79,455.88,SPEAKER_01
455.88,456.26,SPEAKER_08
456.55,466.95,SPEAKER_08
467.23,472.72,SPEAKER_08
467.3,468.16,SPEAKER_00
469.76,470.03,SPEAKER_00
