start,end,text
0.0,30.0, Hello everybody and welcome to the grand final of WSC 2008.
35.0,39.0," Thank each and every one of you for participating in this tournament and of course, massive congratulations to INDIA"
45.0,48.0, and China And China. And China.
48.0,52.0, And China.
52.0,55.0, We're making it all the way up to the grand final.
55.0,60.0," Now without further ado, I would like to invite over Aishah Ahmad, who is chairing this round,"
60.0,63.0, to introduce you to the rest of the panel and the teams.
63.0,70.0, Thank you. to introduce you to the rest of the panel and the piece.
73.0,76.0, Hi everyone. Are we excited?
79.0,89.0, This is our first All Asia Final. This is also our first all ESL final.
89.0,97.0, We're all sure it's going to be a great debate.
97.0,99.0, So let me introduce the teams to you today.
99.0,107.0, On team proposition we've got Team India.
110.0,113.0," Speaking from India today are Hemant Bahadur Jagdevarti,"
115.0,118.0," Dejas Subramanian,"
120.0,122.0, and Kanan J. Ashok.
123.0,131.0, Hemant will be working on the team. Supporting them on the team this year are Mania Gupta and Shalanya Aghidri.
134.0,137.0, In opposition today we've got Team China.
140.0,142.0, Their speaker is Brian Lee.
144.0,148.0, Second speaker is Matt Song.
148.0,152.0, Third speaker is Edwin Chen.
152.0,156.0, Brian will be a little more inclined. Supporting them this year are
156.0,160.0, Lyndon Lee and
160.0,164.0, Stone Kim.
164.0,170.0, I would also like to announce the judging panel for today. I am not the chair. The chair today is Claire Ryan from New Zealand.
174.0,177.0," And there's obviously myself, I'm from Pakistan."
180.0,183.0, We've got Professor Joshua Park from the Republic of India.
187.0,190.0, We've got Alex Vieigert from Qatar.
193.0,195.0, Amir Amour from Malaysia.
199.0,201.0, Luke Churchyard from South Africa.
217.0,228.0," Julio Julio Meyer from Mexico. Dina Tabianyan from Denmark. And perhaps the most exciting one of all, from Croatia, Luca Petrovic. The have in the House today is that this House believes that the West"
228.0,233.0, should end all arms sales and military cooperation with Saudi Arabia. Let me get down and we
233.0,235.0," can start, okay?"
242.0,252.0, The difference between a rogue state and a trusted member of the international community cannot be whether the state has oil.
252.0,259.0," It has not been established beyond all sensible doubt by the UN, Amnesty International and the world community at large"
259.0,270.5, that Saudi Arabia has committed and will continue to commit war crimes and crimes against humanity at an industrial scale in Yemen. And so just as we would not have sold arms to Rabada in
270.5,277.1," 1994, Serbia in 1998 and Syria in 2013, it's time to stop selling arms to Saudi Arabia."
277.24,283.04," It's time to put Saudi at arms length. What do we support? Starting tomorrow, starting"
283.04,287.0," today, starting now, we will stop the sale of weaponry to Saudi Arabia. What do we support? Starting tomorrow, starting today, starting now, we will stop the sale of weaponry to the server."
287.0,294.0," What do we need? We need guns, tanks, the fighter jets that are raining hellfire right at this moment in Yemen."
294.0,310.0," No more $100 billion on states, no more bases to train Saudi troops, no more shattering military tech necessary for the upkeep and use of existing military infrastructure. In short, we will end the military cooperation because there's a gap between right and wrong"
310.0,313.0, and Team India is here to go back or go home.
313.0,316.0," To be back in our good graces again, what should they do?"
316.0,317.0, Three things.
317.0,323.0," One, halt war crimes in Yemen immediately and stop deliberate asterisks on hospitals and schools."
323.0,326.62," Two, allow the free flow of food, water and medicines"
326.62,329.68," by ending the blockade across land, sea and air"
329.68,331.1, that they are currently enforcing
331.1,333.26, by controlling the Modena airport
333.26,335.78, and bombing the Al-Jabari port.
336.14,338.26," Three, stopping funding terrorists,"
338.4,339.9, stopping directly funding terrorists
339.9,341.56," by handing money to rappers,"
341.96,343.72, stopping indirectly funding them
343.72,346.94, by refusing to enforce anti-terror policies.
