start,end,speaker
23.98,38.03,SPEAKER_04
49.59,49.76,SPEAKER_04
52.97,53.04,SPEAKER_04
53.05,53.61,SPEAKER_04
53.96,54.03,SPEAKER_04
60.97,63.51,SPEAKER_04
63.78,69.81,SPEAKER_04
70.33,79.07,SPEAKER_04
79.71,81.86,SPEAKER_04
82.03,82.26,SPEAKER_04
82.3,82.63,SPEAKER_04
85.49,85.5,SPEAKER_04
85.76,85.77,SPEAKER_04
85.81,85.82,SPEAKER_04
85.91,91.41,SPEAKER_04
91.7,97.99,SPEAKER_04
98.13,116.54,SPEAKER_04
116.84,118.75,SPEAKER_04
118.85,120.64,SPEAKER_04
120.94,131.61,SPEAKER_04
122.68,122.7,SPEAKER_00
122.7,123.83,SPEAKER_06
123.83,123.84,SPEAKER_00
128.87,129.43,SPEAKER_06
131.82,132.03,SPEAKER_04
133.9,134.47,SPEAKER_04
134.04,134.07,SPEAKER_06
137.97,151.96,SPEAKER_04
152.46,160.78,SPEAKER_04
160.98,161.83,SPEAKER_04
161.93,199.07,SPEAKER_04
183.28,183.48,SPEAKER_06
199.24,202.65,SPEAKER_02
202.65,203.46,SPEAKER_04
203.56,204.37,SPEAKER_04
204.69,209.53,SPEAKER_04
209.94,237.07,SPEAKER_04
237.26,247.38,SPEAKER_04
247.91,329.63,SPEAKER_04
253.14,253.19,SPEAKER_03
291.87,292.1,SPEAKER_00
329.97,370.86,SPEAKER_04
347.42,348.11,SPEAKER_00
349.21,349.9,SPEAKER_00
371.2,373.46,SPEAKER_04
373.61,380.12,SPEAKER_04
380.22,383.97,SPEAKER_04
384.34,414.97,SPEAKER_04
384.73,384.93,SPEAKER_06
385.25,385.34,SPEAKER_06
387.9,388.34,SPEAKER_00
395.23,395.6,SPEAKER_00
399.55,400.02,SPEAKER_00
415.09,434.04,SPEAKER_04
417.5,417.91,SPEAKER_03
447.98,448.03,SPEAKER_04
448.08,451.91,SPEAKER_04
451.98,451.99,SPEAKER_04
452.18,456.25,SPEAKER_04
457.28,458.02,SPEAKER_04
458.69,459.37,SPEAKER_04
459.54,500.29,SPEAKER_04
500.54,507.7,SPEAKER_04
512.15,512.56,SPEAKER_02
513.27,520.32,SPEAKER_02
520.64,540.66,SPEAKER_02
540.76,636.86,SPEAKER_02
542.12,542.19,SPEAKER_06
576.06,576.48,SPEAKER_06
593.34,593.58,SPEAKER_00
610.92,611.61,SPEAKER_00
620.91,621.57,SPEAKER_00
637.26,655.05,SPEAKER_02
653.68,654.9,SPEAKER_00
655.24,713.17,SPEAKER_02
666.78,666.8,SPEAKER_06
684.08,684.84,SPEAKER_04
713.19,715.46,SPEAKER_02
715.92,756.79,SPEAKER_02
757.45,806.03,SPEAKER_02
759.22,760.23,SPEAKER_03
765.14,765.45,SPEAKER_03
766.34,766.65,SPEAKER_03
776.3,777.11,SPEAKER_00
780.4,780.99,SPEAKER_00
801.31,801.61,SPEAKER_00
809.54,811.8,SPEAKER_02
813.96,845.45,SPEAKER_02
826.38,826.82,SPEAKER_06
833.15,833.76,SPEAKER_00
841.2,841.44,SPEAKER_06
846.08,857.3,SPEAKER_01
857.85,867.51,SPEAKER_02
867.76,904.14,SPEAKER_02
868.03,869.03,SPEAKER_00
869.03,869.28,SPEAKER_06
901.85,902.35,SPEAKER_00
904.41,960.57,SPEAKER_02
948.86,949.47,SPEAKER_00
960.62,994.53,SPEAKER_02
994.85,1011.69,SPEAKER_02
1001.26,1001.97,SPEAKER_00
1002.98,1003.47,SPEAKER_00
1017.75,1020.39,SPEAKER_01
1020.46,1020.7,SPEAKER_01
1020.75,1021.04,SPEAKER_01
1021.93,1022.03,SPEAKER_01
1022.98,1024.58,SPEAKER_01
1024.78,1025.05,SPEAKER_01
1026.35,1026.49,SPEAKER_01
1026.5,1061.81,SPEAKER_01
1062.01,1075.04,SPEAKER_01
1084.98,1185.03,SPEAKER_01
1093.08,1093.56,SPEAKER_00
1130.89,1131.3,SPEAKER_00
1143.57,1143.68,SPEAKER_00
1143.68,1143.75,SPEAKER_06
1143.75,1143.85,SPEAKER_00
1179.48,1179.73,SPEAKER_00
1187.14,1187.98,SPEAKER_01
1189.97,1190.09,SPEAKER_01
1190.97,1192.76,SPEAKER_01
1192.79,1192.89,SPEAKER_01
1192.98,1207.03,SPEAKER_01
1207.56,1208.03,SPEAKER_01
1214.41,1316.75,SPEAKER_01
1238.03,1238.79,SPEAKER_00
1317.97,1350.01,SPEAKER_01
1350.98,1353.24,SPEAKER_05
1354.42,1354.45,SPEAKER_05
1354.86,1354.87,SPEAKER_05
1354.89,1354.91,SPEAKER_05
1356.97,1360.12,SPEAKER_05
1360.38,1367.33,SPEAKER_01
1367.6,1376.02,SPEAKER_01
1376.19,1387.04,SPEAKER_01
1379.19,1379.33,SPEAKER_00
1394.97,1422.04,SPEAKER_01
1429.97,1445.04,SPEAKER_01
1445.22,1446.03,SPEAKER_01
1446.98,1447.03,SPEAKER_01
1455.9,1456.43,SPEAKER_01
1456.95,1479.11,SPEAKER_01
1479.18,1479.9,SPEAKER_01
1480.32,1483.5,SPEAKER_01
1483.8,1495.04,SPEAKER_01
1500.98,1512.57,SPEAKER_01
1517.06,1578.28,SPEAKER_00
1586.13,1586.15,SPEAKER_00
1586.18,1586.2,SPEAKER_00
1586.23,1586.35,SPEAKER_00
1586.7,1636.03,SPEAKER_00
1595.04,1595.06,SPEAKER_06
1595.11,1595.17,SPEAKER_06
1626.21,1626.97,SPEAKER_05
1626.97,1627.1,SPEAKER_01
1638.78,1639.03,SPEAKER_00
1639.69,1641.02,SPEAKER_00
1654.96,1655.03,SPEAKER_00
1655.97,1656.03,SPEAKER_00
1658.0,1658.19,SPEAKER_00
1658.83,1660.02,SPEAKER_00
1660.14,1661.29,SPEAKER_00
1661.32,1661.44,SPEAKER_00
1678.98,1688.04,SPEAKER_00
1688.26,1689.57,SPEAKER_00
1689.59,1690.89,SPEAKER_00
1690.96,1691.94,SPEAKER_00
1691.97,1700.04,SPEAKER_00
1695.63,1696.49,SPEAKER_05
1703.38,1709.03,SPEAKER_00
1709.11,1709.37,SPEAKER_00
1709.69,1710.03,SPEAKER_00
1710.36,1710.43,SPEAKER_00
