start,end,text
0.0,22.72," In the age of Trump, where government shouts fake news at every criticism."
23.68,25.08," In the age of surveillance,"
26.92,28.88," where your citizens are rendered defenseless against the prying eyes of the state,"
29.54,31.68," and in the age of rising military agendas,"
32.18,33.76," corrupt governments, and scandals"
33.76,35.24," such as the recent Panama Gate,"
35.78,38.76, we think independent state is the ultimate defense
38.76,41.32, that we have against the indoctrination by the state.
41.74,42.88," Because understand this,"
43.18,46.72," media is a very, very important tool. The"
46.72,51.38, way that this tool is used depends on whose hands it is in. And we think that a government
51.38,56.16," whose sole purpose is to get re-elected, it's a very dangerous hand to put it in. Which"
56.16,61.5, is why we at Side Proposition are proud to propose this motion. But let's define to you
61.5,69.5," this motion, right? What do we mean? When we talk to you about a democratic state, it's self-explanatory, but basically a government that's elected in by a majority vote."
70.32,79.3," When we talk to you about ownership over media organizations, we think that government shouldn't have full or partial ownership. It can't buy shares in these channels."
79.3,89.0," And more importantly, there can be no funding. So these media organizations are basically newspapers, or magazines, or for instance, television channels as well. We think our burden in this"
89.0,95.0, debate is simply to prove to you that basically the state owning media goes against the principles
95.0,98.0," of democracy. And if we prove that to you, we win this debate."
98.0,101.0, So let's move on to the three lines of argument that we have with you.
101.0,109.76," Number one, how on a principle level the state should not have the ability to manipulate voters. Secondly, the harms that this has on the democratic"
109.76,115.84," process. And three, which is our second speaker case, how state-run media undermines journalistic"
115.84,119.82," integrity. So let's move on to this first argument first. And this argument is very,"
120.0,128.0, very important. Because understand that we as a opposition believe that taxpayer resources cannot be used by the state to manipulate the vote.
128.0,132.0," Whether or not they succeed in doing so, just giving them the ability is principally wrong."
132.0,137.0, Why is this so? Because we believe in the principle of having free and fair elections.
137.0,140.0, And there's multiple examples of this in the status quo as well.
140.0,151.78," For instance, state funds cannot be used to fund election campaigns. For instance, you have an interim government before elections because you make sure that the previous government does not use state apparatuses to influence the next election."
152.1,160.62," The purpose of these examples is to prove to you that in this case, the state has to ensure absolute neutrality, which does not come about through media."
161.0,165.5, We think that governments will always have this vested interest of being
165.5,171.32, elected again. That very interest is one big reason for why we can't give media into the
171.32,175.54," good hands of these governments, right? Because we think it goes against or contradicts the"
175.54,179.7, principles of democracy because you're using taxpayer money in order to do so. And that
179.7,183.94," we think is principally a part. So on a very deontological level, regardless of whether"
183.94,188.22," they actually end up manipulating voters, the fact that you give them this ability, you think, is"
188.22,192.24, wrong and goes against the principles of democracy. But let's then prove to you within our second
192.24,196.68," line of argument where this manipulation actually takes place and is actually very, very dangerous."
196.86,197.06, Ma'am.
197.16,198.86," But here, but before that, go ahead, Meadow."
199.24,202.4, Do you oppose state-mandated curricula in public schools?
202.62,205.16," Sit down, Meadow. Yes, we do. Okay, let's"
205.16,208.44, move on to our second line of argument. Let's talk here about the importance of media in
208.44,213.26, the democratic process. Understand that the media is basically the only source of information
213.26,219.4," that we as people have. So we rely on TV channels, we rely on news agencies to inform ourselves,"
219.7,224.48, and this information is what we then use to hold the government accountable. The information
224.48,228.88," that we then use to vote in another government. So the importance of media, it's very, very,"
228.96,233.88," very crucial to the process. Having proven this to you, let's explain to you how this"
233.88,238.62," purpose is then manipulated by states in two scenarios. First, where there are counter"
238.62,242.74," narratives in the form of corporations, and secondly, where there aren't. So first scenario,"
243.02,245.0," where there are counter narratives, which is their best case't. So for a scenario, where there are counter-narratives,"
245.0,246.0," which is their best case scenario,"
246.0,248.0, so we'll just screw this here.
248.0,250.0," So even if these other counter-narratives exist,"
250.0,252.0," even if you have other channels, what is the problem?"
252.0,255.0, The problem is that there's preferential treatment
255.0,257.0, given to government-owned channels.
257.0,260.0, They tend to not fund or rely on private channels
260.0,262.0, because they expect that they can turn against them
262.0,265.4," any time, or that they're not entirely loyal to the state."
265.64,267.4, Which is why they focus on their own channel.
267.7,268.52, Why is this harmful?
268.7,269.7," Ma'am, sit down, ma'am."
269.98,273.62, This is harmful because the state then controls the way information goes out.
273.72,281.1," So, for instance, interviews that bring in people from Harlem, or leaders, are taking place within these news channels,"
281.36,283.82, where the government controls the way the interview takes place.
283.82,288.18," Your government, when your people watch that, are influenced by that, because that's what happens."
288.6,292.78," Secondly, the access even to government, right? So for instance, allowing journalists into"
292.78,297.12," parliament, giving them the resources that they need to make news stories. We think these"
297.12,301.5, are the ways in which governments influence the way that their media houses represent
301.5,307.5," information, right? But thirdly, Frank, you think that things like heavy taxation on other corporations"
307.5,310.64," takes place, on other news channels, to make sure that they're not that efficient."
311.02,312.54, What is the motive of doing all of this?
312.54,316.06, The motive of doing all of this is to ensure that people focus on their channel.
316.42,317.34," Why does this happen, right?"
317.36,318.42, You've seen the example of Bangladesh.
318.8,323.22," When in 2014, when there were mass protests, there was a media blackout, and the only channel"
323.22,328.5, which was open was the government's own channel. That proves to you that the motives of the state are very dangerous
328.5,333.0," when it comes to the media. But lastly, we think as far as access to news stories goes,"
333.3,337.6," so because the government itself is aware of things as they take place, right, the government"
337.6,341.9," knows everything first, which is why it takes this information and gives it to their channels"
341.9,348.04, first. So the first source of information in this case is this news channel that is owned by the state. Why is that harmful?
348.38,351.78, Because people then rely on this channel to give them the first source of information.
352.08,356.48," The first opinion that they build on any story comes from this news channel, which we think"
356.48,361.22," is very harmful because that is the opinion that stays in most circumstances, right? So"
361.22,365.14," we think that it guarantees that state gives you biased information,"
369.4,373.08," this information sticks, and other channels cannot counter it. But secondly, right, let's talk to you about our best case scenario, which is how there are no other counters,"
373.22,378.04, right? We have examples of where you have only state-run media. The problem here is
