start,end,speaker
18.04,23.82,SPEAKER_01
24.35,26.24,SPEAKER_01
26.44,28.03,SPEAKER_01
28.31,28.33,SPEAKER_01
28.36,28.4,SPEAKER_01
34.54,34.84,SPEAKER_01
34.91,35.3,SPEAKER_01
35.32,35.33,SPEAKER_01
35.72,48.55,SPEAKER_01
48.68,52.07,SPEAKER_01
52.26,53.2,SPEAKER_01
53.51,54.03,SPEAKER_01
69.98,70.18,SPEAKER_01
70.23,75.02,SPEAKER_01
82.97,83.31,SPEAKER_01
83.51,93.2,SPEAKER_01
93.21,143.5,SPEAKER_01
143.6,160.02,SPEAKER_01
155.67,155.87,SPEAKER_00
156.77,157.17,SPEAKER_00
171.33,171.45,SPEAKER_01
172.16,172.22,SPEAKER_01
173.46,175.48,SPEAKER_01
175.48,175.94,SPEAKER_04
175.94,175.95,SPEAKER_01
175.95,177.37,SPEAKER_04
177.37,177.57,SPEAKER_01
178.75,190.4,SPEAKER_01
190.48,193.0,SPEAKER_01
193.1,205.03,SPEAKER_01
198.85,199.04,SPEAKER_00
202.08,202.14,SPEAKER_00
202.16,202.48,SPEAKER_00
205.18,209.75,SPEAKER_01
207.39,207.68,SPEAKER_00
207.75,207.95,SPEAKER_00
209.87,231.56,SPEAKER_01
228.13,228.16,SPEAKER_00
231.71,316.81,SPEAKER_01
316.93,335.0,SPEAKER_01
335.15,361.98,SPEAKER_01
362.2,363.03,SPEAKER_01
363.2,364.02,SPEAKER_01
364.08,365.54,SPEAKER_01
368.14,369.04,SPEAKER_01
369.19,372.61,SPEAKER_01
372.66,382.82,SPEAKER_01
376.51,377.54,SPEAKER_00
382.84,437.03,SPEAKER_01
437.75,438.04,SPEAKER_01
449.97,484.28,SPEAKER_01
469.21,470.22,SPEAKER_00
484.38,486.03,SPEAKER_01
486.1,493.03,SPEAKER_01
493.83,494.03,SPEAKER_01
494.38,494.4,SPEAKER_01
494.42,494.47,SPEAKER_01
495.68,496.04,SPEAKER_01
510.31,510.63,SPEAKER_01
510.8,514.04,SPEAKER_01
514.09,517.33,SPEAKER_01
520.86,545.06,SPEAKER_05
545.18,578.24,SPEAKER_05
553.53,553.97,SPEAKER_00
555.72,555.74,SPEAKER_00
578.4,583.28,SPEAKER_05
583.69,621.23,SPEAKER_05
601.64,602.2,SPEAKER_03
621.32,638.33,SPEAKER_05
638.73,639.93,SPEAKER_05
639.02,639.36,SPEAKER_00
640.18,648.98,SPEAKER_05
649.4,653.19,SPEAKER_05
653.35,667.52,SPEAKER_05
667.79,680.8,SPEAKER_05
675.6,675.77,SPEAKER_00
680.84,706.05,SPEAKER_05
706.27,719.75,SPEAKER_05
720.07,729.72,SPEAKER_05
721.1,721.23,SPEAKER_00
723.09,723.41,SPEAKER_00
725.81,725.86,SPEAKER_04
729.96,731.46,SPEAKER_05
731.68,732.79,SPEAKER_05
733.05,747.51,SPEAKER_05
747.85,782.61,SPEAKER_05
771.61,772.18,SPEAKER_00
782.93,784.52,SPEAKER_05
784.65,790.83,SPEAKER_05
791.11,832.04,SPEAKER_05
832.12,873.72,SPEAKER_05
852.78,853.89,SPEAKER_03
873.82,887.03,SPEAKER_05
882.15,882.59,SPEAKER_00
887.03,892.03,SPEAKER_02
892.31,892.68,SPEAKER_02
892.77,893.71,SPEAKER_02
895.03,895.81,SPEAKER_05
897.8,918.03,SPEAKER_05
918.08,920.09,SPEAKER_05
920.53,924.07,SPEAKER_05
