start,end,text
0.0,26.14, The world has had enough of the rich using developing countries as battery ramps for their own development. Rich corporations and individuals
26.14,27.96, that don't care about the economic
27.96,30.1," fabric of your own country, but rather"
30.1,32.06," care about their own selfish motivations,"
32.46,34.18, their own profit-driven incentives.
34.52,35.92, When these rich corporations
35.92,37.94, are allowed to go and buy entire
37.94,40.18, areas that not only give them economic
40.18,42.14," capital inside your own country,"
42.42,43.98, but also gives them political leverage
43.98,50.4, because they're the sole investors and sole owners of these areas. Meaning that municipalities
50.4,56.4," have to listen to what they say, have to bow down to their claims over that land. We think"
56.4,62.4," that that sort of ownership, that sort of reach of sub-branching is unjustified. Two"
62.4,68.44," burdens in this debate today. First of all, how foreign owners hinders"
68.44,72.64," the ability of these countries to develop and secondly, how it facilitates a form of"
72.64,76.48, gentrification in these countries. My second speaker is going to come up and talk about
76.48,81.48, why it's immoral for people coming from developed countries to benefit off of this land. What
81.48,89.74," is the model that we propose in our house today? First of all, we think that there is no ownership of land by entities that have a majority of foreign ownership,"
90.02,94.6," whether this be individuals or whether this be corporations. Second, we think that these"
94.6,100.66," governments, if they want foreign investment, will have to set up export processing zones"
100.66,107.0," or investment capsules, as seen in Bangladesh and India and multitude of other developing countries."
107.0,113.0, These are areas in which foreign corporations can lease or rent land where foreign corporations
113.0,120.0, are concentrated meaning that 20 or 30 different corporations share the same amount of area of land.
120.0,147.44," Finally, any other benefits that the government wants to give these corporations, like tax breaks and tax holidays, in order to make their countries more attractive for foreign direct investment, will all still apply under our world. What does this be comparative of the two worlds look like? own land, any corporation is able to come into your country and bid out that land if"
147.44,152.0," it is for sale, meaning that they can occupy and buy any land that is up for sale."
152.0,158.38," Under our work, the government has exclusive control as to where these corporations are"
158.38,164.08," located, what their level of involvement is in the local community, and they are able"
164.08,172.0, to cluster these companies in a specific area to limit their sphere of influence both politically and economically.
172.0,178.0," Before I move on, would you ban people above a certain income bracket from buying land from the poor?"
178.0,187.64," If that comes at the cost of displacement of the poor or it comes at the cost of gentrification of these poor people in their land, to the point that they can't live on their land, then sure,"
187.76,193.86," we're alright with limiting that as well. Why do foreigners want to own that? For corporations,"
194.08,198.32," the incentives are simple. They want to tap into different markets, or cheaper labor,"
198.32,203.44," or lower property taxes, that reduces their cost of production relative to if they were"
203.44,205.12, producing in their own country.
205.12,209.92," For individuals, it's a method by which they want to protect their wealth."
209.92,216.0," Meaning that it's safer to invest in a developing country because the property taxes are less,"
216.0,219.2," you'll be charged less by the government for keeping your money here,"
219.2,222.0, but it's also as investment in speculative markets.
222.0,225.84," If the price of land is on the rise in Bangladesh or India, then this is a"
225.84,227.92, lucrative market for individuals to tap
227.92,229.8, into. Note that
229.8,232.02, these incentive structures all
232.02,233.9, cater to the personal benefits
233.9,235.38, of these corporations.
235.76,237.92, Meaning that even if
237.92,239.84, they can show that some corporations
239.84,241.9," deserve some freedom, the fact that that"
241.9,243.92, freedom comes at the cost of the economic
243.92,248.06, fabric of these particular countries means that we have the ability to limit that freedom
248.06,248.86, in and of itself.
249.04,252.04, First argument about how it hinders the ability of these countries to develop.
252.36,253.84, What are developing countries looking?
254.1,258.86," These are countries with extremely high population densities, extremely high rates of poverty,"
259.16,266.0," a widening wealth gap, and the countries that are primarily dependent on primary and secondary tiers of production."
266.0,273.0," But also, these are emerging markets, meaning that in the next 20 or 25 years, these countries, if allowed to develop on their own,"
273.0,284.0, can create an environment in which their own economy proliferates and they become a Tier 2 country in and of itself.
284.0,288.0, What do these countries want then in order to facilitate that growth?
288.0,291.0," First of all, foreign direct investment."
291.0,297.0, We recognize that these countries often times want foreign direct investment in their own countries
297.0,301.0, in the form of investing in their own local companies to bolster their own local trade.
301.0,311.0, They at best want certain other MNCs to set up branches on their local land so that their economy also proliferates.
311.0,317.0," Secondly, these developing countries want to specialize because most developing countries have a niche that they can tap into."
317.0,326.0," For Bangladesh, it was the jute trade, the garlands trade. For countries in the Horn of Africa or in the western coast of Africa, it's a mineral trade."
326.0,330.0, It's a trade of gold and other precious metals.
330.0,335.0," Third, meaning that these countries need to have a roadmap on which they can rely."
335.0,340.0," Third, these countries are heavily incentivized for poverty alleviation."
340.0,346.0, They want to ensure that the average citizen has more purchasing power so that they can
346.0,348.0, live themselves out of poverty.
348.0,350.0," Finally, these countries want to maintain a roadmap."
350.0,352.0, What does this roadmap look like?
352.0,356.0," This roadmap looks like development, that is center outwards, meaning that they can"
356.0,358.0, start developing the center.
358.0,362.0," Once these urban centers are created, they can expand outwards."
362.0,376.0," Sporadic, random development of places that are of no strategic and economic value to them is extremely harmful for them because that limits their ability to allocate resources where it is necessary."
376.0,385.22," Why are all of these incentives better under a world where these companies are no longer able to own land. Because once you limit their ability to own land,"
385.44,389.62, you also limit their ability to distort the planning that the government has made.
389.82,390.68, What does this look like?
390.82,394.58," This means that the government, now that corporations on their own volition"
394.58,396.4," cannot create the industries that they want,"
396.74,399.74," governments have better control over what kind of jobs are created,"
399.74,410.0," what kind of industries in what tier of production are cropped up, where that industry is created as to how it can benefit the maximum number of people,"
410.0,415.0, or how it can create employment for people that can avail that employment.
415.0,423.0," But also, it allows governments to cluster these corporations together in a way that cancels out their political influence."
423.0,426.16, Meaning that one company can in no way
426.16,428.82, dictate the terms of their own state.
429.08,431.66, This means that employment is more consistent
431.66,433.94, because you are able to have stronger loss
433.94,435.8, due to the erosion of lobbying power
435.8,436.96, from these corporations.
437.32,439.88, This means better job security for people in these countries
439.88,441.74, and better industrial protection
441.74,444.12, because the terms of the state are dictated by the government.
444.38,448.1," Finally, a second argument as to how it facilitates gentrification."
448.1,454.3," Because when corporations go and buy these places, they outbid these places and increase the price of the land they stay."
454.3,462.6," In Kolkata, tobacco companies bought out slums and increased the price of land to the point that the regular average person could not avail."
462.6,465.76, The incentives are that these lands are cheap and the
465.76,467.98, economic zones that they create are
467.98,470.04, beneficial for them. But once they buy
470.04,472.32," them, this results in forced displacement"
472.32,474.06, or even if
474.06,475.64," it's not, it makes sure that the"
475.64,478.1, places are so expensive to stay in
478.1,480.16, that the local citizens
480.16,482.08, have to move out of that place if
482.08,484.16, they want to maintain their own standard of living.
484.42,487.0, This is particularly important for a number of reasons.
487.0,493.0," Firstly, because this happens often in remote locations that are home to many tribes, many minorities,"
493.0,498.0, because those are the places that have populations with the least political and non-political capital.
498.0,502.0," The protection of them is particularly important because they have the least ability to relocate,"
502.0,508.7," the least ability to preserve their own way of life. You know, we're not going to allow these corporations to dictate"
508.7,512.8, how they buy land and when they do so. We think that you will have their ability to
512.8,517.3, stay within their own countries. That is an important point that we must have. Proudly.
520.8,525.0, Zero thoughts on anything to do with land. That's what we heard from Zeit proposition.
525.0,533.0, They wanted a generic debate about whether government should be able to influence the kind of road map in which development happens in their country.
533.0,539.0, Not discussing the actual debate at hand. Whether foreign individuals should be able to own land within the country.
539.0,545.0," They just wanted a generic debate about what their national corporations. We are sorry, but that's not what this is about."
545.0,550.0, We cannot buy into the policy whose house lands on the poor.
550.0,551.0, What do we stand for?
551.0,555.0, We are happy to influence and institute basic regulations in these countries.
555.0,561.0," Anti-trust laws, insider trading regulations, things like restrictions on political campaign contributions."
561.0,564.0," If they want to talk about political influence, that is something we can regulate."
564.0,568.6, But what is the kind of land that actually gets bought up by foreign owners?
568.88,573.94," It's not natural resources, and because usually these are state-owned, it's not the most agriculturally"
573.94,577.74," productive land, because there's no reason to sell these land when people are benefiting"
577.74,583.0," from it. It's often barren, over-cultivated land that's developed in world is so round"
583.0,589.0," and round. But remember, as a state, we can still selectively choose to buy back land or have practices"
589.0,593.5," like eminent domain, but there is a high bar for that, a bar that they do not need and"
593.5,595.0, they never try to meet.
595.0,599.5, The comparative is whether we can filter out and regulate foreigners on whether they should
599.5,601.5, never be able to own land.
601.5,605.06," In developing countries, in some countries, incentivize foreign owners"
605.06,609.04, to come in and buy land through things like subsidies. Some others profit from foreign
609.04,613.26, owners by taxing them at a higher rate. They want a broad strokes span where they don't
613.26,618.48," care for the unique needs of every developing nation. They just pretend that Ghana, India"
618.48,623.76," and Zimbabwe are all at the same economic level. Obviously, we can also increase investments"
623.76,625.34, in things like public housing.
625.34,627.44, So they want to describe gentrification
627.44,629.0, as something we can still regulate.
629.0,630.6," Our three arguments are,"
630.6,631.92," there's a right to sell land,"
631.92,634.22," second, it is a win-win for the poor on the ground,"
634.22,636.94," second, we can argument on not reasonable speculation"
636.94,638.78, in developing nations is useful.
638.78,640.24, Three areas of response.
640.24,643.46," First, on their horrific stance that was so broad,"
643.46,645.4," second, on the idea of the white-wing gap, and third, on gentrification. First, let's horrific stance that was so broad. Second, on the idea of the white-ling gap."
645.7,647.18," And third, on gender discrimination."
647.36,648.9," First, let's describe this now."
649.34,652.22," Sorry to interrupt, but this debate is about foreign individuals,"
652.3,653.02, both on England.
653.36,656.4," It is not a gender-incorporated debate about all foreign investment, right?"
656.6,658.72, But what did they take on the board of defending?
658.94,661.58, Literally 80% of the world's capital is disappearing
661.58,668.0, because they want no multinational corporations to come into their areas. This is a world where multinational corporations only want with
668.0,673.0, the capital the ability to build infrastructure and bring in massive employment and skills
673.0,677.0, training to the developing world. How many multinational corporations don't have a profit
677.0,682.0, incentive to enter developing nations on their study house? They say then that they prefer
682.0,686.0, a world with crippling poverty and rampant unemployment
686.0,692.0, because that's what developing nations looked like previously entry of some employment and some industrialization.
692.0,698.0," They wanted over dependence on agriculture, the governments across the world have been fighting so hard to do or to erase."
698.0,702.0," That's why they were so scared, right? That they were so scared about the lack of industrialization."
702.0,708.0," They said, no, no, we will do all of these reasons and we will have all of these same issues, but we will give them special economic zones."
708.0,711.0, But we will incentivize them to come in and develop industrialization.
711.0,716.0, Not even explaining to us how those two go hand in hand and how special economic zones
716.0,720.0, are somehow uniquely beneficial without an independent of the other half.
720.0,723.0, But it was truly telling what the extent of their principle was.
723.0,730.0," When the investors looked at it, they were like, they were telling you fromvo selling it to a person from a higher economic class who could misplace it."
730.0,735.0, They are a side that didn't realise that poor individuals aren't just individuals who are stupid
735.0,737.0, but don't have information. They were so patronising.
737.0,741.0," They said, no, it harms you, we know what's best for you, we will do it for you."
741.0,744.0," We said, no, poor people should have the ability to sell."
744.0,747.0," Finally, we got the idea of gentrification."
747.0,753.0, The problem is that they fail to demonstrate how the majority of land investment is something that takes away.
753.0,757.0," But even if it is something that is gentrified, it is often done by domestic populations,"
757.0,761.0, which they were somehow having to support because people who live in higher class houses
761.0,768.54," for some reason were expats and were people from foreign nations, apparently these white people moving into Ghana. But second, if this is a debate indeed that's"
768.54,773.74," about housing, the vast majority of poor nations rely on renting and by pushing these very"
773.74,778.94," individual to take out renting, they hike the cost and displace individuals first from"
778.94,784.3," housing that is alleged. First, that is a right to serve. Why is this an unfair violation"
784.3,785.0, of property? I think the right to property is a natural to serve. Why is this an unfair violation of property?
785.0,789.0, I think the right to property is a natural right that derives from a few movements.
789.0,793.0, And an extension of the right to property is the right not to go to property.
793.0,797.0, You should be allowed to determine who you sell to and how you sell to them.
797.0,801.0, There is an autonomy over the terms of sale. Their bar doesn't meet the standard for this.
801.0,806.0, It's a fatalizing policy that doesn't realise that individuals are going to be desperately poor.
