start,end,speaker
18.34,36.5,SPEAKER_02
34.46,34.47,SPEAKER_00
35.86,36.16,SPEAKER_00
36.53,44.02,SPEAKER_02
44.65,45.09,SPEAKER_02
45.27,45.44,SPEAKER_02
51.06,51.09,SPEAKER_02
51.94,118.19,SPEAKER_02
118.39,162.03,SPEAKER_02
139.28,139.71,SPEAKER_03
141.11,141.66,SPEAKER_00
162.54,162.91,SPEAKER_02
170.97,187.02,SPEAKER_02
187.36,187.39,SPEAKER_02
193.4,195.46,SPEAKER_02
195.85,208.03,SPEAKER_02
218.36,218.48,SPEAKER_02
218.97,219.03,SPEAKER_02
219.88,223.47,SPEAKER_02
223.89,241.21,SPEAKER_02
241.26,251.16,SPEAKER_02
251.52,260.82,SPEAKER_02
260.92,261.93,SPEAKER_02
262.08,262.57,SPEAKER_02
262.71,276.71,SPEAKER_02
277.2,286.37,SPEAKER_02
286.64,287.07,SPEAKER_02
287.13,287.18,SPEAKER_02
287.36,288.04,SPEAKER_02
288.05,288.36,SPEAKER_02
300.86,300.88,SPEAKER_02
300.96,301.01,SPEAKER_02
301.15,301.86,SPEAKER_02
301.98,312.03,SPEAKER_02
312.67,313.25,SPEAKER_02
316.02,330.09,SPEAKER_02
330.27,330.58,SPEAKER_02
330.71,330.8,SPEAKER_02
330.85,331.02,SPEAKER_02
331.17,331.2,SPEAKER_02
331.51,331.52,SPEAKER_02
332.06,332.08,SPEAKER_02
332.13,378.03,SPEAKER_02
339.07,339.51,SPEAKER_00
378.03,382.57,SPEAKER_04
382.57,435.74,SPEAKER_02
435.84,435.88,SPEAKER_02
444.01,444.1,SPEAKER_02
444.15,444.79,SPEAKER_02
444.86,461.09,SPEAKER_02
461.56,497.03,SPEAKER_02
501.98,505.03,SPEAKER_02
505.98,510.03,SPEAKER_02
510.77,517.98,SPEAKER_06
516.76,517.05,SPEAKER_00
518.04,519.09,SPEAKER_06
518.21,518.89,SPEAKER_00
519.22,534.45,SPEAKER_06
