start,end,text
0.0,29.1," Rana Plaza yw ffatri sy'n cael ei gynnal ac yn cael ei gweithredu gan y gweithredwyr clodioio o'r Wester, Primark, yng Nghymru. Oherwydd nad oedd yn gallu gynnal cyfrifoedd o ran llywodraethau lleol,"
29.1,31.9, fe ddododd yn llwyddo'n llwyddo'n llwyddo'n llwyddo'n llwyddo'n llwyddo'n llwyddo.
31.9,34.1, Ond nid yw'r pwerau Primark wedi mynd i ffwrdd.
34.1,38.1, Oherwydd y llwybr ffyrdd economaidd sydd gennym ar gyfer llywodraethau gwladol gwledig
38.1,40.3," o ran gwledigion byd-eang,"
40.3,50.0," mae Primark yn dal i gweithio o'r cy, right now, huge swathes of the developing world are on the brink of being able to develop local infrastructure and industries"
50.0,54.0, in a way which is sustainable for the future and profitable for those countries.
54.0,60.0," But, local investors are being crowded out by giant foreign multinational corporations and individuals"
60.0,63.0," who don't care about the people or the future of those economies,"
63.0,68.66," but who rather only care about taking every last drop of oil out of that country, every last drop"
68.66,73.96," ounce of gold, leaving the countries destitute and unable to pull themselves out of poverty."
74.28,78.4," On Team England, we say you can't pull yourself out of poverty if you have nothing to grab"
78.4,83.34," onto, and foreign ownership of land yanks away the bottom rung of that ladder, preventing"
83.34,86.0," development. With that in mind, we'll bring you three points. One, why foreign investment ychwanegu'r rhan o'r ffordd sy'n golygu datblygu. Gyda hynny, byddwn yn dod â tri peth."
86.0,88.0, 1. Pwy sy'n golygu bod arian gwladol yn y cwmni.
88.0,91.0, 2. Sut y gallwn ni gael datblygu gwell mewn ffordd o gyfranogwyr lleol.
91.0,95.0, 3. Sut y gallwn ni gynyddu cymorth y busnesau yn y byd datblygu.
95.0,97.0, Beth yw ein cymryd yn y debat?
97.0,98.0, Dwy beth.
98.0,102.0, 1. Rydyn ni'n annog unigolion gwladol neu gweithredu sydd o leolion sydd ddim yn seiliedig ar leolion
102.0,106.0, o ddewis neu'n rhestru arian fel ffordd o ddyfodol 21st-oes.
106.0,113.0," Rydym yn dweud bod unigolion gwladol a phwysig yn achub ffynnau llawr o lland neu adnoddau cyhoeddus, fel ffermau o'r ffordd o ddŵr neu ffordd o'r ffordd o'r ffordd,"
113.0,118.0," ac yna'n arwain busnesau lleol i'w defnyddio, neu'n gwneud yn rhaid i bobl lleol gweithio arnynt am pennau."
118.0,120.0, Ddwy. Beth yw ein model ar gyfer datblygu ar gyfer cyfrifion?
120.0,126.32," Rydym yn meddwl bod pobl lleol yn fwy na allu datblygu'r lland hwn, ac os nad ydynt, bydd yn well yn y llawr. We think the local people are more than capable of developing this land, and if they do, it's better in the long run."
126.5,130.56, My first point is about why foreign ownership is bad by comparison to locals.
130.86,134.36," First, because there is a race to the bottom among foreign owners."
134.48,144.28, Because the incentives of people who run these large corporations and foreign companies is to threaten the country itself to do things like lower regulations.
144.28,166.0, That's in terms of workers' rights and in terms of environmental rights. yn ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw ddweud wrth iddyn nhw d a chynllunio llai mewn gwledydd eraill os nad yw'r Llywodraethau yn cymryd eu gofynion.
166.0,171.0," Yn ail, oherwydd bod gweithwyr gwladol yn fwy tebyg ac yn gallu ddefnyddio'r gwledydd y maen nhw'n eu bodoli,"
171.0,175.0," mae'r cymdeithasau hyn, y cymeriadau hyn, ddim yn dweud yn ddiweddar y gwledydd y maen nhw'n eu buddsoddi."
175.0,180.0," Dydyn nhw ddim yn cael amddiffyn i, er enghraifft, cadw'r cynhyrch o adnoddau naturiol."
180.0,185.0," Rydym yn dweud wrthych chi, mae'r adnoddau naturiol yn rhai o'r asetau allweddol y mae'r wladau hyn."
185.0,193.0," Felly, ar gyfer cyfartal, byddwn yn gwybod ein bod yn gwella'r datblygiad yn ffordd sy'n gynhyrchol ac y bydd pobl sy'n lleol yn ei ffynnu."
193.0,199.0," Felly, pan oedd BHP Billiton yn adeiladu ei llinell yn Cadiamarca, yng Nghymru,"
199.0,202.0, fe wnaethon nhw ddefnyddio sylw i ddychryn y gwlion o'r roci.
202.0,206.0, Y rheswm iddyn nhw wneud hynny oedd oherwydd roedd yn fwy cyffredinol yn y cyfnod cyflawni.
206.0,208.36," Ond roedd y sain yn llyfru i ffyrdd llawr lleol,"
208.36,211.12," sy'n golygu bod y tŷ ar gyfer 300,000 o bobl"
211.12,214.64," ddim yn gallu mynd i gael arian yn ddwylo, yn ddwylo, yn ddwylo."
214.64,217.08, Dyna'r math o beth mae cwmni gwladol yn ei wneud
217.08,219.08, wrth eu bod yn gallu llwyddo llywodraethau
219.08,220.8," i gael iddyn nhw wneud hynny yn y cyntaf,"
220.8,223.92, a ddim yn golygu bod y lleolion yn y cymuned honno.
223.92,228.6," Yn ail, mae cwmni gwahanol yn datblygu llyfn mewn ffyrdd sy'n erbyn y cymdeithasau lleolwyr."
228.6,233.6," Un, oherwydd maen nhw'n tendu i gynnyrchu gweithgareddau, yn enwedig maen nhw'n cynnyrchu gweithgareddau"
233.6,236.6, o'u gwleidyddion rheolaidd o'u gwleidyddion lleol. Mae hynny'n golygu nad ydyn nhw'n cael
236.6,241.6, cymdeithas i fuddsoddi mewn sefydliad a chyfweliad ar gyfer unigolion lleol.
