start,end,speaker
17.68,36.51,SPEAKER_02
19.03,19.15,SPEAKER_00
36.73,65.91,SPEAKER_02
66.38,114.22,SPEAKER_02
79.55,79.97,SPEAKER_04
79.97,80.1,SPEAKER_00
114.81,137.12,SPEAKER_02
137.44,150.88,SPEAKER_02
138.05,138.63,SPEAKER_00
151.08,171.18,SPEAKER_02
171.58,216.87,SPEAKER_02
217.14,225.95,SPEAKER_02
226.12,233.06,SPEAKER_02
227.29,227.66,SPEAKER_00
233.46,247.74,SPEAKER_02
247.94,252.33,SPEAKER_02
252.53,257.9,SPEAKER_02
254.27,254.96,SPEAKER_04
257.9,263.89,SPEAKER_04
264.55,284.44,SPEAKER_02
274.06,274.3,SPEAKER_00
284.7,287.75,SPEAKER_02
287.99,342.91,SPEAKER_02
321.15,321.74,SPEAKER_00
343.07,363.86,SPEAKER_02
355.69,355.92,SPEAKER_00
364.18,405.4,SPEAKER_02
371.13,371.4,SPEAKER_04
371.4,371.48,SPEAKER_00
406.01,416.71,SPEAKER_02
417.18,441.41,SPEAKER_02
441.68,491.03,SPEAKER_02
462.15,462.25,SPEAKER_00
502.64,662.56,SPEAKER_04
584.53,585.07,SPEAKER_00
591.55,591.96,SPEAKER_00
601.81,602.55,SPEAKER_00
634.38,634.75,SPEAKER_02
634.75,634.9,SPEAKER_00
652.32,653.06,SPEAKER_00
662.78,837.0,SPEAKER_04
694.89,695.26,SPEAKER_02
710.1,710.15,SPEAKER_02
758.07,758.83,SPEAKER_00
759.36,759.79,SPEAKER_00
824.75,825.22,SPEAKER_00
834.75,835.14,SPEAKER_00
837.05,880.65,SPEAKER_04
878.39,879.44,SPEAKER_02
880.84,885.95,SPEAKER_02
885.95,989.82,SPEAKER_04
991.93,1321.5,SPEAKER_01
1107.52,1108.03,SPEAKER_00
1150.1,1150.15,SPEAKER_00
1190.61,1191.0,SPEAKER_00
1213.31,1213.82,SPEAKER_00
1225.14,1225.54,SPEAKER_00
1301.06,1301.53,SPEAKER_00
1321.5,1327.6,SPEAKER_04
1327.99,1410.71,SPEAKER_01
1341.17,1341.24,SPEAKER_00
1341.24,1341.44,SPEAKER_04
1341.44,1341.59,SPEAKER_00
1347.45,1347.74,SPEAKER_00
1355.33,1356.29,SPEAKER_00
1373.47,1373.77,SPEAKER_00
1409.7,1409.97,SPEAKER_05
1409.97,1410.21,SPEAKER_00
1410.92,1464.85,SPEAKER_01
1464.95,1483.17,SPEAKER_01
1488.71,1488.91,SPEAKER_00
1489.1,1489.15,SPEAKER_00
1489.98,1539.42,SPEAKER_00
1539.57,1743.32,SPEAKER_00
1548.73,1549.21,SPEAKER_01
1600.0,1600.35,SPEAKER_01
1670.77,1671.26,SPEAKER_01
1737.11,1737.41,SPEAKER_03
1743.54,1743.83,SPEAKER_00
1744.05,1933.03,SPEAKER_00
1757.97,1758.03,SPEAKER_01
1758.09,1758.24,SPEAKER_01
1779.92,1780.51,SPEAKER_01
1933.05,1935.49,SPEAKER_00
1935.69,1936.42,SPEAKER_00
1936.49,1976.33,SPEAKER_00
1980.84,2008.34,SPEAKER_05
2008.51,2018.47,SPEAKER_05
2018.55,2024.2,SPEAKER_05
2024.31,2025.69,SPEAKER_05
2026.01,2089.61,SPEAKER_05
2061.77,2062.12,SPEAKER_00
2089.63,2184.42,SPEAKER_05
2126.1,2126.2,SPEAKER_00
2185.12,2260.61,SPEAKER_05
2260.88,2267.32,SPEAKER_05
2267.51,2302.42,SPEAKER_05
2302.56,2311.42,SPEAKER_05
2310.81,2311.37,SPEAKER_04
2311.42,2320.97,SPEAKER_04
2320.97,2473.03,SPEAKER_05
2480.98,2513.49,SPEAKER_03
2513.76,2567.73,SPEAKER_03
2539.57,2540.43,SPEAKER_00
2567.97,2569.3,SPEAKER_03
2569.72,2640.58,SPEAKER_03
2581.33,2581.92,SPEAKER_00
2626.66,2626.98,SPEAKER_01
2640.77,2738.71,SPEAKER_03
2673.55,2673.81,SPEAKER_04
2722.86,2723.69,SPEAKER_00
2733.36,2734.14,SPEAKER_00
2739.08,2852.02,SPEAKER_03
2742.1,2742.25,SPEAKER_05
2779.04,2779.68,SPEAKER_00
2802.75,2803.2,SPEAKER_00
2804.54,2804.77,SPEAKER_00
2818.32,2819.0,SPEAKER_02
2819.0,2819.02,SPEAKER_01
2847.99,2848.09,SPEAKER_02
2852.02,2854.1,SPEAKER_01
2854.4,2862.79,SPEAKER_01
2859.25,2859.5,SPEAKER_02
2862.89,2862.91,SPEAKER_01
2862.91,2863.01,SPEAKER_03
2863.01,2863.03,SPEAKER_01
2863.03,2863.25,SPEAKER_03
2863.25,2863.28,SPEAKER_02
2863.28,2863.3,SPEAKER_03
2863.57,2863.82,SPEAKER_03
2863.82,2863.97,SPEAKER_01
2863.97,2884.68,SPEAKER_03
2885.03,2909.87,SPEAKER_03
2910.11,2915.09,SPEAKER_03
2915.15,2922.97,SPEAKER_03
2923.14,2971.01,SPEAKER_03
2973.47,2973.76,SPEAKER_04
2974.82,2974.94,SPEAKER_04
2975.43,2975.5,SPEAKER_04
2975.58,2975.65,SPEAKER_04
2975.67,2975.68,SPEAKER_04
2975.77,2975.79,SPEAKER_04
2977.96,3180.93,SPEAKER_04
3181.22,3218.09,SPEAKER_04
3220.71,3223.09,SPEAKER_01
3223.54,3234.77,SPEAKER_01
3235.0,3244.35,SPEAKER_01
3244.72,3265.61,SPEAKER_01
3265.7,3479.17,SPEAKER_01
3272.9,3273.14,SPEAKER_00
