start,end,text
0.0,22.2," If you were trying to drive anywhere in Zagreb Monday afternoon, you probably had a little"
22.2,23.2, bit of trouble.
23.2,25.96, Over a quarter million people flooded the streets
25.96,30.18, to welcome back the Croatian national football team after the World Cup finals.
30.52,34.44, It's phenomena like these that we can demonstrate the power of sports
34.44,36.32, to unite and define the community.
36.78,38.72," With that, I'll do a couple of things in this speech."
39.04,40.84," First, I'll provide our three-point model."
41.18,42.96," Then, I'll provide our first two arguments."
43.26,47.86," First, that sports are public goods that ought to be community owned and second that community"
47.86,51.7, ownership protects community resources and betters community relations our
51.7,55.78, second speaker will provide our third argument first on our model winning
55.78,59.98, sports clubs are nonprofit in our world this means revenue from ticket sales and
59.98,63.7, merchandise would be reinvested back into the team instead of going into
63.7,69.78, owners private pockets secondly residents of the city and in the surrounding area of a team's place of origin
69.78,74.88, will be able to buy shares in the team stock. We would also support a cap on shares to make sure
74.88,79.44, that no one person or small group of people are able to have a disproportionate number of shares
79.44,85.76, and disproportionate power. Our third point under this is that citizens who buy stock under our model
85.76,90.84," would have voting rights over major long-term team decisions. This looks like moving locations,"
91.1,95.96," upgrading stadiums, ticket prices, and elections on new leadership. What this voting power"
95.96,100.82," does not include, however, are day-to-day sports management questions, like which players"
100.82,106.4, to draft or what plays to make. We think team managers and coaches hired by the board of directors
106.4,108.68, would still have authority over actual competition.
109.12,111.96, These look like teams like FC Barcelona and Green Bay Packers.
112.18,114.2," With that, I'll go on to our stance for this round."
114.7,118.58, We think the nature of sports is so impactful and an intrinsic part of the community
118.58,120.38, that it requires community control.
120.9,124.2," Our stance is not that local communities need sports teams,"
124.2,125.06, rather they would just
125.06,130.02, own existing teams. We think that the team's impact on the community should be the primary
130.02,134.86," focus for today's round, because it is the community that has the most to gain or lose"
134.86,139.88," in the presence or absence of a sports team. Our first argument is that on principle, sports"
139.88,144.34, teams are public goods that should be controlled by communities. Our first point under this
144.34,149.84," is that sports teams provide significant social benefits, but they still impose social costs and thus warrant"
149.84,155.2," community control. In general, when something is extremely important and its use imposes significant"
155.2,159.52," costs on individuals, we prefer things like government ownership because we want elected"
159.52,165.0, representatives rather than private actors to decide how to absorb or distribute those costs.
165.0,169.0," This is why we have governments and non-corporations set tax rates, for example."
169.0,173.0," Similarly, within private sports teams, they have a massive impact on the public,"
173.0,178.0, but the individuals in the community do not always consent to the costs that are associated with it.
178.0,181.0," Stadiums and fields, for example, take up a lot of space,"
181.0,187.84," and the construction and location of these venues displaces residents to a large degree. For example, to build Tottenham"
187.84,191.7," Hotspur football stadium, many local homes would have to be demolished and"
191.7,195.24, displaced in order to make that happen. We think communities are much better
195.24,198.96, placed to make decisions about these trade-offs with minimal impact to
198.96,202.8, residents and businesses compared to private actors. Second point under this
202.8,205.56," argument, because sports teams have a unique role"
205.56,209.0," in identity formation, they should be publicly owned."
209.0,211.58, Sports shape social culture in a multitude of ways.
211.58,214.3," First, the sports club serves as a point of congregation"
214.3,217.24, and a clear sense of identity for the community.
217.24,219.82," People of all genders, races, education levels,"
219.82,222.46," religious backgrounds, are all able to come together"
222.46,224.5," over sports, like we saw in Zagreb"
224.5,225.24, with the Croatian
225.24,230.06," football team. Secondly, we think clubs enhance rivalries which create loyalties within communities"
230.06,236.1," both within each other and loyalties to the team. Third, organizations like sports are unique in that"
236.1,240.9, they are powerful in shaping communal identity and they claim to represent the community so they
240.9,244.86, should be accountable to the community when they're doing these actions. We don't think one
244.86,248.0, fringe billionaire should be able to have all of the control.
248.0,252.0," Otherwise, individuals are simply governed by private interests and not themselves."
252.0,257.0, Our second argument is that community ownership better protects community resources and promotes community relations.
257.0,258.0, But first...
258.0,264.0," If sports are so integral to the community, then why historically have most community teams been sold off voluntarily?"
264.0,267.12, We think that this is not necessarily the heart of this debate.
267.22,269.24, We're simply saying that community ownership is a good thing.
269.46,272.2, We think there are wide factors that perhaps you could explain to us.
272.42,275.22," We think communities have a very direct tie to the teams,"
275.4,278.52, and this incentive would not exist on our side of the house.
278.78,280.18," Our second argument explains this further,"
280.38,284.3, about how community ownership preserves local resources for the community.
284.48,288.46, Private teams are well known for extorting cities for money. Billionaires
288.46,292.0, and owners have very little loyalty to a particular city because they don't have
292.0,296.12, to care about the city to get money out of them. It's because owners know they can get
296.12,299.8, whatever they want by threatening to leave. This looks like cities being
299.8,303.0, forced to give up stadium subsidies that are much higher than the cost of
303.0,309.48, education within their cities without community consent. This also looks like things like favorable tax breaks to teams as well.
309.74,314.34," We saw this happen in New York, for example. Direct and indirect subsidies to three major"
314.34,320.12," New York stadiums, Yankee Stadium, Citi Field, and the Barclays Center cost $867 million,"
320.84,326.0, while universal pre-K in the city would have only costed roughly $500 million.
326.0,331.0," When these decisions about prioritizing sports over things like education are made by private actors,"
331.0,333.0, we think that harms the community much more.
333.0,337.0," We think community-owned teams have a unique obligation to conserve public resources,"
337.0,343.0, and they're thus more likely to balance support for sports versus other priorities like community well-being.
343.0,345.56," Ultimately, when cities don't capitulate to owners' demands,"
345.56,348.44, they lose the teams after spending millions of dollars
348.44,349.28, on them.
349.28,351.38," This looks like the Brooklyn Dodgers moving to LA,"
351.38,353.38," Clyde Bank FC moving to Wakefield,"
353.38,355.7, and the Sydney Swans moving to South Melbourne.
355.7,357.78, We are principally opposed to that on our side of the house.
357.78,360.18, Our second point under this is that local ownership
360.18,362.1, of teams builds social capital
362.1,364.24, and strengthens the community network.
364.24,367.8, We think community-owned teams are much more likely to devote their resources to
367.8,371.86," community efforts, like funding outreach programs, for example. It's because"
371.86,375.66, these teams are governed by local community members who directly benefit
375.66,379.5," from these policies, so they are more likely to want community outreach as the"
379.5,383.58, incentive as to why they want to do this. This looks like FC Barcelona's Football
383.58,390.4," Net program, which teaches kids about teamwork and perseverance through sports. It reaches over 30,000 kids"
390.4,395.1," in Catalonia alone, and especially low-income individuals, and it's all free of charge."
395.52,400.74," Compare that to Arsenal's sports camp, which would cost you $1,600 a week, and that money"
400.74,404.9," goes into the hands of owners like Crunky, not the community, because they're privately"
404.9,405.5, owned.
405.5,411.5, Next point under this argument is that community ownership results in a greater buy-in to sports themselves.
411.5,417.0," The community is much more likely to do things like volunteer for teams, because they've literally invested in the team."
417.0,422.5," We think the buy-in is empirically larger for community-owned teams, like we see with the Green Bay Packers, for example."
422.5,427.26, We see volunteers are very willing to work concessions to the point where they're also willing to
427.26,432.12, shovel snow in freezing temperatures to help out the team. It is this devotion to
432.12,435.9, the team that we think is unique to community ownership because they are the
435.9,439.02, ones that have this connection that private teams don't because owners don't
439.02,443.46, make the effort to connect with the community. In contrast the Dallas Cowboys
443.46,447.32," are a privately owned team and if if the owner, Jerry Jones, asked for volunteers,"
447.32,449.38, he'd be laughed at because the people know
449.38,451.82, that the volunteer work they do only saves Jerry Jones
451.82,453.8, a little bit of money and doesn't go back
453.8,455.5, into the community.
455.5,457.42," We think that additionally, ticket prices"
457.42,459.16, are much more likely to become decreased
459.16,460.32, on outside of the house.
460.32,462.8," It's because private investors are profit motivated,"
462.8,464.88, so they run sports like a business.
464.88,469.98, This increases ticket price. This means increased ticket prices and selling elite luxury boxes for money.
470.3,474.5," In contrast, community members have voting power, and they want to attend sporting games."
474.64,481.96, So they have an incentive to keep ticket prices low and make games as accessible as possible to the large majority of the community.
482.44,485.84, We think that sports have value because they foster civil society.
486.2,488.6," They create networks of people that foster cooperation,"
489.0,489.84," common understanding,"
490.14,492.94, and the fulfillment of the human need for interaction.
493.12,494.52," Thus, we are very proud to propose."
498.92,502.28, The real world is not some Marxist fantasy land.
502.64,503.84," Don't let side propositions,"
504.04,509.12," overly romanticized notion of sport, disguise the fact that professional sports teams require huge"
509.12,512.12, amounts of money and the rich individuals and corporations we defend
512.12,515.9, give this money. We think that this is reflective of the fact that in history
515.9,520.1, many community-owned teams voluntarily sold those teams off in order to protect
520.1,524.54," the sustainability of the sport. What is our stance? One, we support things like"
524.54,525.16," status quo,"
525.36,529.7," where private individuals or corporations should be allowed to own teams. Two, we think communities"
529.7,533.9, can still own teams or buy into shares if individual people want to own it. We don't
533.9,538.56," think we need to require them to do so. Two arguments at first speaker. One, why our policy"
538.56,542.68," is necessary to even have a sizable sports industry, and two, why corporations are more"
542.68,548.36," effective at keeping sports competitive. My second speaker will engage with the best-case scenario side proposition, where even if they"
548.36,552.26," can prove these two things are available on their side, why they increase rampant inequality"
552.26,553.88, and worse competitiveness.
554.44,556.94," They have, in terms of rebuttal, they give you two main ideas."
557.08,560.66," Firstly, this principled idea about the public good of sports, and secondly, the last two"
560.66,564.66, arguments can be reduced to the idea about how private corporations know exploit communities
564.66,566.0," while community ownership benefits. First, their response to the idea about how private corporations know exploit communities while community ownership benefits."
566.0,569.0," First, the response to the idea of sport being a public good."
569.0,574.0," Look, Mr. Speaker, these aren't mutually exclusive ideas. You can have a public good and still earn profit as well."
574.0,578.0," We see this in things like electricity, which is clearly a public good, but many people in North-I-U countries"
578.0,584.0, privatize electricity because they realize they can serve that public good while at the same time doing it more efficiently.
584.0,585.16, That's what my arguments want to show you.
585.36,585.8, No thank you.
585.94,589.04," But even if they can show you some social costs, there are enormous social benefits,"
589.12,592.64," like the tourism, like the merchandising, like the increased publicity of your city."
592.94,593.4, No thank you.
593.52,596.3," But we think they're basically inconsistent, because they're capping shares anyway,"
596.54,599.12, so their whole democratic principle is slightly undermined at the point
599.12,601.5, when they're not actually including the whole community.
601.86,604.8," And furthermore, no thank you, we think their view of France is too parochial."
605.12,608.74," FC Barcelona, Arsenal, the Green Bay Packers have global backing."
609.04,613.1," We think they reduce the incentive of these people, no thank you, to cater to the global community."
