start,end,speaker
16.92,23.01,SPEAKER_02
21.28,21.56,SPEAKER_00
23.45,27.72,SPEAKER_02
23.57,24.18,SPEAKER_00
28.01,39.94,SPEAKER_02
40.14,47.67,SPEAKER_02
47.89,72.78,SPEAKER_02
61.17,61.41,SPEAKER_03
72.88,73.56,SPEAKER_02
73.79,74.84,SPEAKER_02
75.09,79.66,SPEAKER_02
80.05,97.05,SPEAKER_02
97.21,100.13,SPEAKER_02
100.44,137.63,SPEAKER_02
118.16,118.22,SPEAKER_04
133.75,133.85,SPEAKER_04
133.85,133.87,SPEAKER_00
133.87,133.88,SPEAKER_04
133.88,133.95,SPEAKER_00
138.07,172.51,SPEAKER_02
170.91,171.08,SPEAKER_00
172.71,207.88,SPEAKER_02
200.83,201.92,SPEAKER_00
203.17,203.24,SPEAKER_00
207.96,212.23,SPEAKER_02
212.5,216.44,SPEAKER_02
216.64,248.95,SPEAKER_02
249.63,262.1,SPEAKER_02
262.49,290.23,SPEAKER_02
266.18,266.59,SPEAKER_00
273.14,273.79,SPEAKER_00
275.5,275.53,SPEAKER_00
275.53,275.84,SPEAKER_04
275.84,275.9,SPEAKER_00
290.97,307.49,SPEAKER_02
307.97,315.41,SPEAKER_02
315.76,332.84,SPEAKER_02
332.84,345.02,SPEAKER_03
345.02,381.27,SPEAKER_02
352.79,353.04,SPEAKER_00
381.66,407.55,SPEAKER_02
407.68,454.32,SPEAKER_02
428.61,429.38,SPEAKER_00
455.03,471.6,SPEAKER_02
461.53,462.03,SPEAKER_00
472.21,490.6,SPEAKER_02
490.87,491.3,SPEAKER_02
491.41,517.03,SPEAKER_02
525.3,546.26,SPEAKER_00
546.41,586.08,SPEAKER_00
586.34,599.79,SPEAKER_00
599.94,703.18,SPEAKER_00
660.69,661.01,SPEAKER_01
677.11,677.14,SPEAKER_01
677.14,677.21,SPEAKER_04
677.21,677.51,SPEAKER_01
703.33,753.15,SPEAKER_00
709.03,709.39,SPEAKER_02
752.84,753.25,SPEAKER_04
753.5,757.26,SPEAKER_00
755.52,755.93,SPEAKER_04
757.57,790.57,SPEAKER_00
776.84,777.29,SPEAKER_04
790.89,806.66,SPEAKER_00
797.75,797.76,SPEAKER_01
797.91,798.2,SPEAKER_01
806.84,820.04,SPEAKER_00
820.21,847.86,SPEAKER_00
821.2,821.25,SPEAKER_01
821.25,821.49,SPEAKER_04
821.49,821.57,SPEAKER_01
846.33,846.9,SPEAKER_01
848.05,872.4,SPEAKER_00
872.97,876.99,SPEAKER_02
