start,end,text
0.0,23.0, The fact that war is hell does not give us the right to make it more hellish.
23.0,25.5, The burden that that proposition seeks to
25.5,31.0, prove in today's debate is simple. It's that lethal autonomous weapon systems make
31.0,36.02, war worse. I'm going to do this through two points of substantive in my speech. Number
36.02,41.82," one, on how lethal autonomous weapons reduce the accountability of warfare. And secondly,"
41.96,45.62, I'm going to explain how this creates an evolution in warfare that
45.62,47.58, leads to a loss of control.
47.96,51.34," But before that, what do these lethal autonomous weapons look like?"
51.52,56.82," We think that by virtue of them being autonomous, it means that after programming these machines,"
57.06,60.04, they then act in the war zone without human control.
60.2,66.0," That is to say, decisions on how to shoot and how to attack will be made by technology."
66.0,70.0, You also think that this encompasses all weapon systems in the military.
70.0,74.0," So for example, drones and for example, tanks."
74.0,80.0," In sub-step A, why would the presence of lethal, autonomous weapons decrease accountability?"
80.0,84.0, I'm going to prove three things to prove that this argument stands.
84.0,87.26," First of all, I'm going to talk about why the occurrence of war increases."
87.78,91.82," Secondly, I'm going to explain why there's little to no oversight of these weapons."
92.36,96.82," And thirdly, I'm going to speak about why it's harder to identify and punish wars."
97.22,99.98," Number one, why does the occurrence of war increase?"
99.98,105.2," In the world as we know it, there are many pre-existing tensions between nations."
105.54,108.78," These materialise, for example, in the form of territorial disputes,"
109.06,112.96, in the form of human rights violations and contrasting values.
113.28,117.74," But right now, countries do not go to war over many of these conflicts"
117.74,120.9," because they are limited by, among others, two main things."
121.0,125.74, Number one being policy makers' basic consideration for human life that will be lost
125.74,128.38, in the event of soldiers being sent to a war
128.38,130.04, and secondly because they know that
130.04,132.22, there will be public outcry at the point
132.22,134.22, at which people know that their brothers
134.22,135.92, and their fathers are being sent off
135.92,137.52, to a far land to die.
138.1,139.66, Why do lethal autonomous weapons
139.66,141.9, change this? Because they decrease
141.9,143.86, the human cost of war and they take
143.86,146.64, humans out of a large portion
146.64,153.52, of fighting of this war it means that policymakers can now do two things number one they can actively
153.52,159.04, lobby for wars to be fought for their nations to go and participate in a conflict that is happening
159.04,165.38, secondly it's also more likely that they are that they know people will not oppose these wars
165.38,170.22, because they know their citizens are less likely to be critical over the decisions they make
170.22,172.32, to go and participate in a conflict.
172.74,173.9, There are two harms to this.
173.96,176.74, The first of all being that casualties increase.
176.74,181.06," Because when wars fall, combatants are never the only people on the ground."
181.18,189.2," There are also people, civilians, left there who get caught in the crossfire. And even in the event that there are no human soldiers on the ground in the"
189.2,194.02," opposition's world, civilians are still vulnerable to these military attacks."
194.3,199.4," But secondly also, it causes massive infrastructural and economic damage to the country that is"
199.4,206.0, fighting the war. This means that it's difficult for these countries to recover after the conflict has occurred.
206.0,211.0, It means that you irreversibly damage the economies and the nation.
211.0,212.0, This is terrible.
212.0,216.0," Secondly, why is there little to no oversight of these weapons?"
216.0,223.0, I'm going to prove that there is an incentive to place these weapons on a longer leash and release much of the control.
223.0,227.0, Why so? We see precedence of this in the proliferation
227.0,232.56, of drone technology. We see that there is minimal bureaucracy surrounding drone technology
232.56,238.8," in the military in order to create a higher success rate of drone missions. In trend analysis,"
238.8,248.92," we also see that US President Donald Trump has been reducing drone restrictions such as the Presidential Policy Guidance, which protects civilians in war zones."
249.68,255.0," By virtue of being autonomous, these weapons are also likely to have little to no human"
255.0,259.0, involvement in the oversight and management and the carrying out of these missions.
259.32,261.94, It means that the oversight then decreases.
262.5,265.8," Third, why is it harder to identify and punish droids?"
266.12,269.98," Number one, because commanders and generals in the army"
269.98,273.14, are less connected to the actions of these drones.
273.26,276.14, They are then able to escape many of the consequences.
276.54,281.74, This materialises in the form of them being able to cover up botched operations
281.74,287.66," by saying, you know what, we didn't have that much oversight. Anyway, number two, the robots went rogue,"
287.66,291.04, and this is something that we cannot control.
291.04,293.24, Even if there is evidence available
293.24,295.62," from logging and tracking these robots,"
295.62,298.32," number one, the military has no incentive"
298.32,301.74, to release information of its own operations going rogue.
301.74,303.26, We see that they have the means also
303.26,308.0," to shoot this information under act, through acts, like the Official Secrets Act."
308.0,312.0," But number two, it's also highly possible that commanders and generals are able to access"
312.0,316.0," this information before anyone else does, and believe it."
316.0,318.0, What is the conclusion then to this argument?
318.0,323.0," It means that when you have lethal autonomous weapons present in the wars on the war, it's"
323.0,325.04," not only more likely, it is also more"
325.04,330.16," damaging to civilians and nations, and you reduce the accountability of the people who"
330.16,332.64," started this war. Before I move on, yes?"
332.64,337.28," Precisely because little autonomous weapons are made to be accurate, that would mean mass"
337.28,341.84, destruction wouldn't happen compared to when human soldiers are just doing a shooting spree
341.84,344.96, without any precise target. How do you respond?
344.96,345.0, Right. I think it is very unfair to let them push the premise on us that these I'm just doing a shooting spree without any precise target. How do you respond?
345.0,351.0, Right. I think it is very unfair to push the premise on us that these weapon systems are by virtue of themselves.
351.0,358.0," Hovec, and therefore, will not cause any damage to A, civilians, and just B, infrastructure on the ground."
358.0,365.08," When you drop a bomb on a city, it's not the one person you target who's affected in the entire radius of that bomb."
365.58,370.3," Finally, second argument, why does evolution warfare lead to a loss of control?"
370.42,372.52, I have three main strands to this argument.
372.78,376.82," First of all, I'm going to show you why lethal autonomous weapons will be merciless."
377.04,380.96," Secondly, I'm going to talk about the changing calculus of the self-learning robot."
381.64,385.24," Thirdly, I'm going to talk about the possibility and the ramifications"
385.24,390.98," of having. Number one, why are legal autonomous weapons likely to be merciless? In status"
390.98,397.02," quo, we see that much of military technology is developed privately. This means that defence"
397.02,402.8, contractors and private corporations who are producing the most merciless weapon systems
402.8,406.0, are prioritised because these are the weapon systems that
406.0,411.0, will be most successful. We also see that the military already prioritises efficiency
411.0,416.0, over ethical warfare at the point at which they're using tactics and they scourge the
416.0,422.0," earth tactic to demoralise the other side. But even if these weapon systems are not merciless,"
422.0,425.5, we just contend that the terrorists now are able
425.5,430.08," to use, for example, human shields in order to protect themselves and your missions consistently"
430.08,436.94," fail. Let's talk then about changing calculus of a self-learning robot. In some cases, we"
436.94,441.88, argue that these autonomous weapon systems will be artificial intelligence which are
441.88,445.0," able to learn, adapt and reprogram themselves."
445.0,449.0, We think that this could be the consequence in which they are able to weigh their own
449.0,455.0, objectives in order for a successful mission over civilian life.
455.0,459.0," Finally, let's talk about hacking and why the ease of hacking increases."
459.0,464.0," Traditional weapons have always been offline and by virtue of that, harder to hack."
464.0,468.0, The modernisation of military technology means that weapons are now wireless.
468.0,472.0, The lethal autonomous weapons are the best example of this.
472.0,477.0," Besides that, because these weapons are not human operated and there is a degree of separation"
477.0,482.0," between the human and the machine, it means that any hacking will be a harder to detect,"
482.0,487.0," secondly, harder to counter. We saw precedence of this happening in December"
487.0,494.0, 2011 when Iran hacked the US RG-170 drone. Why is this hacking so pernicious? Because
494.0,499.0," the military operates on centralised systems, the point at which it hackers have access"
499.0,505.3," to one drone, it can gain access to all of the other weapons that operate on that system."
505.3,513.0," And because damage percuted in war is irreversible, we think that the harms of this are very, very real."
513.0,518.7," To conclude, because missile autonomous weapons are merciless and susceptible to hijacking,"
518.7,525.28, we oppose the development of these systems. Thank you.
527.42,530.1," Proposition brings an argument, an idea that we need to have a humane and just war."
530.1,532.16," But they do the exact opposite, because the fact"
532.16,534.4, that a lethal autonomous robot would have been just as
534.4,535.94, effective in killing these people
535.94,537.86, and would have killed the people that we were sending them
537.86,541.1," to kill as well, that is the inhumane war that they bring."
541.1,542.74, When you bring only human soldiers
542.74,544.76," into the battlefield in war, you prolong it"
544.76,546.52, instead of ending it fast.
546.52,549.08, Proposition needs to engage in a scenario in which the war
549.08,551.62," happens anyways, and who creates a more effective war,"
551.62,554.68," and who creates a more efficient one, and that it ends faster."
554.68,556.44, What is the mechanism on our side of the house?
556.44,557.52," Firstly, we're going to make sure"
557.52,559.32, that these lethal autonomous robots that
559.32,561.9," will be employed are weapons that undergo rigorous testing,"
561.9,564.0, which makes it unlikely for them to malfunction.
564.0,567.32," We're going to make sure we discuss it in international talks, for example, on how April"
567.32,570.84," this year we have a convention, officer and conventional weapons, discussing the implementation"
570.84,574.16, of these lethal autonomous weapons and the boundaries that we should set for them.
574.44,578.72," Secondly, we're going to implement a self-destructing mechanism in these lethal autonomous robots,"
578.72,583.52, so if any hacking or whatsoever terrorist who wants to attack and get these information
583.52,586.0," and blueprint about these robots, it's not going to happen."
586.0,593.0," Thirdly, we don't have to defend the full and complete utilization of these weapons, because no matter how sophisticated the technology is,"
593.0,600.0," in some instances of war, such as interrogations, communication, and releasing hostages, it still requires human involvement."
600.0,603.0, So what do we envision these drones and lethal autonomous weapons to do?
603.0,607.32," Firstly, detect these targets and identities using these kinds of things,"
607.34,609.68, such as facial recognition that we already have in the status quo.
609.94,611.62," Second, calculate the risk of the weapons."
611.92,613.3," Thirdly, minimize casualty."
613.64,616.54," Fourthly, make decisions without prioritizing these self-offenses."
616.98,619.18," Fifth, function without these fatigue."
619.18,623.62," And lastly, immune to chemical and biological weapons that humans inherently have."
623.9,628.7," Before I go on to my arguments, two points of rebuttal. Firstly, Proposition says that these lethal"
628.7,633.38, atomic weapons reduce the accountability of the war. We have four responses to this.
633.6,637.54," Firstly, if Proposition talks about the cost of these human soldiers, we believe that we"
637.54,641.06," already have costs, too, on our side of the house. The cost of developing these weapons,"
641.2,645.24," the maintaining these weapons, and furthermore, these soldiers and these victims"
645.24,646.84," still die on the battlefield, we believe"
646.84,649.9, that we still have costs and consideration for the government
649.9,651.98, before they send these lethal autonomous weapons.
651.98,653.68, But what is worse on their side of the house
653.68,656.38, is the fact that they use human soldiers as that cost
656.38,658.36, for these battlefields.
658.36,660.24," And we believe that that's inherently unjustified,"
660.24,662.56, because then government can use these human soldiers
662.56,667.58," as propaganda to then justify war and, for example, like retaliating because your soldiers are dying."
