start,end,speaker
16.74,21.82,SPEAKER_02
21.99,26.86,SPEAKER_02
27.13,28.72,SPEAKER_02
29.31,34.15,SPEAKER_02
34.42,38.96,SPEAKER_02
39.2,51.03,SPEAKER_02
51.48,62.38,SPEAKER_02
62.84,75.53,SPEAKER_02
76.15,78.89,SPEAKER_02
77.57,77.93,SPEAKER_04
77.93,78.2,SPEAKER_00
78.2,78.5,SPEAKER_04
78.5,78.55,SPEAKER_00
79.55,84.14,SPEAKER_02
84.64,89.96,SPEAKER_02
90.11,92.35,SPEAKER_02
90.19,90.62,SPEAKER_04
92.47,109.97,SPEAKER_02
105.03,105.18,SPEAKER_00
110.21,136.4,SPEAKER_02
110.29,111.07,SPEAKER_00
136.8,140.57,SPEAKER_02
137.29,137.39,SPEAKER_04
141.06,153.95,SPEAKER_02
151.7,151.8,SPEAKER_00
151.8,151.97,SPEAKER_04
151.97,152.61,SPEAKER_00
154.15,156.02,SPEAKER_02
156.16,158.52,SPEAKER_02
158.76,187.6,SPEAKER_02
159.52,160.01,SPEAKER_00
188.04,204.93,SPEAKER_02
198.13,198.7,SPEAKER_04
198.7,198.78,SPEAKER_00
205.42,205.94,SPEAKER_02
206.31,218.75,SPEAKER_02
218.92,237.26,SPEAKER_02
230.48,230.53,SPEAKER_00
230.53,232.15,SPEAKER_04
232.15,232.23,SPEAKER_00
232.89,233.14,SPEAKER_00
237.65,243.54,SPEAKER_02
240.25,241.16,SPEAKER_04
244.01,247.89,SPEAKER_02
248.19,248.62,SPEAKER_02
248.28,248.72,SPEAKER_04
248.72,263.11,SPEAKER_02
263.3,277.3,SPEAKER_02
266.45,267.21,SPEAKER_00
277.78,301.33,SPEAKER_02
279.95,279.97,SPEAKER_04
280.09,280.53,SPEAKER_04
295.78,295.82,SPEAKER_00
295.82,296.0,SPEAKER_04
296.0,296.04,SPEAKER_00
296.04,296.14,SPEAKER_04
301.4,301.5,SPEAKER_02
301.76,316.91,SPEAKER_02
312.12,312.93,SPEAKER_00
314.5,314.97,SPEAKER_00
317.04,320.52,SPEAKER_02
320.88,326.82,SPEAKER_02
327.1,338.51,SPEAKER_02
337.87,338.63,SPEAKER_04
338.97,347.03,SPEAKER_02
346.22,346.63,SPEAKER_04
347.13,347.84,SPEAKER_02
348.2,361.36,SPEAKER_02
361.63,365.76,SPEAKER_02
366.81,375.9,SPEAKER_02
376.51,379.55,SPEAKER_02
379.8,399.85,SPEAKER_02
401.12,404.12,SPEAKER_02
404.47,409.77,SPEAKER_02
407.97,409.05,SPEAKER_00
410.08,418.8,SPEAKER_02
419.49,420.37,SPEAKER_02
421.16,421.18,SPEAKER_03
421.18,422.02,SPEAKER_02
421.3,421.32,SPEAKER_03
424.56,428.96,SPEAKER_03
429.36,434.76,SPEAKER_02
434.92,435.57,SPEAKER_02
436.08,447.13,SPEAKER_02
436.2,436.52,SPEAKER_00
437.82,438.38,SPEAKER_00
445.75,445.95,SPEAKER_00
447.62,450.73,SPEAKER_02
450.93,454.19,SPEAKER_02
454.9,459.25,SPEAKER_02
459.72,474.0,SPEAKER_02
474.24,475.35,SPEAKER_02
475.65,486.62,SPEAKER_02
486.93,487.43,SPEAKER_02
487.63,490.94,SPEAKER_02
491.3,499.28,SPEAKER_02
502.67,527.07,SPEAKER_02
516.63,516.66,SPEAKER_00
516.66,516.79,SPEAKER_04
516.79,516.88,SPEAKER_00
527.48,542.29,SPEAKER_02
542.73,566.14,SPEAKER_02
558.9,559.45,SPEAKER_00
566.58,570.63,SPEAKER_02
570.66,578.81,SPEAKER_02
578.83,628.39,SPEAKER_02
578.93,579.47,SPEAKER_04
613.49,613.61,SPEAKER_00
613.61,614.01,SPEAKER_04
614.01,614.04,SPEAKER_00
627.21,627.58,SPEAKER_04
628.79,661.51,SPEAKER_02
628.88,629.42,SPEAKER_04
629.6,629.87,SPEAKER_04
653.55,654.06,SPEAKER_04
654.06,654.14,SPEAKER_00
658.71,659.4,SPEAKER_00
660.45,660.89,SPEAKER_00
661.85,662.32,SPEAKER_02
662.76,691.16,SPEAKER_02
667.94,668.28,SPEAKER_04
668.28,668.31,SPEAKER_00
688.13,688.5,SPEAKER_04
689.34,690.1,SPEAKER_04
690.51,690.54,SPEAKER_00
690.54,690.67,SPEAKER_04
691.48,694.5,SPEAKER_02
694.88,709.91,SPEAKER_02
710.35,717.37,SPEAKER_02
710.43,710.69,SPEAKER_00
717.78,769.38,SPEAKER_02
717.81,718.32,SPEAKER_04
724.49,724.93,SPEAKER_04
740.57,740.78,SPEAKER_04
769.78,788.04,SPEAKER_02
782.37,782.47,SPEAKER_04
785.6,785.95,SPEAKER_04
788.21,792.06,SPEAKER_02
792.4,796.18,SPEAKER_02
796.35,796.83,SPEAKER_02
796.89,804.99,SPEAKER_02
805.86,841.62,SPEAKER_02
834.8,835.29,SPEAKER_00
842.13,849.54,SPEAKER_02
845.55,845.57,SPEAKER_00
845.57,847.0,SPEAKER_04
847.0,847.02,SPEAKER_00
850.5,869.67,SPEAKER_02
870.26,877.28,SPEAKER_02
877.85,896.65,SPEAKER_02
897.0,914.96,SPEAKER_02
905.58,905.61,SPEAKER_00
905.61,906.24,SPEAKER_04
915.55,918.6,SPEAKER_02
918.98,925.07,SPEAKER_02
919.33,919.52,SPEAKER_04
920.31,920.78,SPEAKER_04
925.27,927.06,SPEAKER_02
927.36,935.04,SPEAKER_02
935.61,936.07,SPEAKER_02
936.15,937.94,SPEAKER_02
938.11,964.32,SPEAKER_02
964.59,972.03,SPEAKER_02
972.08,972.42,SPEAKER_02
972.57,974.88,SPEAKER_02
980.25,1020.85,SPEAKER_01
1021.2,1092.6,SPEAKER_01
1058.53,1059.7,SPEAKER_00
1093.73,1137.2,SPEAKER_01
1120.04,1121.0,SPEAKER_00
1135.04,1135.43,SPEAKER_03
1137.29,1140.44,SPEAKER_03
1141.14,1276.96,SPEAKER_01
1152.29,1152.78,SPEAKER_00
1167.65,1167.88,SPEAKER_00
1167.88,1168.12,SPEAKER_02
1168.12,1168.22,SPEAKER_00
1186.65,1186.66,SPEAKER_00
1186.66,1186.97,SPEAKER_04
1186.97,1187.2,SPEAKER_00
1198.21,1199.02,SPEAKER_00
1220.95,1221.71,SPEAKER_00
1233.54,1234.44,SPEAKER_02
1234.44,1234.45,SPEAKER_04
1244.53,1244.56,SPEAKER_02
1248.39,1249.07,SPEAKER_02
1257.99,1258.52,SPEAKER_00
1269.67,1270.26,SPEAKER_00
1271.82,1272.03,SPEAKER_00
1272.03,1272.27,SPEAKER_02
1276.96,1277.03,SPEAKER_02
1277.03,1277.33,SPEAKER_01
1277.33,1277.55,SPEAKER_02
1277.55,1277.97,SPEAKER_01
1277.97,1278.03,SPEAKER_02
1278.03,1278.3,SPEAKER_01
1278.3,1278.31,SPEAKER_02
1278.31,1278.35,SPEAKER_01
1278.8,1278.85,SPEAKER_01
1278.85,1285.64,SPEAKER_02
1285.72,1352.98,SPEAKER_01
1353.17,1396.99,SPEAKER_01
1397.7,1468.04,SPEAKER_01
1410.87,1410.93,SPEAKER_00
1410.93,1410.98,SPEAKER_04
1410.98,1411.14,SPEAKER_00
1482.97,1484.04,SPEAKER_03
1484.25,1539.94,SPEAKER_03
1536.6,1537.23,SPEAKER_00
1564.97,1598.57,SPEAKER_03
1580.66,1581.67,SPEAKER_00
1600.78,1600.79,SPEAKER_03
1600.84,1601.6,SPEAKER_03
1601.81,1601.94,SPEAKER_03
1603.36,1619.59,SPEAKER_03
1619.68,1619.78,SPEAKER_03
1619.79,1619.81,SPEAKER_03
1619.88,1620.3,SPEAKER_03
1621.16,1621.18,SPEAKER_03
1621.85,1622.33,SPEAKER_03
1622.73,1623.03,SPEAKER_03
1625.97,1626.04,SPEAKER_03
1626.97,1627.03,SPEAKER_03
1627.96,1628.03,SPEAKER_03
1628.05,1628.06,SPEAKER_03
1628.08,1628.76,SPEAKER_03
1628.97,1725.42,SPEAKER_03
1655.57,1655.97,SPEAKER_04
1655.97,1656.7,SPEAKER_00
1685.88,1686.32,SPEAKER_04
1716.98,1717.43,SPEAKER_00
1722.12,1722.14,SPEAKER_00
1722.14,1723.1,SPEAKER_04
1725.65,1750.31,SPEAKER_03
1743.44,1744.33,SPEAKER_02
1750.76,1754.24,SPEAKER_02
1754.91,1754.96,SPEAKER_02
1754.96,1755.27,SPEAKER_03
1755.27,1755.35,SPEAKER_02
1755.35,1761.85,SPEAKER_03
1769.97,1770.03,SPEAKER_03
1770.2,1778.34,SPEAKER_03
1778.55,1800.04,SPEAKER_03
1809.98,1818.82,SPEAKER_03
1820.1,1820.12,SPEAKER_03
1820.24,1820.34,SPEAKER_03
1829.55,1829.84,SPEAKER_03
1831.93,1832.03,SPEAKER_03
1837.97,1838.44,SPEAKER_03
1838.98,1849.46,SPEAKER_03
1841.38,1841.52,SPEAKER_02
1850.14,1882.84,SPEAKER_03
1863.25,1863.28,SPEAKER_00
1863.28,1863.39,SPEAKER_04
1863.39,1864.14,SPEAKER_00
1884.06,1884.58,SPEAKER_03
1884.58,1884.93,SPEAKER_02
1884.93,1885.1,SPEAKER_03
1893.2,1894.05,SPEAKER_03
1894.76,1894.89,SPEAKER_03
1894.98,1903.02,SPEAKER_03
1899.89,1900.07,SPEAKER_00
1900.58,1901.08,SPEAKER_00
1903.13,1904.05,SPEAKER_03
1916.15,1917.71,SPEAKER_03
1918.01,1939.85,SPEAKER_03
1940.12,1971.91,SPEAKER_03
1942.29,1942.41,SPEAKER_04
1981.9,2228.66,SPEAKER_00
2032.49,2032.98,SPEAKER_04
2070.15,2070.32,SPEAKER_01
2076.36,2077.34,SPEAKER_01
2101.63,2101.91,SPEAKER_01
2101.91,2102.05,SPEAKER_04
2102.05,2102.3,SPEAKER_01
2209.44,2209.47,SPEAKER_04
2225.94,2227.46,SPEAKER_02
2228.68,2235.06,SPEAKER_02
2234.55,2366.55,SPEAKER_00
2329.54,2330.06,SPEAKER_01
2367.29,2452.04,SPEAKER_00
2457.98,2495.24,SPEAKER_02
2496.05,2516.95,SPEAKER_02
2517.65,2523.48,SPEAKER_02
2517.73,2518.39,SPEAKER_00
2523.96,2530.72,SPEAKER_02
2532.46,2536.19,SPEAKER_02
2536.71,2539.74,SPEAKER_02
2540.33,2542.72,SPEAKER_02
2543.25,2544.46,SPEAKER_02
2545.2,2561.94,SPEAKER_02
2551.51,2552.14,SPEAKER_00
