start,end,text
0.0,22.0," To us, Silicon Valley's new baby might seem as a thrilling and provocative new technology."
22.0,26.0, But what about the people from Yemen? What about the people from Syria?
26.0,28.0, What about the people from Iraq?
28.0,30.0," To them, it will be a catastrophe."
30.0,32.0, And this debate isn't about how these autonomous weapons
32.0,34.0," would work in the perfect world,"
34.0,36.0, but rather how our world
36.0,38.0, and how the international community
38.0,40.0, would react to them.
40.0,42.0, And given the systematic ways in which violations
42.0,44.0, against human rights take place
44.0,45.0, and the role of the
45.0,50.0," international community, we stand for a blanket ban, as the one given to chemical weapons"
50.0,55.0," and for the same reason. So, in my speech, first I'm going to give definitions, then"
55.0,59.0," I'm going to give my first argument, which is about lowering the barriers of entry, and"
59.0,63.0," then I'm going to give my second argument, which is about the harms and problems."
63.0,68.0," So, lethal autonomous weapons are machines meant to kill that operate without human intervention"
68.0,73.0," and solely based on algorithms. By development we mean the investigation, the evolution or"
73.0,76.0, the pumping of the weapon or the algorithm.
76.0,81.0," So the first argument, lowering the barriers of entry. First I'm going to explain how they"
81.0,86.0," do that and then the impacts given the status quo war. So, how do they do it?"
86.0,90.0," Well, there is one massive characteristic which is public retaliation."
90.0,92.5, Why do voters care about war?
92.5,100.0," Well, they don't want to see their people dying, so they are moved by the US soldiers in the streets of Saigon dying."
100.0,106.0, But they do not care because the distance from them to a terrible country prevents them from that.
106.0,110.0, Circles of moral caring only encompass those who are close.
110.0,113.0, And what are the effects of the lethal autonomous weapons?
113.0,120.0," Well, public retaliation in democracies is and has been the only factor capable of stopping humanitarian interventions"
120.0,124.0, such as the one in Vietnam and Iraq in which opposition led to retreat the soldiers.
124.0,127.5," But now, voters won't feel the effects of war."
127.78,131.34," Therefore, A, they won't push against reckless engagements in war,"
131.64,136.24," and B, there will be higher chances that they will vote for presidents who are pro-war."
136.82,138.08, And why is this crucial?
138.4,140.4," Well, this is crucial because of our status quo."
141.02,143.52, Think about the war in Iraq and all its horrors.
143.52,144.82, Who won that war?
148.0,158.0, The only two winners were the CEOs of the Halliburton Company. So we have to recognize two things. The first one is that most wars occur for bad motives and even those who don't have horrifying effects because of their nature.
158.0,165.42," So why are most wars for bad motives? Well, for three things. The first one is special interest, such as"
165.42,171.5," the bias of ideology. The second one is business and corporate interest, which have a huge"
171.5,178.36," grip in decision-making, thanks to tools such as campaign contribution, as the main donor"
178.36,182.42," to Joe mentioned, and revolving doors. And we can see that in characters such as Dick"
182.42,188.0," Chang, who was the manager of Hollywood and also the vice president during the Bush era."
188.0,193.0," And lastly, we also have geopolitical interests, which means that the lack of interest in defending"
193.0,197.0," human rights, and we can see that, for example, Saudi Arabia, thanks to its close relationship"
197.0,204.0," with the US, was forgiven by its human rights by election ratio, but Libya did have to pay"
204.0,205.52, for what they did.
211.88,212.74," So, even if they are for good reasons, wars will most likely be catastrophic, and because of two things."
212.98,216.8," The first one is that they destroy communities, because they kill civilians, for example,"
216.94,218.6, when urban zones are bombed.
218.92,223.06," But second, they also destroy the country, because of A, infrastructure."
223.36,226.54, We can see that when bridges and roads are bombed
226.54,228.2," and it crashes the economy,"
228.2,230.46, and also because of the vacuum of power.
230.46,232.48, And we can see that in our major media
232.48,235.26, because of the fragmentation and impossibilitation
235.26,237.68, of the reconstruction after the conflict.
237.68,239.6," So in conclusion to the first argument,"
239.6,241.36, we're going to have more wars
241.36,244.06," and since more are catastrophic events,"
244.06,248.0, proposing development is advocating for human rights violations.
248.0,256.0," So, moving on to my second argument, which is about the danger of robots. To the fact that there will be more wars, we have to add the damage of robots themselves."
256.0,267.06," So first I'm going to talk about the dirty mental characteristics, and second, I'm going to draw an important comparative with soldiers. There are two new factors that we are going to have to add to the line of mission"
267.06,269.58, once legal autonomies are introduced.
269.74,271.3," But first, I will take your point."
271.68,273.18," Well, of course it comes with consequences."
273.38,277.02," Why is it that even with the existing law, the war is more likely to occur?"
277.84,279.76," I'm sorry, but I didn't understand your point."
279.76,280.72," Well, of course it comes."
280.72,281.34," It's okay, it's okay."
281.6,286.0," So, the first thing that we are going to have to add is the execution of missions."
286.0,291.0, Sending people off means that you have to take a series of precautions as the government or the soldiers.
291.0,297.0," So, because common sense dictates that you have to get along with the native community so that they can define your state,"
297.0,301.0," soldiers tend to have a good relationship with the natives, such as giving them protection or food,"
301.0,306.16," and governments sometimes use structures, such as as water wells for the Afghan people."
306.16,310.26," So now with the autonomous weapons, there is not going to be any need to care about"
310.26,311.9, the backlash of the actions.
311.9,317.3, So rich Western countries will have zero motives to care for civilians going to war.
317.3,321.0," And then we have the second thing, which is contextual judgment."
321.0,325.3, The decision to kill is a balance between the moral and human element and cannot
325.3,329.94, be coded into an algorithm. So now we're going to lack it. We're going to lack things such
329.94,334.82," as empathy, which is the capacity to relate to another human, and that cannot be understood"
334.82,339.32, by machines. And the effect of this can be seen through the next comparison. That is
339.32,347.0," when soldiers kill, certain nuances are valued through moral intuition and cannot be valued through magicians."
347.0,359.0," So, the relevance? Every war is filled with such nuances that require the human aspect, and it is logistically impossible to wire them into the machines."
359.0,366.0," So, I ask, how could a robot judge a child forced to engage in war and carry a weapon?"
366.0,367.0, Yes?
367.0,370.0," There will always be an operator, even if the operator is not intervening."
370.0,373.0, This is seen as an allowance by the operator itself.
373.0,376.0, Why is it that it is immoral to do this?
376.0,379.0," I'm sorry, I really didn't understand your point."
379.0,386.0," So, how could a robot judge a child that is forced to engage in war and carry a weapon?"
386.0,392.0, And how is a woman forced? How can they judge a woman forced by terrorists to hide weapons?
392.0,397.0, And how are they supposed to know the difference between bombing a hospital and another building?
397.0,400.0, There is a moral difference that only humans can understand.
401.0,404.0, And here is where we have to draw a very important comparative.
404.0,410.0," Of course, it could be argued that these autonomous weapons won't have a racist bias,"
410.0,419.0, but they are in fact discriminatory because the bias of targeting won't change.
419.0,421.0, And why?
421.0,423.0, Yes?
423.0,429.0, Would you have an international treaty like the Nuclear Non-Proliferation Treaty for LAWs?
429.0,435.0," No, we wouldn't. We would have a mandate such as we did with the chemical weapons for the reasons I've given."
435.0,442.0," So, why is it impossible for them... why do these kind of machines have a discriminatory bias?"
