start,end,speaker
17.94,54.03,SPEAKER_01
54.55,54.77,SPEAKER_01
54.96,55.01,SPEAKER_01
55.09,55.26,SPEAKER_01
55.36,56.19,SPEAKER_01
56.48,56.53,SPEAKER_01
60.97,104.44,SPEAKER_01
104.79,116.03,SPEAKER_01
116.92,117.23,SPEAKER_01
117.31,117.36,SPEAKER_01
123.35,153.09,SPEAKER_01
153.48,276.04,SPEAKER_01
254.69,255.05,SPEAKER_00
282.97,283.35,SPEAKER_01
283.56,283.75,SPEAKER_01
283.97,360.53,SPEAKER_01
290.7,291.02,SPEAKER_00
291.02,291.24,SPEAKER_07
361.09,452.38,SPEAKER_01
389.1,389.29,SPEAKER_07
452.58,478.34,SPEAKER_01
478.74,486.67,SPEAKER_01
486.94,498.47,SPEAKER_01
501.64,501.71,SPEAKER_01
501.72,501.98,SPEAKER_01
501.98,502.28,SPEAKER_03
502.5,553.94,SPEAKER_03
554.26,611.36,SPEAKER_03
601.88,602.22,SPEAKER_00
604.65,604.66,SPEAKER_06
612.09,615.61,SPEAKER_06
616.24,837.89,SPEAKER_03
732.41,732.46,SPEAKER_00
732.46,732.64,SPEAKER_07
732.64,732.93,SPEAKER_00
796.55,797.27,SPEAKER_00
824.41,824.68,SPEAKER_00
825.12,825.52,SPEAKER_00
838.48,849.21,SPEAKER_03
849.33,942.97,SPEAKER_03
849.7,850.11,SPEAKER_00
879.72,880.03,SPEAKER_00
880.03,880.05,SPEAKER_07
880.05,880.2,SPEAKER_00
943.19,961.45,SPEAKER_03
961.69,1000.09,SPEAKER_03
993.31,993.34,SPEAKER_07
993.45,994.04,SPEAKER_07
1003.69,1108.28,SPEAKER_02
1108.57,1158.65,SPEAKER_02
1158.84,1185.53,SPEAKER_02
1186.12,1220.95,SPEAKER_02
1221.29,1259.04,SPEAKER_02
1259.48,1269.59,SPEAKER_02
1270.2,1306.97,SPEAKER_02
1305.9,1306.46,SPEAKER_04
1306.97,1313.02,SPEAKER_04
1313.43,1313.48,SPEAKER_04
1313.48,1324.21,SPEAKER_02
1324.31,1419.59,SPEAKER_02
1419.84,1440.57,SPEAKER_02
1440.97,1449.78,SPEAKER_02
1450.15,1496.64,SPEAKER_02
1500.98,1501.03,SPEAKER_00
1508.98,1509.82,SPEAKER_00
1509.89,1513.23,SPEAKER_00
1513.38,1518.38,SPEAKER_00
1518.76,1561.61,SPEAKER_00
1561.8,1620.15,SPEAKER_00
1605.32,1605.7,SPEAKER_01
1606.18,1606.56,SPEAKER_01
1620.57,1679.7,SPEAKER_00
1625.75,1625.9,SPEAKER_01
1625.9,1625.94,SPEAKER_07
1625.94,1626.0,SPEAKER_01
1640.58,1640.6,SPEAKER_07
1667.4,1667.55,SPEAKER_01
1667.55,1667.74,SPEAKER_04
1667.74,1667.84,SPEAKER_01
1679.94,1726.11,SPEAKER_00
1726.14,1782.2,SPEAKER_00
1772.53,1772.85,SPEAKER_01
1774.23,1774.57,SPEAKER_01
1782.62,1789.88,SPEAKER_01
1790.05,1790.08,SPEAKER_01
1790.08,1790.94,SPEAKER_00
1790.94,1790.96,SPEAKER_01
1790.96,1790.97,SPEAKER_00
1790.97,1791.03,SPEAKER_01
1791.03,1791.06,SPEAKER_00
1791.06,1791.68,SPEAKER_01
1791.68,1791.97,SPEAKER_00
1791.97,1792.04,SPEAKER_01
1792.04,1864.16,SPEAKER_00
1864.26,1952.92,SPEAKER_00
1897.88,1897.96,SPEAKER_01
1897.96,1898.37,SPEAKER_07
1898.37,1898.47,SPEAKER_01
1953.35,1997.46,SPEAKER_00
2001.37,2009.62,SPEAKER_06
2009.98,2015.11,SPEAKER_06
2015.48,2029.64,SPEAKER_06
2029.81,2044.94,SPEAKER_06
2035.26,2035.78,SPEAKER_00
2045.35,2047.86,SPEAKER_06
2048.13,2053.18,SPEAKER_06
2053.45,2054.49,SPEAKER_06
2054.63,2068.3,SPEAKER_06
2068.82,2072.75,SPEAKER_06
2072.97,2080.99,SPEAKER_06
2081.36,2090.57,SPEAKER_06
2090.94,2112.33,SPEAKER_06
2101.12,2101.44,SPEAKER_00
2112.53,2120.1,SPEAKER_06
2120.32,2133.84,SPEAKER_06
2134.33,2141.67,SPEAKER_06
2141.91,2145.47,SPEAKER_06
2145.94,2152.39,SPEAKER_06
2152.77,2169.9,SPEAKER_06
2170.56,2179.2,SPEAKER_06
2179.39,2184.06,SPEAKER_06
2184.36,2211.3,SPEAKER_06
2211.65,2217.71,SPEAKER_06
2218.1,2231.85,SPEAKER_06
2232.14,2243.14,SPEAKER_06
2243.61,2244.32,SPEAKER_06
2244.59,2266.41,SPEAKER_06
2261.69,2262.33,SPEAKER_00
2266.7,2286.75,SPEAKER_06
2287.08,2293.16,SPEAKER_06
2293.36,2295.91,SPEAKER_06
2296.16,2310.81,SPEAKER_06
2310.15,2310.59,SPEAKER_07
2310.59,2310.62,SPEAKER_05
2310.98,2319.38,SPEAKER_06
2319.57,2326.38,SPEAKER_05
2326.84,2346.01,SPEAKER_06
2346.31,2350.38,SPEAKER_06
2350.63,2366.82,SPEAKER_06
2367.1,2367.96,SPEAKER_06
2368.17,2372.3,SPEAKER_06
2372.59,2396.45,SPEAKER_06
2396.92,2397.66,SPEAKER_06
2397.83,2422.15,SPEAKER_06
2406.22,2406.68,SPEAKER_00
2413.19,2413.29,SPEAKER_00
2423.31,2441.57,SPEAKER_06
2441.98,2467.22,SPEAKER_06
2467.76,2472.52,SPEAKER_06
2473.03,2481.2,SPEAKER_06
2481.43,2488.27,SPEAKER_06
2488.28,2495.78,SPEAKER_06
2499.88,2548.04,SPEAKER_04
2553.98,2593.7,SPEAKER_04
2593.77,2595.03,SPEAKER_04
2595.12,2595.74,SPEAKER_04
2595.76,2595.78,SPEAKER_04
2603.98,2608.23,SPEAKER_04
2608.67,2637.42,SPEAKER_04
2637.56,2669.5,SPEAKER_04
2669.69,2669.77,SPEAKER_04
2669.88,2686.67,SPEAKER_04
2686.92,2715.03,SPEAKER_04
2722.24,2725.29,SPEAKER_04
2725.55,2735.7,SPEAKER_04
2736.03,2737.12,SPEAKER_04
2737.22,2741.22,SPEAKER_04
2741.78,2794.19,SPEAKER_04
2769.54,2769.98,SPEAKER_07
2794.58,2821.56,SPEAKER_04
2819.47,2819.78,SPEAKER_00
2821.94,2840.03,SPEAKER_04
2840.03,2848.02,SPEAKER_01
2848.02,2874.2,SPEAKER_04
2874.52,2887.73,SPEAKER_04
2887.92,2892.42,SPEAKER_04
2892.73,2895.58,SPEAKER_04
2895.97,2909.72,SPEAKER_04
2910.28,2913.03,SPEAKER_04
2913.09,2913.57,SPEAKER_04
2918.97,2919.0,SPEAKER_04
2919.09,2925.94,SPEAKER_04
2925.95,2926.0,SPEAKER_04
2926.17,2961.42,SPEAKER_04
2961.56,2965.61,SPEAKER_04
2965.68,2982.69,SPEAKER_04
2982.96,2985.71,SPEAKER_04
2986.03,3009.23,SPEAKER_04
3011.95,3262.24,SPEAKER_00
3018.9,3019.31,SPEAKER_01
3049.63,3050.31,SPEAKER_01
3232.96,3233.58,SPEAKER_01
3240.1,3240.54,SPEAKER_01
3265.8,3387.5,SPEAKER_02
3387.84,3407.65,SPEAKER_02
3408.17,3440.13,SPEAKER_02
3440.54,3458.63,SPEAKER_02
3459.07,3503.03,SPEAKER_02
3503.38,3503.58,SPEAKER_02
3503.67,3503.85,SPEAKER_02
3512.01,3519.97,SPEAKER_02
3519.97,3521.56,SPEAKER_07
