start,end,text
0.0,7.0, Tanya Cushman Reviewer's Name Reviewer's Name
18.0,22.0," On Team Proposition, we stand for the people whom the state has ignored."
22.0,25.66," We stand for the people whose blood, sweat, and"
25.66,31.1," tears has forever been invisible. The people whose names we will never know, whose cries"
31.1,36.2," we will never hear, and whose abuses we will never see. On Team Proposition, we want to"
36.2,41.04, bring migrant workers into the fold of the state. We want to give them the sober satisfaction
41.04,45.42," of being able to say, yes, I am human, and yes, I deserve dignity."
45.72,48.52, We propose three arguments on team proposition.
48.92,52.44," First, why these individuals principally are entitled to the right to vote."
52.72,56.08," Second, why we improve the quality of life for migrant workers."
56.08,62.86," And third, my second speaker will discuss how we benefit political empowerment for people in these own countries."
63.22,65.76," But before that, some definitions and a model."
66.2,71.1, We would define this house as all democratic states around the world. We would define non-citizen
71.1,75.68, migrant workers as workers who have migrated for employment that have been legally accepted
75.68,80.64, into this country through a visa or a similar mechanism by that sort of state. Two points
80.64,86.84," in our model. One, migrant workers must have lived in the country they wish to vote in for a minimum of six months."
87.28,91.7," And secondly, they must be planning on living in that country for a few years longer."
91.94,96.78," And in order to prove this, these migrant workers would have to present the government with a sort of proof,"
96.88,98.84," for instance, something like an employment contract."
99.34,104.12," That being said, on to my first argument, why these individuals principally deserve the right to vote."
104.68,105.94," Note, this is a non-consequential first argument, why these individuals principally deserve the right to vote. Note, this is a"
105.94,108.14," non-consequentialist argument, meaning"
108.14,109.64," we're going to prove that these individuals,"
109.92,111.96," irrespective of consequence, deserve"
111.96,114.06," the right to vote, and this is independent"
114.06,115.94, of any practical considerations.
116.54,117.7, The first thing we have to recognize
117.7,119.92, is that the right to vote is not inherent
119.92,122.04, to someone simply having been born in a
122.04,123.92," country, or simply being a citizen,"
124.12,127.72, but we would say it's specific to the relationship you have with your state.
128.08,133.38," The thesis of this argument is essentially that migrant workers have a specific relationship to that state,"
133.74,137.7, which means that giving them the right to vote is the only proportionate recompense.
138.02,139.38, Three reasons why this is true.
139.76,143.32," Note, these three reasons are structurally independent of each other."
143.32,149.2," So we only have to prove that one of these reasons actually upholds in order to satisfy our burden,"
149.42,153.16, and they have to individually refute all of these three things in order to take down this problem.
153.54,156.04," That being said, the first, sir, no thank you."
156.38,160.42, The state benefits directly from the presence of these migrant workers.
160.84,166.06," Oftentimes, these individuals fill low-labor jobs, such as manufacturers or working in"
166.06,167.68, low-level service industries.
168.12,170.02," Oftentimes, furthermore, the states"
170.02,172.06, that are taking these individuals in often
172.06,174.18, are countries with high dependency ratios.
174.46,176.02," So, countries that"
176.02,178.12, have large aging populations
178.12,179.88, or large children
179.88,182.08, or dependent populations in that sort of
182.08,183.86," sense. So, they depend on these individuals"
183.86,185.46, to pay taxes and to work
185.46,189.86, and to contribute for that economy to pay social welfare for those individuals.
190.32,191.98, A great example of this would be Japan.
192.36,195.98, Japan is very well known for having a very big aging population
195.98,199.72, and recently they've opened up their doors towards migrant workers
199.72,203.0, because they realize the utility that these individuals can provide.
203.26,203.78, No thank you.
204.26,210.54, Why then is monetary compensation simply not enough to provide these people kind of
210.54,212.0, recompense for their actions?
212.44,216.74," We would say that it's simply not enough, and the reason why is these people are actually"
216.74,218.64, willing to contribute to your state.
218.9,222.68, There's actually a precedent that this is the metric you should use to decide whether
222.68,224.02, or not you give someone the right to vote.
224.62,227.06," When you're giving someone citizenship and the right to vote,"
227.34,231.34, they have to stay for a minimum amount of time before they can have the right to vote.
231.52,235.12, Because that's how you establish they have loyalty to your certain country.
235.44,238.66," We would say that when these people are willing to contribute to your very state,"
238.96,241.1, functionally it serves the very same needs.
241.52,246.12," Secondly, they demonstrate adherence to the social contract and to the state's laws,"
246.22,247.64, and they have no malicious intent.
247.94,250.02, We know this because states have a very
250.02,252.02, high bar when it comes to accepting
252.02,254.04, migrant workers. You have to
254.04,255.92," make sure that you're not going to commit a crime,"
255.96,258.1," actually take it in a moment, in your future country."
258.32,259.96," Before I continue explaining this argument,"
260.5,261.9, if it is of no utility
261.9,264.08," and simply based on relationship, why must"
264.08,286.38, they stay for a couple of more years? when it comes to vote. What do I mean by this? We say that living under a state is inherently coercive
286.38,289.04, because you have to follow the sort of laws that that state has.
289.3,291.54, We say that that coercion is unjustified
291.54,295.6, if you do not have a say in what those laws actually dictate to you.
296.0,299.42, The precedent for this is that prisoners are not allowed to vote
299.42,301.22, because they don't adhere to those laws
301.22,303.26, and therefore they don't deserve that sort of thing.
303.52,308.48," We would say migrant workers actually do pass this test because not only do they show that they don't have to those laws, and therefore they don't deserve that sort of thing. We would say migrant workers actually do pass this test, because not only do they show that"
308.48,312.08," they don't have a malicious intent, but they also show that they're willing to adhere to"
312.08,317.3," those laws and contribute to that society. Thirdly, migrant workers are in a uniquely"
317.3,323.2," vulnerable situation, and they're very prone to exploitation in the status quo. Why? First,"
323.62,326.9, exploitation on the hands of the people who employ them.
327.16,332.54," Oftentimes, migrant workers are invited to fulfill one sort of job, which means that"
332.54,336.46," if they upset their employer for whatever reason, their employer has the right to just"
336.46,340.94," send them home, because they're only here for that particular sort of job. So that means"
340.94,350.0," the employer can tell them to work for, no thank you, long hours, or pay them really, really low wages, and they have little to no power to speak up against that employer."
350.0,360.0," This is especially true for people who use this job to send back remittances to their family, because not only are they dependent on that job, but all of their family is dependent on that job."
360.0,365.82," We would say that the vote actually equalizes this power imbalance, and it's a unique mechanism"
365.82,368.06," to do this. Why? Because with the vote,"
368.3,370.04, you have access to all of the government
370.04,372.08, structures. You actually have the power
372.08,374.02," to, it's like the widest"
374.02,376.06, reaching mechanism in any given state.
376.32,378.22," It affects legislation, it affects police,"
378.48,380.02," it affects courts. But note,"
380.28,382.06, this is actually not dependent on
382.06,383.96, this being an effective mechanism. Why?
384.24,389.68," Because even if you do not actually affect the ability to have legislation run in the courts,"
389.9,391.66," the very fact that you have, no thank you,"
391.88,394.98, the power to affect is what gives you human dignity.
395.28,397.56," Ladies and gentlemen, that's why we give people the right to desert."
397.96,398.56, Second argument.
399.26,402.06, We uphold the quality of life for these migrant workers.
402.48,408.48, The thesis of this argument is that this is the exclusive mechanism to give people a good quality of life on the ground. Two layers
408.48,413.34," to this argument. First, this incentivizes policy change. This looks like things like"
413.34,418.34," increasing higher minimum wage, like having access to public defenders in cases of exploitation"
418.34,424.3," or having lower costs of healthcare. Why is this the case? In local elections, and note"
424.3,429.48," this is one part of the motion, local elections, oftentimes mayors or people who live in a county, who"
429.48,434.42," rule that county, have a small number of people to cater to. And given that migrant workers"
434.42,439.76," often form ethnic enclaves, we provide you the example of many ethnic enclaves of migrant"
439.76,445.76," workers in Hong Kong, this oftentimes can be the deciding vote in local elections. And"
445.76,451.04," note, these are the local officials that have the most ability to affect things like minimum"
451.04,454.64," wage and stuff like that. But even in things like higher-level elections, like in your"
454.64,459.82," state or your province or even your country, in areas where you have more migrant workers,"
459.82,463.84," politicians have an incentive to cater to those people, because that's what incentivizes"
463.84,465.22, them to get that
465.22,465.74, sort of vote.
466.02,468.34, We provide you the epitome example of the United States.
468.68,472.88," If you take a state in the United States, like California, that has very high amounts"
472.88,477.48," of workers, those policies tend to be more favorable to those workers, because politicians"
477.48,478.36, have to cater to them.
478.8,482.58," Compare that to a state like Texas, where there are very few migrant workers, so there's"
482.58,486.5, a far smaller incentive for those people to actually cater to those individuals.
487.04,488.94," Ladies and gentlemen, why will we win this debate?"
489.3,490.1, We will win this debate
490.1,491.88, because we are on the right side of history.
492.16,493.14, We are defending people
493.14,495.1, who have previously been unknown
495.1,496.46," to the fold of the state,"
496.52,498.26, and it's on that basis that we proudly propose.
498.56,499.04, Thank you.
501.28,503.78, The proposition horribly misconstrues
503.78,507.3, the current state of migrant workers in these countries to begin with.
507.3,513.7," They seem to talk about a group of people that are horribly discriminated against, horribly oppressed in these countries."
513.96,516.38, We'll give you reasons why that is not the case.
516.64,520.64," First of all, because these migrant workers often work on an exchange of skills."
520.9,524.26," These countries recognize the inherent value that these migrant workers present,"
524.54,528.48, and thus they are more likely to attract them because they fill the labor gap within their
528.48,533.1," own specific countries. Second, because the diplomatic relations between the country that"
533.1,537.18, is sending these migrant workers and the country that is receiving them. So Bangladesh and
537.18,542.5, Saudi Arabia have extremely good diplomatic relations over the fact that a lot of Bangladeshi
542.5,549.5, workers go to Saudi Arabia and work there as migrant workers. The risk of ruining these diplomatic relations is too significantly
549.5,554.88," high for them to abuse these workers in any meaningful fashion. But more importantly,"
554.88,559.9, they are also sometimes part of regional blocs. So people within the Eurozone will often move
559.9,565.06, from their country to another country to work as migrant workers because that is simply
565.06,570.2, part of the contract within that regional bloc as well. This also applies for ASEAN
570.2,577.28, and SAR. So there are written contracts that protect these immigrants. Why is this important?
577.28,581.34," Because in a world that is always moving forward to protect migrant workers, they needed to"
581.34,586.12, tell us why voting is the only mechanism by which we can protect the rights
586.12,588.14, and make a more
588.14,589.88, comfortable life for these migrant
589.88,592.0, workers. But this debate is not about
592.0,593.98, the kinds of people that they want to talk about. This is
593.98,596.16, not about illegal immigrants that lead horrible
596.16,598.08, lives. This is about migrant workers who are
598.08,599.76," legally there, who the country wants them."
599.88,602.18, How their situation changes the moment in time
602.18,603.88, you give them the tokenistic right
603.88,609.22," to vote. Two burdens in our case. First, why they shouldn't have a right to vote and finally, how we protect"
609.22,611.0, them better under our scenario.
611.0,611.5, Sure.
611.5,616.0, Should individuals with dual citizenship be allowed to vote in either state?
616.0,622.5, Individuals with dual citizenship are inherently different because they have major stakes within
622.5,626.06, each different country. That is why the idea of a dual citizenship is
626.06,628.02, so extremely rare because it's rare
628.02,630.14, for an individual to have a stake.
630.32,631.68, It's not the same for migrant workers.
631.94,633.52, Rebuttals before we move on to our case.
633.84,636.04, Their argumentation is kind of flimsy because
636.04,637.94, if we were to believe that we give votes
637.94,639.94, on the basis of state benefiting
639.94,641.94," of your work, then we give votes"
641.94,644.04, to people who we outsource work to.
644.3,646.0, So Chinese people could work. So Chinese people could vote
646.0,654.44," in America. But also, you wouldn't give people that are unproductive. So unemployed people"
654.44,658.94, wouldn't get the vote if your voting mechanism was based on productivity. If it's based on an
658.94,663.64," adherence to social contract, you wouldn't give companies or employees of companies that have"
