start,end,speaker
16.8,22.53,SPEAKER_05
22.85,39.89,SPEAKER_05
39.99,56.78,SPEAKER_05
57.15,75.38,SPEAKER_05
75.41,76.04,SPEAKER_05
76.12,76.69,SPEAKER_05
81.2,81.25,SPEAKER_00
82.97,87.14,SPEAKER_00
87.53,157.64,SPEAKER_05
140.87,140.97,SPEAKER_04
157.98,207.09,SPEAKER_05
207.27,241.41,SPEAKER_05
241.56,253.83,SPEAKER_05
242.04,242.15,SPEAKER_06
254.73,287.61,SPEAKER_05
287.88,296.78,SPEAKER_05
296.88,323.09,SPEAKER_05
323.25,328.3,SPEAKER_05
328.76,337.02,SPEAKER_05
337.21,357.16,SPEAKER_05
357.46,380.26,SPEAKER_05
381.42,395.01,SPEAKER_05
395.61,421.21,SPEAKER_05
421.45,441.13,SPEAKER_05
441.55,448.55,SPEAKER_05
449.28,490.72,SPEAKER_05
493.24,730.43,SPEAKER_00
731.12,877.16,SPEAKER_00
877.16,877.19,SPEAKER_04
877.24,882.95,SPEAKER_04
882.15,997.7,SPEAKER_00
999.52,1015.06,SPEAKER_03
1015.18,1117.24,SPEAKER_03
1082.53,1082.92,SPEAKER_00
1114.07,1115.23,SPEAKER_00
1117.41,1149.12,SPEAKER_03
1136.95,1137.0,SPEAKER_04
1143.16,1143.73,SPEAKER_00
1149.94,1159.02,SPEAKER_03
1156.59,1157.1,SPEAKER_00
1159.66,1198.61,SPEAKER_03
1199.69,1201.46,SPEAKER_03
1202.32,1256.14,SPEAKER_03
1254.52,1254.87,SPEAKER_06
1257.29,1274.23,SPEAKER_03
1274.52,1279.41,SPEAKER_03
1279.75,1300.47,SPEAKER_03
1288.49,1288.79,SPEAKER_00
1300.47,1307.2,SPEAKER_00
1306.29,1481.03,SPEAKER_03
1429.14,1429.38,SPEAKER_06
1440.89,1441.31,SPEAKER_00
1487.97,1488.03,SPEAKER_03
1488.03,1488.32,SPEAKER_02
1492.64,1738.22,SPEAKER_02
1560.93,1561.36,SPEAKER_00
1653.75,1653.8,SPEAKER_06
1653.8,1654.0,SPEAKER_03
1724.44,1724.91,SPEAKER_00
1738.63,1818.97,SPEAKER_02
1753.17,1753.63,SPEAKER_00
1808.12,1808.54,SPEAKER_00
