start,end,text
0.0,5.0, The American Pronunciation Guide Presents ''How to Pronounce Superman''
17.0,22.0, Superman used to be a mutation until he was able to catalyze his abilities and turn it into unique strength.
22.0,25.88, Today we are proposing a system that will make children fly.
26.04,26.92, Two things in my speech.
27.26,28.78," Firstly, framing is something we've discussed."
29.32,30.46, So firstly is my framing.
30.82,32.84, What school system should we judge it for?
32.9,35.24," We say that first of all, it should be accessible and thus fair."
35.6,37.48," And secondly, we say that it should be most efficient"
37.48,39.52, in providing the best possible education.
40.14,43.26," Secondly, a model of how this school system could look like."
43.58,48.52," We say that first of all, the voucher is used as paper to ensure the use of private and public schools."
48.84,53.3," Secondly, this is given to a percentage of the society below the median wealth."
53.52,56.68, This percentage depends on the socioeconomic background of the country.
57.2,60.34," Thirdly, we say that these schools are principally funded by school vouchers."
60.66,65.0," However, if small schools with significant social relevance, such as schools for blind students,"
65.0,69.0, we support the government subsidies to further finance these schools.
69.0,74.0," Fourthly, we say that private schools may not charge higher tuition fees than the school vouchers."
74.0,80.0," And fifthly, we say that this school voucher includes the possibility to rent the region if necessary."
80.0,81.0," Before that, yes please."
81.0,84.0," When you tell that there should be some more subsidies for the government,"
84.0,86.92, do you not concede that there should be some state regulation in those schools?
87.54,91.12," No, we say that these schools are then able to put more money into these schools"
91.12,95.28, to further finance them because we think that these schools are so important on our side of the house.
95.64,99.7, So the sixth point of framing that we have are restrictions for private schools.
99.98,103.24," We say that they, first of all, should not discriminate based on ethnicities."
103.6,107.48," Secondly, there should be a limit of the teacher's salary in relation to the public schools."
107.8,112.78," And thirdly, the government should have an oversight of what the institutions do."
113.56,117.02," For example, through requirements of fulfilling the standardized test."
117.38,119.78," So having clarified this, what will we do in this debate?"
120.12,122.86," Firstly, in my speech I'll have a look at how we create more equal opportunities."
123.1,127.12, And our second speaker will have a look at the increase of the quality of education.
127.58,130.78," So into my substantive speech, of how we create more equal opportunities"
130.78,133.8, by solving the two main problems that we identify in the same spot.
134.1,136.24, So the first problem that we see is inequality.
136.48,140.56," So we see that there is generally an inequality between public and private schools, right?"
140.78,143.76," We say that, for example, the people who come from higher income classes"
143.76,149.44," tend to attend private schools more, and those who come from lower income classes attend"
149.44,154.74," private schools. So according to The Guardian, the UK has double the amount of privately"
154.74,159.26," educated students come from a middle or upper class background. Thus, we also see the additional"
159.26,164.22," characterization that private schools cater the needs and have the culture of uni access,"
