start,end,speaker
14.88,77.03,SPEAKER_05
78.26,87.81,SPEAKER_05
88.02,93.92,SPEAKER_05
94.19,95.04,SPEAKER_05
95.56,95.71,SPEAKER_05
100.93,157.14,SPEAKER_05
137.33,137.95,SPEAKER_00
157.24,205.87,SPEAKER_05
175.97,176.16,SPEAKER_00
176.39,176.8,SPEAKER_00
206.04,227.0,SPEAKER_05
214.77,214.78,SPEAKER_00
214.78,214.95,SPEAKER_07
214.95,215.96,SPEAKER_00
227.19,227.52,SPEAKER_05
239.98,247.89,SPEAKER_05
247.96,251.38,SPEAKER_05
251.57,252.45,SPEAKER_05
252.85,257.29,SPEAKER_05
257.41,258.03,SPEAKER_05
258.15,303.85,SPEAKER_05
304.3,313.03,SPEAKER_05
325.97,396.04,SPEAKER_05
402.97,407.61,SPEAKER_05
407.73,425.92,SPEAKER_05
426.02,427.54,SPEAKER_05
427.59,427.63,SPEAKER_05
427.64,433.03,SPEAKER_05
433.41,434.04,SPEAKER_05
444.97,463.69,SPEAKER_05
463.87,495.11,SPEAKER_05
486.57,486.59,SPEAKER_00
500.27,504.05,SPEAKER_01
504.41,509.45,SPEAKER_01
509.86,520.74,SPEAKER_01
520.84,553.82,SPEAKER_01
553.97,555.24,SPEAKER_01
555.59,571.03,SPEAKER_01
561.8,562.34,SPEAKER_00
571.25,573.97,SPEAKER_01
574.25,578.02,SPEAKER_01
575.03,575.52,SPEAKER_00
578.15,601.62,SPEAKER_01
601.69,641.38,SPEAKER_01
608.8,608.9,SPEAKER_00
618.08,618.21,SPEAKER_00
626.36,627.39,SPEAKER_00
633.67,634.01,SPEAKER_00
640.07,640.37,SPEAKER_00
641.53,641.89,SPEAKER_01
642.24,644.66,SPEAKER_01
645.06,698.07,SPEAKER_01
654.04,654.49,SPEAKER_00
654.51,654.54,SPEAKER_00
666.04,666.32,SPEAKER_00
698.25,713.32,SPEAKER_01
709.44,709.46,SPEAKER_00
713.34,734.89,SPEAKER_01
735.12,741.54,SPEAKER_01
741.79,756.89,SPEAKER_01
757.25,773.24,SPEAKER_01
767.96,768.97,SPEAKER_00
773.36,781.28,SPEAKER_01
781.95,786.46,SPEAKER_01
782.69,783.32,SPEAKER_07
786.73,795.05,SPEAKER_07
795.05,842.82,SPEAKER_01
795.1,795.32,SPEAKER_07
795.62,796.01,SPEAKER_07
799.21,799.3,SPEAKER_00
824.26,824.71,SPEAKER_00
843.04,861.85,SPEAKER_01
862.14,876.15,SPEAKER_01
876.3,879.35,SPEAKER_01
879.59,900.84,SPEAKER_01
900.95,920.78,SPEAKER_01
903.64,904.43,SPEAKER_00
908.87,909.54,SPEAKER_00
921.12,925.76,SPEAKER_01
925.88,988.62,SPEAKER_01
975.09,975.41,SPEAKER_00
997.97,1013.04,SPEAKER_04
1025.09,1027.38,SPEAKER_04
1027.47,1049.69,SPEAKER_04
1049.79,1049.84,SPEAKER_04
1049.98,1050.04,SPEAKER_04
1050.16,1102.04,SPEAKER_04
1050.35,1050.75,SPEAKER_00
1056.52,1056.93,SPEAKER_00
1102.26,1103.03,SPEAKER_04
1107.47,1107.52,SPEAKER_04
1107.55,1107.69,SPEAKER_04
1107.98,1108.03,SPEAKER_04
1108.38,1108.48,SPEAKER_04
1108.52,1108.55,SPEAKER_04
1109.7,1152.09,SPEAKER_04
1152.19,1239.45,SPEAKER_04
1231.77,1233.09,SPEAKER_00
1239.77,1278.09,SPEAKER_04
1251.28,1251.48,SPEAKER_00
1279.58,1402.02,SPEAKER_04
1316.16,1316.3,SPEAKER_00
1402.02,1410.04,SPEAKER_02
1410.04,1486.03,SPEAKER_04
1433.71,1433.78,SPEAKER_00
1486.08,1486.4,SPEAKER_04
1486.43,1486.62,SPEAKER_04
1486.74,1486.82,SPEAKER_04
1486.97,1487.04,SPEAKER_04
1491.21,1491.43,SPEAKER_04
1491.88,1491.98,SPEAKER_04
1492.07,1493.03,SPEAKER_04
1493.08,1493.65,SPEAKER_04
1498.97,1500.03,SPEAKER_03
1505.97,1506.01,SPEAKER_03
1506.88,1506.93,SPEAKER_03
1506.97,1509.42,SPEAKER_03
1509.53,1510.68,SPEAKER_03
1510.77,1512.62,SPEAKER_03
1512.91,1514.04,SPEAKER_03
1514.22,1515.03,SPEAKER_03
1535.98,1536.13,SPEAKER_03
1536.23,1543.03,SPEAKER_03
1551.97,1552.02,SPEAKER_03
1552.97,1564.02,SPEAKER_03
1564.7,1565.12,SPEAKER_03
1566.5,1566.55,SPEAKER_03
1570.98,1583.02,SPEAKER_03
1584.58,1584.76,SPEAKER_03
1584.88,1585.03,SPEAKER_03
1594.97,1610.02,SPEAKER_03
1603.27,1604.02,SPEAKER_00
1647.05,1647.17,SPEAKER_03
1649.97,1660.02,SPEAKER_03
