start,end,text
0.0,2.0," Yn ystod y dydd, roedd y Cynulliad yn cael ei gyflwyno i'r cyngor."
2.0,4.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
4.0,6.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
6.0,8.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
8.0,10.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
10.0,12.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
12.0,14.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
14.0,16.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
16.0,18.0, Mae'r cyngor yn cael ei gyflwyno i'r cyngor.
18.0,28.0," Mae'r cyngor yn cael ei i adeiladu'r pwrp y byddai'n ei meddwl yn fflaid-siprwll, a fyddai'n dod â'r fawrth i'r dde-wch o'r dyniaeth."
28.0,32.0," Roedd y fydd hwn yn troi'n gyflym yn gyflym i'r dyniaeth,"
32.0,36.0, gyda'r canlyniad yw bod yn 2017 wedi cael ei ddod o hyd i un o'u
36.0,40.0, pwrp ar-dynol mawr i'r Llywodraeth Cymru. Rydyn ni'n cyflwyno
40.0,44.0," tri arwain yn y ffordd hon. Un, bod hyn yn broblematig economaidd i'r"
44.0,48.0," wladau ar-dynion. Ddwy, bod hyn yn cynyddu'r effaith cyd-dynol Cymru mewn ffordd hon. Un, bod hyn yn broblematig economaidd i'r cwmnïau ar y rwd, ddwy, bod hyn yn cynyddu'r ddiffyg cyd-dwylo'r China mewn ffordd negid,"
48.0,52.0," a tri, bod hyn yn ddyfynu cymdeithaswyr neu gyllidau cymhwysof."
52.0,56.0, Beth ydym ni'n ei olygu wrth siarad am y cyd-dwylo'r un?
56.0,60.0, Rydym yn golygu'r prosiect cyfraniadol Cymru cywir i adeiladu'r
60.0,64.0," ffordd ffyrdd silc ar y rwd. Mae China'n gwerthu i fuddsoddi, gan ryw fath o ystyried,"
64.0,69.82, hyd at $900 miliwn o ddolr yn cwladau o'r Rwythu'r Silch. Beth yw ein cymryd yn y debat?
69.82,73.4, 1. Rydyn ni'n credu bod y cyflwyniad y Rwythu'r Silch wedi bod ac yn parhau i fod yn
73.4,78.54, cydymfforddiadwy ac yn ddifrifol i'r byd. 2. Rydyn ni'n cefnogi prosiectau infrastrwctu domestig
78.54,85.0," ac yn cefnogi defnyddio cymorth a chyllid gwledig i ffynnu'r prosiectau hynny, ond nid ydym yn credu y dylid bod Cymru'n bwriadwr mawr,"
85.0,88.0," neu mewn gwirionedd, gweithredwr effeithiol yn y broses hwnnw."
88.0,94.0," 3. Rydyn ni'n cefnogi cyllidebau gwahanol gan sefydliadau fel y Ban Cynhyrchu Cymru,"
94.0,98.0," y DU, y DU, y IMF, a'r Ban Gynhyrchu Ewropeaidd."
98.0,102.0, Mae fy ngyrch cyntaf yn y ffordd y mae'n ddiffyg economaidd i wladau ar y rôl.
102.0,106.0," Gallwn weld, mewn cyfnod hir, y efallai fod yn gwneud gwirionedd economaidd"
106.0,108.0, i rai o'r rhai o'r wladau hyn
108.0,110.0, dynnu cyllid Cymru.
110.0,112.0," Ond yn y byd, mae'n bob amser yn broblemol"
112.0,114.0," i wladau mwyach ar y rydyn,"
114.0,116.0," yn Asia Cymru, Asia Gwledig a Phrydain."
116.0,118.0," Er bod yn amlwg,"
118.0,120.0, neu'n cael ei ddysgu gan Lywodraeth Cymru
120.0,122.0, fel cyd-ddydd neu llawdau
122.0,124.0," i helpu'r wladau hyn,"
124.0,146.08," mae'n ymddygiad llawer maf neffariol i ddweud y gwir. fel farchnadau aethogol, fel diwylliant arian, fel corfforwyddiad llimitir, fel stabilidad"
146.08,149.6," gwleidyddol, yn aml yn y ffordd o ddemocratiaeth, rydyn ni'n dweud bod hynny'n beth da, oherwydd"
149.6,154.16, mae wladau sydd angen y stwythoedd gwleidyddol neu economaidd i ddod yn gyfrifol o ddoddau
154.16,159.44, fyddant yn gweithio o'r ddoddau hynny yn y cyntaf. Mae'r holl nodiadau hynny'n helpu i ddarparu
159.44,166.0, a chyflawni gwleidyddion i ddatblygu economïau i'r pwynt lle bydd y llyfrau y maen nhw'n eu defnyddio yn effeithiol yn y economïau hynny.
166.0,174.0," Er cyd, mae un peth o'r wladau y mae China wedi rhoi llyfrau i wedi cael eu ddysgu gan y IMF fel bod yn seiliedig ar ddysgu."
174.0,189.66," Nawr, nid yw hynny'n rhywbeth. Mae China'n ymwneud â chyngor a chyngorau sydd yn targedu cyflogau sydd ddim yn gwneud cyflogau yn ôl, so that when they're unable to, it's able to demand a whole host of other things which prioritise Chinese interests over the long-term economic, social and political development of those countries."
189.92,190.68, What does that look like?
190.94,195.26," One, it looks like the projects they've used for having to be built by Chinese contractors."
195.26,201.54," Like a railway between Djibouti and Ethiopia, funded and built entirely by Chinese contractors."
201.76,207.6," So not only are these countries getting themselves into debt, which they have to pay interest on, gan gynhyrchwyr Cynulliad Cynulliad. Felly nid yw'r rhai hyn yn cael eu hysbysebu i mewn i ddau, sydd yn rhaid iddyn nhw ddod o hyd i'r cymorth. Yn hir o'r arian maen nhw'n ei gael o'r Cynulliad,"
207.6,210.4," mae'n rhaid iddyn nhw roi'r cymorth yn gyntaf i'r Cynulliad yn y cyntaf,"
210.4,215.12," er mwyn eu buddsoddi'r cyllid hyn. Felly mae'r Cynulliad yn rhoi $814 miliwn i Djibouti,"
215.12,227.46," ac yna mae'n gofyn iddyn nhw roi $400 miliwn yn ô a railway, a port, and owning all of that Djiboutian debt."
227.82,229.82," Two, if they can't repay these loans,"
230.12,232.76, China takes control of major infrastructure projects
232.76,235.94," with significant economic and national security value,"
236.14,241.68," like the port of Athens that was given up by Greece to China in repayment for China's loans,"
241.68,244.68, like mines in Angola which are today owned by China
244.68,248.56," as a result of the fact that China has demanded them from those countries. Look, they're basically"
248.56,253.64," the international equivalent of loan sharks, guys. But that's not all. There are a number"
253.64,258.56, of economic disadvantages that accrue when countries are invested in by China. A. Many
258.56,262.7, of these projects are doomed to fail. Because they demand Chinese contractors who don't
262.7,267.0," have local knowledge or experience of the communities or conditions in which they're Oherwydd bod yn gofyn i chynhyrchwyr Cymdeithasol nad yw gwybod lleol neu'n profiad o'r cymunedau neu'r cyfnodau y maen nhw'n gweithio,"
267.0,272.0, mae'r prosiectau hyn yn amlwg ddim yn cael eu di-gwaith ac mae'r wladau wedi cael cymaint o ddau a dim yn dangos arnynt.
272.0,290.48," Yn Pakistan, roedd y prosiect Karachi Rail, yr airport Gwadar, y dam Diamond Bar, yn costio 22 miliwn o do succeed, and of course some do, are the ones which further China's ability to control those countries."
290.96,295.24, The projects which don't are the ones which would actually benefit the individuals in those countries.
295.5,299.92, That's why Pakistan have literally rejected more aid and said they'll build the dam themselves
299.92,307.58," because they've had enough of being exploited by China. Before I talk to you about why the One Belt, One Road initiative"
307.58,310.44," increases China's influence in the world in a problematic way,"
310.5,311.38, I'll take a point of information.
311.58,315.44," The greatest threat to freedom is when people on the ground don't have jobs,"
315.44,318.78," don't have electricity, don't have roads and don't have money."
319.12,320.62, How does your side solve this problem?
320.98,323.54," Ed's going to talk to you in his speech about the way that China,"
323.76,325.18," as compared to the international community, gives loans, actually entrenches the interests of illiberal power. Mae Ed yn mynd i siarad â chi yn ei sbeth am y ffordd mae China, o'i gwahaniaeth â'r cymuned"
325.18,330.22," rhyngwladol sy'n rhoi llwyddiant, yn gwneud yn gwirioneddol yn ymdrin â phwysigrwydd ddim-liberal."
330.22,335.26," Yn y bôn, oherwydd nad oes China gyda chynnydd i gyngor am democratiaeth, i gyngor i'w"
335.26,340.76," bwrw i'r llibreolaeth mewn ffordd mae sefydliadau eraill yn ei wneud, does China ddim"
340.76,344.84," gofyn i'r pethau hynny gan ddictatwyr, yn hytrach mae'n rhoi cysylltiadau elfen-wyd-dwy"
344.84,348.02," maen nhw'n gallu eu gwahanolu â'u pobolwyr, wrth iddynt parhau i'w ddiffryddu. China doesn't require those things from dictators. Instead, it just gives them big white elephant projects that they can distract their populaces with while they continue to oppress them."
348.22,352.42," Let's talk about how the One Belt, One Road initiative increases China's influence in a problematic way."
352.68,355.3, First thing to note here is that China is a bad actor.
355.3,362.06, A. China is effectively a dictatorship and President Xi has ensured that he will be in power for at least the foreseeable future.
362.36,370.2, B. China consistently suppresses political and social dissident internally. And three. China persistently abstains or vetoes resolutions
370.2,375.42," in the United Nations that would harm repressive regimes like Syria, like Zimbabwe, like Myanmar."
376.04,381.82, We are principally against an actor as repugnant as this gaining more power globally. And we
381.82,385.04, think that it's only as a consequence of China's global influence that people so often overlook yn cael mwy o bwer yn y ddynion. Ac rydyn ni'n credu ei bod yn unig fel ganlyniad o ddiflwm y ddynion cymdeithasol
385.04,390.6," Cynnyddol y mae pobl yn amlwg beth o'r amlwg a'r amlwg. Felly, y peth i'w adnabod yma"
390.6,396.56," yw bod y polisi un llawr, un llwybr y mwyaf amlwg i gynyddu ddiflwm y ddynion cymdeithasol Cymru."
396.56,399.0, Rydyn ni wedi dangos i chi pam nad yw hynny'n rhywbeth y ddylai'i gefnogi.
399.0,407.68," A, oherwydd fel amgylchedd ar gyfer y cyllid economaidd y mae'n ei ddarparu o dan y system honno, mae'n gofyn cefnogaeth gwleidyddol gan y wladau y mae'n ei ddarparu'r cyllid hynny hefyd."
407.68,413.04," Ar bob 10% mwy o gilydd, mae'r dynion Cymru yn cyd-drech ynghyd â Chyngor yng Nghymru."
413.04,418.8," Maen nhw'n cael, ar gyfer cyfnod, cynydd 83% o'r cymaint o arian y maen nhw'n ei gael. Felly,"
418.8,424.24," rhywbeth, rhywbeth, yn 2005, pan wnaeth y Dynion Cymru ddewis ar y cynyddu'r Cyngor Gwarchod,"
424.24,431.7," yr hyn rydyn ni'n meddwl y byddai wedi bod yn beth anhygoel, roedd y dynion Cymru a oedd yn In 2005, when the United Nations voted on expanding the Security Council, which we think would have been a great thing, it was African nations who prevented that from happening because China didn't want Japan getting a veto."
432.0,449.02," The second mechanism here is that China uses the Belt and Road Initiative to gain support for aggressive foreign policy objectives, which it has. Papua New Guinea was economically forced into, for the first time, officially recognising China's legitimacy in the South China Sea in 2016,"
449.4,454.94, as a result of the incredible stranglehold that China had over the economy of Papua New Guinea.
455.04,468.8," They have their finger on the jugular of these countries, and they can use that to pressure them into giving international support for their policies and to controlling their economies. yn ymddiriedol ar gyfer eu polisïau a chyfrifo eu cymdeithasau. Yn gyfan, mae'r holl ddegau y mae China wedi'u cymryd i gynyddu ei ddiffyg ei hun"
468.8,472.64," drwy ddewis polisi un belc, un rôd wedi gwneud y byd yn lle gwaethaf."
472.64,475.6, Rydym yn meddwl y byd yn well ganddynt os defnyddion y cwmnïau hynny
475.6,480.24," a chyfranogol, a chyngorol neu arian am gyfranogadau."
480.24,483.92," Felly, oherwydd rydym wedi dangos i chi sut, un, pan fydd cwmnïau'n cymryd arian Cymraeg"
483.92,485.4," o ran yr un belc, un rôd, mae hynny'n gweithio'n gwaethaf i'r cwmnïau hynny So, because we've shown you how, one, when countries accept Chinese loans under the One Belt, One Road initiative,"
485.56,488.56," that is actually worse off for those countries in the long run,"
488.68,493.58," and two, how China is using this as a soft power initiative to gain more international prestige,"
493.78,495.06, I beg you to propose.
499.94,503.9, So proposition talks a good game about sovereignty and democracy.
504.36,509.36, But the greatest threat to all of this is when people are trapped by the shackles of poverty.
509.9,514.82," Recognise the BRI is the reason why locals in Pakistan, Kazakhstan and Thailand"
514.82,518.88," have jobs, money, electricity and schools for the first time."
519.14,520.66, That alone is a good thing.
520.92,522.14, What is our stance in opposition?
522.5,524.02," First, we support the BRI."
524.44,525.36, This means we support
525.36,529.96, a system where China provides developing countries with low-interest loans that allow them to
529.96,535.06," build a basic infrastructure like power grids, highways and airports. Second, of course we"
535.06,538.72," may also support countries getting loans from multilateral lenders like the World Bank,"
538.98,543.22, which is exactly their policy. But there is obviously a reason why many countries are
543.22,549.0," cutting to the BRI, because Western loans are either A. simply not enough, B. charge far higher interest,"
549.0,554.0, or C. come attached to strict conditionality that privilege only Western interests.
554.0,555.0, We're going to forward three arguments.
555.0,558.0," First, that the BRI creates economic development."
558.0,560.0," Second, that it prevents Chinese aggression."
560.0,565.0," And third, and our second speaker, that our side strengthens trade networks."
565.0,567.0," Before that, some housekeeping. Let's deal with their policy."
567.0,571.0, The US network has foreign aid and multilateral donors like the IMF.
571.0,574.0, This is simply unviable today for three reasons.
574.0,578.0," First, the West is becoming increasingly unreliable and insular."
578.0,581.0," The act of Trump's America is literally America first,"
581.0,585.0," and under Trump, the US has cut contributions to the IMF by one third."
585.0,590.0," Furthermore, just look at the EU's financial woes in a recessionary climate, which is precisely"
590.0,595.0," why it has cut budgets for international aid by 10 billion euros. But second, even where"
595.0,599.0," Western aid is offered, it comes with highly restricted conditionalities, so very few countries"
599.0,603.0," actually need this cry of busy aid. And this is odd, because from our position we hear"
603.0,605.0," that strict conditionalities are actually a good thing because countries that don't this cry of the CK. And this is odd because from what we've heard, shift in nationalities"
605.0,608.0," are actually a good thing because countries that don't deserve to get it, don't get it."
608.0,613.0," I'm not sure who the proposition is to dictate who exactly is deserving of aid, who exactly"
613.0,617.0, should be deserving of living in poverty and who should not be able to do so. I mean they
617.0,621.0, need to prove to us why they can say that certain countries just don't deserve this aid.
621.0,624.0," Furthermore, it's just not true that the IEM is always good. Look at Latin America"
624.0,627.0, and crippling debt crisis that cripples the tourism industry.
627.0,630.0, We think all of this shows that these are not actually viable alternatives.
630.0,634.0," So the reality, Robert Higgins stands for, is one where without the BRI,"
634.0,639.0, millions of rural villages across Asia and Africa will be mired in abject poverty
639.0,641.0, because they have no one else to turn to.
641.0,646.0," So, first point rebuttal, what exactly is China like? We think this example"
646.0,649.0," back from here is really symmetric because for every example of a hammer to the port,"
649.0,654.0, we can give you other examples of good projects. So the question to ask is incentives. And
654.0,658.0," we argue, we completely agree that China is self-interested. That's why its interest"
658.0,663.0," converged on the people it's trying to help, for a few reasons. First, its desire for legitimacy,"
663.0,668.0," because many countries are very suspicious of this new BRI initiative. It's in China's trying to help, for a few reasons. First, it's desire for legitimacy, because many countries are very suspicious of this new BRI initiative. It's in China's interest"
668.0,672.0, not to conform these suspicions by proving themselves to be standing these countries
672.0,676.0," in debt. Second, China obviously prefers a world where trade partners are doing well,"
676.0,680.0," as opposed to a system of debt slavery, because it wants mutually beneficial trade deals with"
680.0,688.3," other flourishing economies. If China really wants to achieve its stature of being an economic hegemon, it wants to be a big brother of a flourishing region,"
688.3,692.0, not a failing one as your side claims would be. So we need to clear China's incentive
692.0,693.3, to be good to these nations.
693.3,696.5," Second question, about the society we can't talk about. So the first one we talk about"
696.5,700.0," is about this whole idea of a debt trap. First, I'll tell you why you won't get money from"
700.0,706.0," any other countries. Second, debt is not an A, it's not an A-point or a bad thing for governments."
706.0,710.0, It's only that when the interest rate is higher than that of the GDP growth rate of these countries.
710.0,716.0," And we argue, for three reasons, BRI is not a problem. Because first, it offers low interest loans."
716.0,722.0," Second, because most of these countries that China is dealing with are experiencing rapid economic growth,"
722.0,729.0," that means they are able to pay these loans. And third, GDP growth is hugely helped by infrastructure projects that China builds."
