start,end,speaker
17.97,37.24,SPEAKER_03
37.44,217.74,SPEAKER_03
144.77,145.05,SPEAKER_00
217.99,300.83,SPEAKER_03
235.88,236.5,SPEAKER_02
257.39,257.91,SPEAKER_00
301.27,313.65,SPEAKER_03
301.57,302.3,SPEAKER_06
313.94,349.43,SPEAKER_03
349.44,369.58,SPEAKER_03
354.66,354.76,SPEAKER_06
369.76,373.44,SPEAKER_03
370.64,371.25,SPEAKER_05
373.44,373.47,SPEAKER_05
373.81,386.03,SPEAKER_05
386.03,402.42,SPEAKER_03
402.52,437.46,SPEAKER_03
437.68,517.45,SPEAKER_03
493.41,493.47,SPEAKER_06
520.59,601.86,SPEAKER_00
558.09,558.73,SPEAKER_01
602.03,602.49,SPEAKER_04
602.49,889.21,SPEAKER_00
674.1,674.34,SPEAKER_01
719.18,719.38,SPEAKER_01
889.39,929.62,SPEAKER_00
908.77,908.92,SPEAKER_01
926.86,926.92,SPEAKER_03
929.89,937.03,SPEAKER_03
937.03,1014.1,SPEAKER_00
1017.98,1023.7,SPEAKER_02
1024.04,1027.92,SPEAKER_02
1024.41,1024.58,SPEAKER_00
1028.14,1035.23,SPEAKER_02
1032.11,1032.41,SPEAKER_00
1035.63,1060.34,SPEAKER_02
1036.39,1036.65,SPEAKER_00
1038.32,1038.74,SPEAKER_06
1060.68,1062.99,SPEAKER_02
1063.31,1065.0,SPEAKER_02
1065.5,1078.93,SPEAKER_02
1079.17,1080.05,SPEAKER_02
1080.47,1085.6,SPEAKER_02
1086.22,1146.43,SPEAKER_02
1147.06,1152.66,SPEAKER_02
1152.81,1179.04,SPEAKER_02
1155.34,1155.77,SPEAKER_06
1172.08,1172.27,SPEAKER_06
1179.37,1179.96,SPEAKER_05
1179.96,1181.06,SPEAKER_02
1181.26,1236.11,SPEAKER_02
1235.13,1235.53,SPEAKER_05
1236.43,1276.07,SPEAKER_02
1250.3,1250.35,SPEAKER_00
1256.21,1256.76,SPEAKER_06
1264.86,1265.27,SPEAKER_06
1276.15,1277.49,SPEAKER_02
1277.79,1282.38,SPEAKER_02
1282.6,1282.7,SPEAKER_02
1282.7,1282.92,SPEAKER_00
1282.92,1282.95,SPEAKER_02
1282.95,1282.99,SPEAKER_00
1282.99,1283.04,SPEAKER_02
1283.04,1296.93,SPEAKER_00
1297.52,1298.17,SPEAKER_00
1298.17,1298.55,SPEAKER_02
1298.75,1301.97,SPEAKER_02
1302.07,1319.52,SPEAKER_02
1319.57,1331.2,SPEAKER_02
1331.59,1335.5,SPEAKER_02
1335.65,1351.11,SPEAKER_02
1351.26,1405.25,SPEAKER_02
1382.25,1382.26,SPEAKER_00
1382.26,1382.67,SPEAKER_06
1382.67,1382.79,SPEAKER_00
1405.4,1445.95,SPEAKER_02
