start,end,text
0.0,23.22," Every time Sri Lanka's ex-president turned to China for a loan for his ambitious port,"
23.82,26.0, China said yes.
26.0,29.0," Yes, though feasibility studies disapproved."
29.0,33.0," Yes, though frequent lenders like India had rejected the plan."
33.0,37.0," Yes, though Sri Lanka's debt was already ballooning under Mr Rajapaksha."
37.0,41.0," When, predictably, Sri Lanka's government struggled to repay the debt,"
41.0,46.34," they were forced to hold Pan-China, the port, for 99 years. From Ethiopia to Kazakhstan,"
46.88,48.14, where Chinese money was once
48.14,50.36," celebrated, today protests erupt"
50.36,52.42, against these failed projects.
52.68,54.06," We say it was just one road,"
54.24,56.24, then it's a dead end. What do we stand for?
56.5,58.42," The Belt and Road Initiative, or BRI,"
58.9,60.58, refers to China's infrastructural
60.58,62.42," projects throughout Europe, Asia,"
62.68,64.28," and Africa. This includes railways,"
64.28,65.08," bridges, and seaports to make two passages that give China infrastructure projects throughout Europe, Asia and Africa. This includes railways, bridges"
65.08,71.08, and seaports to make passages that give China direct access to 70 nations.
71.08,76.2," Along the historic Silk Road, as a part of Xi Jinping's grand strategy, what are the"
76.2,80.9, key characteristics of this? It is financed through billions in debt that is not conditional
80.9,87.06," on economic or political reform. Debt that is funneled through Chinese state banks and China-run AIIB,"
87.18,91.12, making it subject to purely and exclusively Chinese oversight.
91.12,97.54, These construction projects are also exclusively run by Chinese state-run firms with Chinese workers.
97.86,100.84," If a loan is not repaid, China will forgive a part of the debt"
100.84,104.82, in exchange for ownership of the infrastructure like we saw in Sri Lanka.
105.0,109.0," What is the context of this debate? Over the last five years, China could have gone down"
109.0,114.0, two roads. They could have worked with existing systems of development using their increased
114.0,119.0," influence in the World Bank, Asian Development Bank, the BRICS Bank to strengthen the systems"
119.0,124.0," of collaborative lending, or they could have gone at it alone where the terms are dictated"
124.0,125.0, by their self-interest.
125.0,129.0, We regret that China didn't take the first road and took the latter road.
129.0,132.0," It's not that we think China is malicious, but that they are self-interested."
132.0,136.0, And it makes sense for them to go do what gives them the most soft power.
136.0,142.0," But this debate is about whether we, as the recipients of these projects and the world community,"
142.0,144.0, think that they have created a net harm. We say yes.
144.0,148.26," Three arguments. First, the Belt and Road Initiative is the road to economic"
148.26,153.44," harm to host nations. Two, the Belt and Road Initiative is the road to upsetting the international"
153.44,158.34," power, balance of power. And third, the BRI is the road to entrenching in liberal regimes."
158.56,163.66," First, why is the BRI the road to economic harm for its recipient nations? These projects"
163.66,169.34," are funded through loans. Given how projects are run by Chinese corporations with Chinese workers, nations"
169.34,174.58, should have already been cautious about the debt. But the BRI targets small and economically
174.58,179.52, vulnerable nations that are unable to reject Chinese loans when it comes to mounting pressure.
179.64,184.4, They fear that non-participation will cause that the trade deals that China will have
184.4,185.18, will be something that they lose out of trade deals that China will have will be something
185.18,189.58," that they lose out of, and that they will lose these generous Chinese aid."
189.66,193.88, So when Beijing comes knocking on Mongolia's door and threatens to end their cooperation
193.88,199.06," on tuberculosis in the Shanghai Cooperation Organization, Mongolia isn't really begging"
199.06,201.6, for the bridges that get built in their nation.
201.94,207.24," When these nations take this step, default is the most likely reality."
207.24,208.06, Why?
208.06,209.6, Because the speciality of Chinese loans
209.6,212.74, is that they don't require economic reform.
212.74,214.12," So the governments take on loans,"
214.12,216.02, but don't rein in on spending
216.02,218.06, and then struggle to repay them.
218.06,221.1," Their infrastructure, set up under the BRI,"
221.1,222.64," also does not pay for itself,"
222.64,226.0," because they are often white elephants, vanity"
226.0,230.4, projects of leaders that duplicate existing infrastructure. That's why when Prime Minister
230.4,235.6," Rajapaksa builds a second Sri Lankan ad board, which he names after himself with the money"
235.6,241.4," from the BRI, he saddles the country with debt and the world's emptiest ad board."
241.4,248.68, What are the consequences of this default? China could graciously forgive this debt and so generously take over the infrastructure
248.68,252.24," but that means they have control over ports, roads and airports."
252.24,259.04," In fact, this is the deliberate Chinese contingency plan that in the worst case, they take back"
259.04,266.0, their sunk costs using your ports and your airports to dump their products into your country
266.0,272.0, and then they use those very resources to extract your natural resources and take it out through your ports.
272.0,279.0, We've seen debt defaults in developed nations like Greece fracturing the spirit of the people and leaving people who aren't employed.
279.0,281.0, Imagine this in Kenya.
281.0,286.2," Crucially, default in the wake of an unfinished project is devastating to other"
286.2,288.2, countries in the BRI. You can't
288.2,290.16, build a road from China to Egypt if
290.16,292.18, Kenya in the middle defaults.
292.4,294.32, That's why this would
294.32,296.16, invalidate anyone's investment
296.16,298.26," because when one nation defaults,"
298.42,300.26, it puts the entire project at the
300.26,301.88," risk of default. In the comparison,"
302.34,304.16, the alternative is borrowing from multilateral
304.16,305.46," institutions like the Asian Development Bank, Br the comparison, the alternative is borrowing from multilateral institutions like the Asian"
305.46,308.9," Development Bank, BRICS Bank or the African Development Bank."
308.9,314.08," Sure, China might have inflated the total amount of debt, but all debt is in good debt."
314.08,316.3, What does multilateral debt look like instead?
316.3,318.18, No one country has exclusive power.
318.18,323.24," Brazil, Russia, India, China and South Africa each have the same equal share of 20% in the"
323.24,324.24, BRICS Bank.
324.24,325.0, In the Asia Development
325.0,331.0," Bank, the US and Japan account for 15% while China, India, Canada and Korea have the rest."
331.0,336.0, Maritime lenders each want their money back and use their power to check each other. So
336.0,341.0," even if independently they are self-invested, together they can't design a system that"
341.0,345.82, cedes monopoly over infrastructure to one country. So default is mutual loss
345.82,350.68, in such an investment for the investor and the host nation. So in each of them asking
350.68,357.68," for their money back and holding these nations accountable, they lend with sustainable preconditions."
357.68,363.4, We regret the BRI for being a regime that is designed to prey on the most economically
363.4,369.3," vulnerable nations. Second, why is the BRI the road to upsetting the international balance of power?"
369.3,373.08, BRI uniquely empowers the Chinese global hegemony for that.
