start,end,speaker
14.64,104.03,SPEAKER_02
109.97,110.26,SPEAKER_02
110.31,110.73,SPEAKER_02
110.76,110.82,SPEAKER_02
110.83,110.93,SPEAKER_02
110.97,123.81,SPEAKER_02
124.01,165.79,SPEAKER_02
151.5,151.69,SPEAKER_00
164.55,164.88,SPEAKER_00
166.06,177.78,SPEAKER_02
179.11,298.03,SPEAKER_02
298.25,298.38,SPEAKER_02
303.97,326.04,SPEAKER_02
327.78,328.13,SPEAKER_02
328.37,329.06,SPEAKER_02
329.33,336.13,SPEAKER_02
336.25,341.26,SPEAKER_02
341.67,361.58,SPEAKER_02
361.76,403.82,SPEAKER_02
404.09,443.54,SPEAKER_02
443.79,470.64,SPEAKER_02
471.27,507.92,SPEAKER_02
511.39,708.75,SPEAKER_07
518.09,518.43,SPEAKER_00
582.2,582.72,SPEAKER_05
709.03,760.6,SPEAKER_07
761.31,814.37,SPEAKER_07
766.27,767.02,SPEAKER_00
814.98,858.88,SPEAKER_07
859.14,870.27,SPEAKER_07
870.76,876.84,SPEAKER_07
876.84,885.85,SPEAKER_05
886.09,892.47,SPEAKER_07
892.89,955.86,SPEAKER_07
926.01,926.22,SPEAKER_00
956.46,1001.11,SPEAKER_07
1005.78,1007.96,SPEAKER_05
1008.08,1249.54,SPEAKER_05
1068.07,1068.22,SPEAKER_00
1102.47,1102.51,SPEAKER_00
1102.53,1102.64,SPEAKER_00
1154.65,1155.02,SPEAKER_00
1250.08,1258.69,SPEAKER_01
1258.69,1424.45,SPEAKER_05
1424.53,1430.63,SPEAKER_06
1431.2,1502.23,SPEAKER_05
1506.9,1526.91,SPEAKER_04
1526.98,1527.03,SPEAKER_04
1534.96,1535.03,SPEAKER_04
1535.98,1536.08,SPEAKER_04
1536.11,1536.23,SPEAKER_04
1536.75,1536.87,SPEAKER_04
1536.97,1561.04,SPEAKER_04
1574.97,1586.37,SPEAKER_04
1586.47,1593.03,SPEAKER_04
1598.97,1643.03,SPEAKER_04
1665.98,1666.03,SPEAKER_04
1673.96,1734.04,SPEAKER_04
1735.54,1787.6,SPEAKER_04
1787.68,1788.17,SPEAKER_04
1788.39,1788.51,SPEAKER_04
1788.65,1792.8,SPEAKER_04
1792.8,1792.98,SPEAKER_05
1792.98,1793.03,SPEAKER_04
1793.03,1803.02,SPEAKER_05
1802.48,1802.82,SPEAKER_04
1803.02,1814.03,SPEAKER_04
1814.06,1814.46,SPEAKER_04
1814.94,1814.95,SPEAKER_04
1814.97,1815.04,SPEAKER_04
1824.51,1824.56,SPEAKER_04
1824.66,1824.71,SPEAKER_04
1824.98,1841.03,SPEAKER_04
1849.97,1878.03,SPEAKER_04
1878.15,1878.39,SPEAKER_04
1878.42,1879.01,SPEAKER_04
1886.79,1903.02,SPEAKER_04
1903.94,1903.95,SPEAKER_04
1904.36,1905.03,SPEAKER_04
1912.71,1926.03,SPEAKER_04
1926.62,1926.65,SPEAKER_04
1926.68,1926.7,SPEAKER_04
1926.75,1927.31,SPEAKER_04
1927.36,1927.51,SPEAKER_04
1927.53,1927.59,SPEAKER_04
1931.97,1951.1,SPEAKER_04
1954.95,1954.97,SPEAKER_04
1956.1,1956.2,SPEAKER_04
1956.27,1956.45,SPEAKER_04
1956.6,1972.25,SPEAKER_04
1972.47,1973.19,SPEAKER_04
1973.36,1973.65,SPEAKER_04
1973.83,1973.85,SPEAKER_04
1974.24,1974.46,SPEAKER_04
1974.47,1974.49,SPEAKER_04
1974.76,1975.55,SPEAKER_04
1975.67,1976.11,SPEAKER_04
1976.14,1990.44,SPEAKER_04
1994.49,2001.41,SPEAKER_03
2001.46,2050.85,SPEAKER_03
2051.07,2059.29,SPEAKER_03
2059.47,2110.03,SPEAKER_03
2110.05,2271.42,SPEAKER_03
2218.38,2218.42,SPEAKER_00
2271.54,2294.09,SPEAKER_03
2294.39,2296.75,SPEAKER_07
2297.07,2334.45,SPEAKER_03
2334.64,2438.57,SPEAKER_03
2438.76,2490.88,SPEAKER_03
2495.2,2495.96,SPEAKER_01
2495.98,2496.18,SPEAKER_01
2496.21,2496.25,SPEAKER_01
2496.27,2496.32,SPEAKER_01
2497.31,2497.41,SPEAKER_01
2497.48,2498.7,SPEAKER_01
2498.97,2521.95,SPEAKER_01
2522.17,2642.76,SPEAKER_01
2643.04,2757.03,SPEAKER_01
2665.94,2666.04,SPEAKER_00
2757.24,2763.23,SPEAKER_01
2763.5,2793.33,SPEAKER_01
2793.48,2802.14,SPEAKER_02
2802.51,2918.82,SPEAKER_01
2920.01,2930.49,SPEAKER_02
2930.21,2985.4,SPEAKER_01
2989.22,2995.19,SPEAKER_07
2995.31,3078.47,SPEAKER_07
2998.8,2998.97,SPEAKER_00
2999.33,3000.02,SPEAKER_00
3000.03,3000.15,SPEAKER_00
3078.59,3093.57,SPEAKER_07
3093.78,3105.12,SPEAKER_07
3105.33,3151.47,SPEAKER_07
3152.15,3215.93,SPEAKER_07
3203.67,3204.19,SPEAKER_00
3216.19,3241.8,SPEAKER_07
3246.95,3261.33,SPEAKER_05
3261.75,3270.98,SPEAKER_05
3271.08,3507.42,SPEAKER_05
