start,end,text
0.0,19.96," In the war against injustice, it can be all too tempting to demoralize the enemy with"
19.96,23.12, cannons of vengeance and bullets of hatred.
23.12,28.5, But this war must be fought with kindness and understanding.
28.76,32.26," Therefore, the criteria on which this debate must be adjudicated on"
32.26,36.3, is whether we can prove how call-out culture in its way has manifested
36.3,40.68," as counterproductive and toxic, something we should clearly regret."
40.98,42.24, Two arguments in my speech.
42.24,45.62," The first is why call-out culture is principally unjust,"
46.04,50.76," and the second, why call-out culture is counterproductive in a general sense. But before"
50.76,56.72," that, what do we support on proposition? We support any and every action to combat worth and need"
56.72,62.56," without the presence of rage and hatred, without the need to strip people of their dignity in a"
62.56,65.66, public setting and inflame issues even more.
66.14,68.62," Therefore, we will push for call-in culture."
68.98,72.82," As the name suggests, we will have private discussions and non-targeted messaging"
72.82,77.36, that promotes cohesion instead of the misgivings of people.
77.36,82.4," This materializes by pushing more literature on contentious issues like mental health,"
82.68,90.0," like racial disparities, to make it clear in the public consciousness that certain things are categorically harmful."
90.0,95.1," Moreover, since this is a regret motion, we would prioritize campaigns, better education,"
95.1,101.0," social media platforms, the efficacy of all of this severely diluted by this call-out"
101.0,104.0, culture that opposition must defend.
104.0,106.34," Thus, we will also prove how, in retrospect,"
106.92,109.62, individuals would have been much more receptive to these things
109.62,114.64, without all of this call-out culture existing in the first place.
114.64,119.02," The first argument, why call-out culture is principally unjust."
119.32,122.22, It is important to recognize that no one in this world
122.22,126.4," is born racist, sexist, or discriminatory. For"
126.4,130.92," those that grew up and deployed a bunch of offensive language, it's likely they grew"
130.92,137.4," up in a world of ignorance, a world of indoctrination, and negative experiences. Three examples."
137.74,142.88," The first is for negative experiences, someone who grows up sexist may have had bad experiences"
142.88,148.16," with women, associating these issues on a micro sense with the macro sense of women in general."
148.16,153.7, The second example is bullies are more likely to come from broken homes
153.7,156.44, and lack of constructive parental supervision.
156.98,160.84," Thus, they thrive on the fact that they need security and satisfaction"
160.84,164.9, that would be sadly missing within their contracts of their homes and their schools.
165.26,165.78," No thank you. Thirdly, the richer members of society would be sadly missing within their contracts at their homes and their schools. No thank you."
166.12,171.76," Thirdly, the richer members of society would be ignorant of the effect of acute struggles of people in poverty,"
172.16,175.3," in struggles that they would not have to associate with on a day-to-day basis,"
175.66,177.76, and thus are more likely to deprioritize these issues.
178.84,180.94, What do these three examples illustrate?
181.08,185.1," In all these instances, when someone commits an offense there's"
185.1,190.1, always a story behind it. A story where perpetrators are victims and when
190.1,195.12, society itself has failed them from the start. The impact of all of this is that
195.12,201.24, call-out culture exclusively ignores the nuances of all the analysis I've got
201.24,205.56, earlier on. Therefore the offense is viewed with the lens that people
205.56,210.44," that commit these crimes, or commit these actions, are horrible and not someone that"
210.44,216.12, we should engage in the very first case. This makes call-out culture a disproportionate
