start,end,speaker
18.15,25.8,SPEAKER_05
26.17,39.45,SPEAKER_05
39.54,40.33,SPEAKER_05
40.95,45.61,SPEAKER_05
45.81,53.02,SPEAKER_05
53.39,54.59,SPEAKER_05
54.86,56.34,SPEAKER_05
56.43,58.18,SPEAKER_05
58.2,60.71,SPEAKER_05
60.98,102.6,SPEAKER_05
102.68,123.12,SPEAKER_05
123.29,126.04,SPEAKER_05
126.36,127.03,SPEAKER_05
128.48,128.52,SPEAKER_05
128.74,129.02,SPEAKER_05
132.01,132.3,SPEAKER_05
132.42,133.02,SPEAKER_05
134.73,134.86,SPEAKER_05
135.0,135.03,SPEAKER_05
135.25,135.77,SPEAKER_05
135.98,136.03,SPEAKER_05
136.04,136.53,SPEAKER_05
136.94,137.31,SPEAKER_05
137.41,227.0,SPEAKER_05
199.04,199.05,SPEAKER_06
199.11,199.22,SPEAKER_06
199.44,199.49,SPEAKER_02
199.49,200.05,SPEAKER_06
200.05,200.07,SPEAKER_02
227.22,228.15,SPEAKER_05
228.48,260.75,SPEAKER_05
261.14,288.04,SPEAKER_05
289.0,290.03,SPEAKER_05
293.79,293.89,SPEAKER_05
294.01,294.03,SPEAKER_05
297.01,297.03,SPEAKER_05
297.37,298.03,SPEAKER_05
298.97,299.04,SPEAKER_05
299.26,299.97,SPEAKER_04
299.97,300.3,SPEAKER_05
300.93,301.03,SPEAKER_05
309.6,309.62,SPEAKER_05
309.72,309.75,SPEAKER_05
309.81,310.75,SPEAKER_05
310.89,311.04,SPEAKER_05
311.05,311.54,SPEAKER_05
311.66,312.07,SPEAKER_05
312.45,313.03,SPEAKER_05
313.97,314.02,SPEAKER_05
314.26,316.02,SPEAKER_05
316.13,330.04,SPEAKER_05
330.14,331.03,SPEAKER_05
331.37,331.51,SPEAKER_05
331.52,331.93,SPEAKER_05
331.95,331.96,SPEAKER_05
342.81,342.88,SPEAKER_05
342.91,347.1,SPEAKER_05
347.27,348.03,SPEAKER_05
348.72,349.02,SPEAKER_05
