start,end,speaker
10.95,12.97,SPEAKER_04
12.97,275.82,SPEAKER_07
276.16,329.16,SPEAKER_07
330.21,339.45,SPEAKER_06
340.6,523.16,SPEAKER_07
525.74,536.44,SPEAKER_01
536.44,536.47,SPEAKER_04
542.21,543.0,SPEAKER_04
544.57,545.14,SPEAKER_04
545.8,546.38,SPEAKER_04
546.97,547.68,SPEAKER_04
555.32,556.97,SPEAKER_04
556.97,559.54,SPEAKER_09
559.57,840.05,SPEAKER_09
579.27,579.54,SPEAKER_00
701.52,701.96,SPEAKER_00
821.42,821.98,SPEAKER_00
841.17,846.63,SPEAKER_07
847.31,847.97,SPEAKER_07
847.97,1050.84,SPEAKER_09
1054.68,1061.91,SPEAKER_01
1061.91,1061.92,SPEAKER_04
1061.92,1061.94,SPEAKER_01
1069.06,1069.08,SPEAKER_04
1069.08,1075.24,SPEAKER_02
1096.2,1096.97,SPEAKER_04
1096.97,1100.62,SPEAKER_00
1100.84,1112.92,SPEAKER_00
1113.43,1194.26,SPEAKER_00
1171.12,1171.49,SPEAKER_01
1194.9,1223.7,SPEAKER_00
1224.21,1227.25,SPEAKER_00
1227.59,1252.29,SPEAKER_00
1252.83,1370.1,SPEAKER_00
1370.67,1436.06,SPEAKER_00
1436.6,1491.71,SPEAKER_00
1492.25,1507.59,SPEAKER_00
1508.25,1516.4,SPEAKER_06
1515.83,1517.23,SPEAKER_00
1517.58,1598.03,SPEAKER_00
1598.03,1599.46,SPEAKER_02
1603.36,1610.24,SPEAKER_01
1614.7,1615.04,SPEAKER_04
1615.04,1615.93,SPEAKER_03
1617.53,1618.66,SPEAKER_04
1618.66,1618.68,SPEAKER_03
1619.24,1622.7,SPEAKER_03
1627.03,1628.45,SPEAKER_03
1628.91,1629.41,SPEAKER_03
1630.41,1630.85,SPEAKER_06
1631.89,1972.43,SPEAKER_06
1973.07,2126.03,SPEAKER_06
2126.03,2128.54,SPEAKER_03
2131.92,2137.98,SPEAKER_01
2137.98,2138.11,SPEAKER_04
2173.43,2174.97,SPEAKER_04
2174.97,2176.72,SPEAKER_08
2177.26,2180.33,SPEAKER_08
2182.53,2183.98,SPEAKER_01
2183.98,2187.47,SPEAKER_04
2188.94,2189.58,SPEAKER_04
2191.92,2196.28,SPEAKER_04
2221.15,2224.26,SPEAKER_04
2224.54,2225.0,SPEAKER_04
2229.69,2234.67,SPEAKER_08
2249.47,2258.85,SPEAKER_08
2259.09,2388.42,SPEAKER_08
2388.77,2545.59,SPEAKER_08
2405.43,2405.68,SPEAKER_07
2546.69,2554.59,SPEAKER_06
2555.11,2740.02,SPEAKER_08
2740.02,2741.81,SPEAKER_04
2745.58,2751.53,SPEAKER_01
2751.53,2751.55,SPEAKER_04
2762.72,2764.63,SPEAKER_04
2764.86,2766.08,SPEAKER_04
2771.28,2773.5,SPEAKER_04
2775.51,2777.22,SPEAKER_04
2779.16,2780.74,SPEAKER_04
2783.04,2783.51,SPEAKER_04
2789.55,2790.38,SPEAKER_04
2791.0,2791.38,SPEAKER_04
2791.95,2791.97,SPEAKER_04
2791.97,2792.24,SPEAKER_05
2792.69,2792.71,SPEAKER_04
2792.71,2797.08,SPEAKER_05
2797.33,2871.3,SPEAKER_05
2871.7,2874.06,SPEAKER_05
2874.3,3077.58,SPEAKER_05
3077.64,3140.42,SPEAKER_05
3142.02,3148.7,SPEAKER_08
3149.01,3290.89,SPEAKER_05
3293.02,3299.89,SPEAKER_01
3301.68,3303.5,SPEAKER_03
3304.53,3305.4,SPEAKER_04
3306.18,3306.21,SPEAKER_03
3306.21,3306.75,SPEAKER_04
3312.17,3313.22,SPEAKER_04
3314.06,3314.53,SPEAKER_04
3314.53,3314.55,SPEAKER_03
3315.7,3315.72,SPEAKER_04
3315.72,3316.1,SPEAKER_03
3316.83,3316.85,SPEAKER_04
3316.85,3569.68,SPEAKER_06
3572.49,3578.68,SPEAKER_01
3578.68,3578.71,SPEAKER_04
3601.12,3601.14,SPEAKER_04
3601.14,3607.03,SPEAKER_02
3619.3,3621.69,SPEAKER_00
3621.84,3699.32,SPEAKER_00
3699.76,3719.38,SPEAKER_00
3719.69,3720.16,SPEAKER_00
3720.97,3820.99,SPEAKER_00
3821.59,3879.86,SPEAKER_00
3882.8,3895.78,SPEAKER_01
