start,end,text
0.0,16.16, Most of us would agree it is awful when an individual unknowingly signs a predatory loan
16.16,21.02, contract and ends up paying far more in the future than they initially expected. Even if
21.02,29.0," this doesn't bankrupt them, this is still incredibly detrimental. You may believe people playing a free to play video game is trivial, but the financial damage they face is not."
29.0,32.0," Three arguments I'll forward. Firstly, how we prevent exploitation."
32.0,36.0," Secondly, when we get fair gameplay. Lastly, how we reduce addiction."
36.0,39.0," Before that, set up. One, what are the incentives of gaming companies?"
39.0,42.0," We say most firms are profit maximizing, but have different revenue models."
42.0,49.12, This debate is about which profit models companies would use we say for free to play games they have to make the game as addictive as possible
49.12,53.76, to the extent that individuals are willing to put in real cash companies like epic have entire
53.76,59.12, departments dedicated to exacerbating addiction by working psychologists compared to free to play
59.12,62.88, compared to free games right now or one-time pay games we say they often earn their money through
62.88,68.22, either getting the upfront cost of the game of downloading the app or through advertising and attracting many players
68.22,73.16," who can play and play the upfront cost. Second question, what is the current market of free to"
73.16,76.88, play games? We said there's a current market dominance. Look at the most popular games right
76.88,81.74," now. League of Legends, Fortnite, Genshin, Brawl Stars, Clash Royale. These are becoming incredibly"
81.74,89.04, profitable and therefore many new games are also conditioning to this model third question how do we ban free to play games on our site we say we would stop them
89.04,92.8, we would stop new ones from existing companies would have to change their profit structures for
92.8,97.12, the current games that exist developers would make new players pay it upfront cause if you start for
97.12,101.28, existing players they just get to play the games but can no longer buy things like upgrades what is
101.28,108.96," this but this however doesn't mean that we suddenly lose half the games on the market but those those games probably adapt to non-free-to-play models. Fourthly, what is our preferred"
108.96,113.28, comparative? We prefer games to be either free or have a one-time cost when you download the app.
113.28,117.2," Realistically, we agree not a lot of these games will be free, but we will argue why games are"
117.2,122.0," still more accessible and less costly on our side. First argument, how do we prevent exploitation?"
122.0,127.4," When gamblers entice you with supposed low costs until they trap you in a cycle of addiction, that is unjust."
127.4,129.86, The first question under this is how does exploitation occur
129.86,131.4, with the free to play gaming model?
131.4,132.82," We say, when you enter the game,"
132.82,134.64, you often view the cost to be pretty low.
134.64,135.78, It is actually free.
135.78,137.2, You see your friends playing the game.
137.2,138.56, You think it might be worth a try.
138.56,139.68, You therefore download it.
139.68,141.78, Even if you are aware of the payment level ups
141.78,143.74," in the future, you feel as if you're not going"
143.74,148.16, to get that addicted. That is not going to be you. Then you won't be needing to make these payments. But
148.16,151.84," as you start playing more, often subconsciously when your friends are also hooked onto it,"
151.98,156.34, it is more likely individuals commit far more time and effort into this game. Here's when the
156.34,160.38," costs start to gradually kick in and increase. When you get better at the game, this is when"
160.38,163.64, you are told to purchase additional weapons and perks in League of Legends in order to win
163.64,167.48, ranked battles. This is something that often happens naturally and unconsciously.
167.7,171.22," In Valorant, for example, you play one game with the six characters that come free."
171.22,175.2," Then you see other people playing with locked characters that have cooler abilities, better skill sets."
175.4,179.56," You also want to access that because often when individuals are gaming, they're hyper competitive."
179.94,188.64, You then either have to spend thousands of hours on the game in order to unlock all of these characters or you have to pay for them one of those options is often physically impossible for many individuals
