start,end,speaker
2.8,7.27,SPEAKER_00
10.7,13.62,SPEAKER_01
14.24,14.26,SPEAKER_01
14.26,15.18,SPEAKER_03
15.62,15.64,SPEAKER_01
15.64,16.25,SPEAKER_03
16.48,16.84,SPEAKER_03
17.48,18.24,SPEAKER_03
18.27,38.35,SPEAKER_03
25.6,25.61,SPEAKER_00
25.61,25.65,SPEAKER_08
38.76,75.58,SPEAKER_03
76.02,141.0,SPEAKER_03
141.63,174.91,SPEAKER_03
175.41,201.25,SPEAKER_03
186.43,186.77,SPEAKER_00
196.51,196.74,SPEAKER_00
201.7,249.09,SPEAKER_03
251.33,256.16,SPEAKER_06
257.8,258.71,SPEAKER_03
258.84,265.37,SPEAKER_03
266.15,274.57,SPEAKER_03
275.04,309.86,SPEAKER_03
310.36,321.65,SPEAKER_03
322.16,362.02,SPEAKER_03
362.51,401.28,SPEAKER_03
401.45,409.52,SPEAKER_03
409.98,413.45,SPEAKER_03
413.91,416.78,SPEAKER_03
417.2,442.58,SPEAKER_03
442.92,466.22,SPEAKER_03
466.66,493.07,SPEAKER_03
493.54,512.04,SPEAKER_03
512.04,514.18,SPEAKER_01
525.16,525.18,SPEAKER_01
525.18,525.86,SPEAKER_00
525.86,525.89,SPEAKER_01
526.01,526.02,SPEAKER_01
526.02,529.99,SPEAKER_00
533.23,536.22,SPEAKER_00
536.42,539.93,SPEAKER_00
539.93,539.95,SPEAKER_01
554.86,556.86,SPEAKER_01
557.65,557.97,SPEAKER_01
557.97,558.68,SPEAKER_04
558.76,558.78,SPEAKER_04
558.78,558.8,SPEAKER_01
558.8,558.98,SPEAKER_04
558.98,559.0,SPEAKER_01
559.0,559.03,SPEAKER_08
559.03,559.08,SPEAKER_01
559.08,559.23,SPEAKER_08
559.23,559.25,SPEAKER_01
560.96,565.68,SPEAKER_04
565.68,566.15,SPEAKER_01
588.97,589.96,SPEAKER_01
589.96,629.3,SPEAKER_04
629.72,703.33,SPEAKER_04
671.3,671.98,SPEAKER_08
671.98,672.04,SPEAKER_00
672.04,672.16,SPEAKER_08
672.16,672.33,SPEAKER_00
705.78,714.99,SPEAKER_03
715.73,807.96,SPEAKER_04
808.39,892.48,SPEAKER_04
858.72,858.85,SPEAKER_00
893.92,1024.71,SPEAKER_04
1025.52,1072.03,SPEAKER_04
1072.03,1073.4,SPEAKER_01
1096.96,1096.97,SPEAKER_01
1096.97,1102.17,SPEAKER_00
1102.17,1102.19,SPEAKER_01
1145.96,1147.5,SPEAKER_01
1147.94,1149.29,SPEAKER_01
1152.56,1155.7,SPEAKER_01
1156.36,1156.98,SPEAKER_01
1158.8,1159.33,SPEAKER_01
1160.91,1162.35,SPEAKER_01
1169.23,1170.13,SPEAKER_01
1171.14,1171.97,SPEAKER_01
1171.97,1172.91,SPEAKER_02
1173.27,1180.67,SPEAKER_02
1180.79,1205.99,SPEAKER_02
1189.01,1189.2,SPEAKER_00
1189.2,1189.23,SPEAKER_08
1189.23,1189.33,SPEAKER_00
1206.21,1208.26,SPEAKER_02
1208.3,1259.68,SPEAKER_02
1259.92,1378.25,SPEAKER_02
1378.6,1451.08,SPEAKER_02
1451.53,1523.89,SPEAKER_02
1524.4,1582.11,SPEAKER_02
1583.85,1593.44,SPEAKER_04
1594.45,1673.04,SPEAKER_02
1673.04,1674.42,SPEAKER_01
1701.59,1706.58,SPEAKER_00
1706.58,1706.6,SPEAKER_01
1728.0,1729.77,SPEAKER_01
1732.2,1733.13,SPEAKER_01
1743.52,1744.97,SPEAKER_01
1744.97,1761.21,SPEAKER_05
1761.41,1788.58,SPEAKER_05
1788.95,1859.77,SPEAKER_05
1824.96,1826.07,SPEAKER_03
1858.61,1859.45,SPEAKER_01
1860.11,1881.0,SPEAKER_05
1881.54,2005.29,SPEAKER_05
1891.94,1892.83,SPEAKER_02
2001.24,2001.9,SPEAKER_02
2002.08,2002.64,SPEAKER_02
2007.78,2008.17,SPEAKER_02
2008.32,2019.93,SPEAKER_02
2020.51,2057.58,SPEAKER_05
2057.65,2059.74,SPEAKER_05
2060.3,2162.28,SPEAKER_05
2091.89,2092.28,SPEAKER_00
2162.88,2232.04,SPEAKER_05
2232.04,2233.2,SPEAKER_01
2262.21,2262.24,SPEAKER_01
2262.24,2263.88,SPEAKER_00
2264.28,2264.3,SPEAKER_01
2264.3,2268.35,SPEAKER_00
2292.58,2292.6,SPEAKER_01
2292.6,2292.75,SPEAKER_08
2292.75,2292.79,SPEAKER_01
2296.5,2298.25,SPEAKER_01
2304.3,2304.73,SPEAKER_01
2316.06,2317.96,SPEAKER_01
2317.96,2318.1,SPEAKER_07
2318.18,2330.47,SPEAKER_07
2331.3,2348.71,SPEAKER_07
2349.33,2350.84,SPEAKER_07
2351.28,2361.2,SPEAKER_07
2361.37,2369.13,SPEAKER_07
2369.77,2380.6,SPEAKER_07
2380.71,2398.34,SPEAKER_07
2387.47,2387.73,SPEAKER_00
2398.69,2416.63,SPEAKER_07
2416.78,2430.08,SPEAKER_07
2430.59,2431.36,SPEAKER_07
2432.29,2433.27,SPEAKER_07
2433.49,2462.14,SPEAKER_07
2462.6,2475.9,SPEAKER_07
2476.3,2481.99,SPEAKER_07
2482.19,2484.77,SPEAKER_07
2482.5,2482.56,SPEAKER_00
2485.26,2509.44,SPEAKER_07
2509.78,2529.14,SPEAKER_07
2522.37,2522.39,SPEAKER_00
2529.31,2561.15,SPEAKER_07
2561.5,2590.01,SPEAKER_07
2590.23,2590.7,SPEAKER_07
2590.8,2597.97,SPEAKER_07
2598.75,2626.35,SPEAKER_07
2627.01,2647.82,SPEAKER_07
2648.41,2655.95,SPEAKER_07
2656.93,2673.64,SPEAKER_07
2673.66,2680.86,SPEAKER_07
2681.45,2689.03,SPEAKER_07
2689.55,2698.61,SPEAKER_07
2698.82,2700.77,SPEAKER_07
2701.45,2722.81,SPEAKER_07
2706.8,2707.03,SPEAKER_00
2723.08,2724.89,SPEAKER_07
2725.16,2742.84,SPEAKER_07
2743.3,2758.23,SPEAKER_07
2758.86,2791.73,SPEAKER_07
2761.73,2762.03,SPEAKER_00
2792.22,2800.77,SPEAKER_07
2801.38,2804.03,SPEAKER_07
2804.03,2806.38,SPEAKER_01
2837.07,2837.09,SPEAKER_01
2837.09,2838.88,SPEAKER_00
2839.15,2842.81,SPEAKER_00
2848.29,2849.43,SPEAKER_01
2851.3,2851.79,SPEAKER_01
2859.38,2860.97,SPEAKER_01
2860.97,2862.49,SPEAKER_06
2862.67,2863.28,SPEAKER_06
2863.55,2866.45,SPEAKER_06
2866.98,2871.06,SPEAKER_06
2871.48,2894.4,SPEAKER_06
2895.02,2905.23,SPEAKER_06
2905.57,2943.1,SPEAKER_06
2929.73,2930.04,SPEAKER_00
2930.04,2930.07,SPEAKER_01
2943.44,2956.78,SPEAKER_06
2957.29,2968.56,SPEAKER_06
2969.12,3026.11,SPEAKER_06
2990.99,2991.02,SPEAKER_00
2991.02,2991.56,SPEAKER_08
3026.46,3036.18,SPEAKER_06
3036.67,3039.05,SPEAKER_06
3039.4,3065.26,SPEAKER_06
3065.78,3086.1,SPEAKER_06
3082.13,3082.89,SPEAKER_07
3082.89,3082.91,SPEAKER_01
3088.44,3096.51,SPEAKER_07
3096.86,3098.3,SPEAKER_07
3098.7,3104.04,SPEAKER_07
3099.83,3100.51,SPEAKER_08
3104.04,3104.61,SPEAKER_06
3105.25,3105.27,SPEAKER_07
3105.27,3167.91,SPEAKER_06
3140.65,3141.31,SPEAKER_08
3168.41,3229.87,SPEAKER_06
3229.94,3257.07,SPEAKER_06
3257.65,3271.35,SPEAKER_06
3271.94,3286.69,SPEAKER_06
3277.39,3277.88,SPEAKER_01
3287.08,3340.99,SPEAKER_06
3341.57,3353.03,SPEAKER_06
3353.03,3354.58,SPEAKER_01
3377.82,3379.74,SPEAKER_00
3380.08,3384.16,SPEAKER_00
3389.36,3390.93,SPEAKER_01
3392.88,3393.85,SPEAKER_01
3412.36,3413.98,SPEAKER_01
3413.98,3432.03,SPEAKER_04
3432.22,3648.03,SPEAKER_04
3648.03,3648.25,SPEAKER_01
3648.25,3648.3,SPEAKER_04
3648.3,3649.35,SPEAKER_01
3656.35,3657.97,SPEAKER_01
3657.97,3666.02,SPEAKER_04
3666.02,3667.14,SPEAKER_01
3682.76,3682.78,SPEAKER_01
3682.78,3684.33,SPEAKER_00
3684.72,3689.18,SPEAKER_00
3689.18,3689.23,SPEAKER_01
3696.04,3700.97,SPEAKER_01
3699.87,3700.08,SPEAKER_00
3704.75,3704.87,SPEAKER_01
3707.38,3709.59,SPEAKER_01
3709.59,3758.08,SPEAKER_02
3758.41,3863.73,SPEAKER_02
3864.14,3982.02,SPEAKER_02
3982.02,3983.88,SPEAKER_01
3997.03,3998.36,SPEAKER_01
4000.17,4000.45,SPEAKER_01
4000.54,4001.92,SPEAKER_01
4000.86,4000.91,SPEAKER_08
4002.16,4002.53,SPEAKER_01
4003.78,4006.8,SPEAKER_00
