start,end,text
0.0,26.82," And then I would like to give the floor to the first proposition speaker to open the debate. Good luck. China's power, Russian imperialism, and US Republicans supporting isolationism is undeniably"
26.82,33.04," like destabilizing the region, and this Asian NATO would help keep the existing fragile border."
33.42,38.02," Now, in my speech, I'm going to have some points of framing, and then three consecutive arguments."
38.72,43.8," Firstly, on why will countries join the alliance? Secondly, on like economic benefits for Southeast"
43.8,45.2," Asian countries? And thirdly, how this will like help safeguard territorial sovereignty of these join the alliance secondly on like economic benefits for southeast asian countries and"
45.2,50.08, thirdly how this will like help safeguard territorial sovereignty of these countries
50.08,55.36, and our second speaker will have an extension on democratic changes in countries right so let's get
55.36,61.28, into framing so who will even join this alliance obviously like first off countries like japan
61.28,69.76, australia us and india right because they're like part of the Quad already. But like likely this like entire organization is like likely to expand and
69.76,74.58," also include other countries like A, South Korea, because they're already like aligned with the West,"
75.18,81.12," B, Vietnam, because of the South China Sea dispute, and C, the Philippines, and possibly also like the"
81.12,87.34," rest of the South Asian countries that are surrounding the China, like the South China Sea."
87.34,89.06, So let's get into our first argument.
89.06,91.28, Why will countries join the alliance?
91.28,93.92," So firstly, like these Western countries are seen"
93.92,96.42," as more trustworthy partners than countries,"
96.42,97.68," again, like China."
97.68,100.8," So A, they're like great economic partners"
100.8,104.4," that don't really screw up their own like neighbors,"
104.4,105.82, as we've seen with the Belt and Road
105.82,111.52, like initiative right be they're unlikely to be aggressors right smaller Southeast Asian like
111.52,115.72, states don't really want to be messed with and they want to run like their business as usual
115.72,121.36, and these um like Western states like the US won't really be as hostile they won't really
121.36,126.8," like manipulate um with stuff like currency which like, which are things that like China has actually done."
126.94,135.64," Right. And see, like Trans-Pacific Partnership already showed like a willingness for some Asian countries to turn away from China."
135.64,140.68, Right. Like in favor of the West. And we've seen this with Vietnam and we've seen this with Singapore.
141.58,147.86," Secondly, right. They have superior they have superior military capabilities. Sure, we all know China"
147.86,153.86," is big, but the US is a military superpower. They have the best equipment. They have boats,"
154.18,158.86," they have airplanes, they have spy equipment. Thirdly, leaders of these smaller Asian states"
158.86,164.28," and smaller Asian countries care about not giving up their sovereignty to China. Plus,"
164.6,165.94, China has become increasingly
165.94,170.24," aggressive. And we've seen that this is like a very big trend in the recent decades, right?"
170.48,176.54," They've literally recently shot at boats, Philippine boats, fishing boats that have"
176.54,181.36," posed no real threat to them, right? Unfortunately, there's already kind of a pro-Western sentiment"
181.36,189.28," there, right? Because historically, a lot of these countries have ties with the West, a lot of times because of British colonialism, which just means that a lot"
189.28,193.36," of people in these countries, they speak English, they already know a lot of things about like that"
193.36,197.76," culture, they probably consume a lot of like Western media and they like agree with a lot of"
197.76,206.0," their like ideological beliefs, right? And also already Western states have helped expel kind of occupation forces."
206.0,214.0, Right. So there is already this experience of the West helping these smaller Asian states with like militarily actually help them.
214.0,219.0," Right. And fifthly, even if even if China retaliates, which is not probably going to happen,"
219.0,225.74," and we're going to explain that later in the speech, more countries will like want to join the alliance at that point,"
225.74,229.82," because they will see that China actually is an aggressor, right? It's not just going to be kind"
229.82,234.0," of like, oh, China kind of has done some bad internal things, kind of outclasses sometimes"
234.0,238.1," as they actually attack, like most of these countries will probably want to join the alliance."
238.1,243.14," And at that point, like Western states will probably make the accession process kind of more"
243.14,246.4," like easier, and they will speed it up at that point."
246.4,248.88," Before moving on to our second argument, I'll take a POI."
251.2,256.0, Will the defense pack be activated if China continues building islands in the South China Sea?
258.08,262.48," Well, China is not going to want to build islands in the South China Sea because they're not going"
262.48,266.76," to want to mess with now these like nuclear, like powerhouses"
266.76,268.38," that defend these smaller nations, right?"
268.38,270.0, They're not gonna want to do that.
270.0,271.76," So moving on to our second argument,"
271.76,275.08," economic benefits for Southeast Asian countries, right?"
275.08,276.82," So before we get into this argument,"
276.82,278.78, we have to understand that this is not only
278.78,280.58," a military alliance, right?"
280.58,284.32, It is inherently about choosing your like strategic partners
284.32,286.0, also for like trade and development.
286.42,287.58, And why is that?
287.74,295.94," Because if countries know that they're guaranteed security, they're more likely to A, make trade"
295.94,300.88," deals with other nations probably that are in this Asian NATO, and B, have long-term"
300.88,302.44, investments put into them.
302.64,306.5," Because economic and defense are very much interlinked,"
306.5,312.24," right? So benefits for countries in the Quad, firstly, just investors are now more likely to"
312.24,318.82," invest in them because they rely on the security guarantees of the West, right? So military"
318.82,325.6, instability hurts a lot of these Quad countries' economies like economies right because as we've seen right
325.6,331.5, now like every time north korea has um like a nuclear test japan's stock market plummets but
331.5,334.94, now they're going to be like maybe in the security quad right that's not really going to happen
334.94,338.72, because there is like this background security and if that is going to happen it's going to be
338.72,344.26, in a much like smaller scale right and secondly like fishing and oil in the south china sea is a
344.26,345.74, very big like issue in the entire region right but now it's like fishing and oil in the South China Sea is a very big like issue in
345.74,350.88," the entire region, right? But now it's like more likely to be secure for these smaller Asian states,"
351.22,355.32," secure like those resources, because they're, again, there's going to be more like U.S. ships,"
355.4,360.16," there's going to be more U.S. equipment, and just like military kind of presence in that area, so"
