start,end,speaker
3.84,5.89,SPEAKER_02
5.99,15.66,SPEAKER_02
16.03,24.01,SPEAKER_02
24.58,26.66,SPEAKER_02
29.36,32.25,SPEAKER_06
34.03,34.96,SPEAKER_11
36.82,38.54,SPEAKER_06
38.98,40.09,SPEAKER_06
40.83,41.9,SPEAKER_11
41.9,41.93,SPEAKER_02
43.96,44.02,SPEAKER_02
44.02,44.97,SPEAKER_11
44.97,45.04,SPEAKER_02
45.04,45.96,SPEAKER_11
45.96,46.98,SPEAKER_02
46.98,49.26,SPEAKER_11
49.26,49.27,SPEAKER_07
57.68,58.03,SPEAKER_07
58.03,58.05,SPEAKER_06
58.05,58.06,SPEAKER_07
58.06,60.29,SPEAKER_06
60.54,62.43,SPEAKER_06
63.28,65.61,SPEAKER_02
66.48,67.97,SPEAKER_02
69.96,73.83,SPEAKER_02
73.98,77.32,SPEAKER_02
79.12,82.18,SPEAKER_06
84.03,84.15,SPEAKER_10
85.32,85.33,SPEAKER_06
85.33,88.44,SPEAKER_10
88.96,91.65,SPEAKER_03
94.13,95.58,SPEAKER_02
97.45,102.29,SPEAKER_05
103.1,106.88,SPEAKER_01
107.34,109.55,SPEAKER_01
109.55,109.62,SPEAKER_04
109.62,109.65,SPEAKER_01
110.12,110.16,SPEAKER_01
110.16,113.25,SPEAKER_04
114.09,142.95,SPEAKER_02
143.18,149.64,SPEAKER_02
150.17,156.02,SPEAKER_02
156.02,156.41,SPEAKER_11
156.41,156.58,SPEAKER_02
156.75,156.83,SPEAKER_02
156.83,157.63,SPEAKER_11
158.03,158.71,SPEAKER_11
162.0,164.51,SPEAKER_06
165.02,166.44,SPEAKER_11
166.98,167.77,SPEAKER_06
168.12,168.36,SPEAKER_06
169.71,170.35,SPEAKER_00
172.27,174.03,SPEAKER_06
174.03,204.47,SPEAKER_10
204.72,206.31,SPEAKER_10
207.24,238.0,SPEAKER_10
238.29,267.09,SPEAKER_10
267.45,305.01,SPEAKER_10
270.72,270.96,SPEAKER_06
305.3,320.03,SPEAKER_10
320.17,320.74,SPEAKER_10
320.91,366.12,SPEAKER_10
366.34,448.52,SPEAKER_10
399.95,400.05,SPEAKER_06
448.57,455.01,SPEAKER_10
455.08,464.52,SPEAKER_10
460.47,460.9,SPEAKER_00
465.39,470.79,SPEAKER_10
471.32,520.62,SPEAKER_10
480.16,480.61,SPEAKER_00
516.73,517.91,SPEAKER_06
520.95,548.92,SPEAKER_10
538.98,540.03,SPEAKER_06
550.24,562.69,SPEAKER_04
564.08,574.57,SPEAKER_10
574.64,609.89,SPEAKER_10
574.81,575.18,SPEAKER_00
610.28,634.45,SPEAKER_10
634.6,638.46,SPEAKER_10
638.48,654.98,SPEAKER_10
655.62,669.19,SPEAKER_10
669.19,669.66,SPEAKER_06
669.66,669.7,SPEAKER_10
669.7,670.15,SPEAKER_06
670.15,670.39,SPEAKER_07
683.76,684.48,SPEAKER_07
685.49,686.98,SPEAKER_07
686.98,687.11,SPEAKER_02
688.56,689.36,SPEAKER_02
689.75,691.01,SPEAKER_02
691.48,696.24,SPEAKER_02
699.36,699.92,SPEAKER_09
700.12,705.46,SPEAKER_09
706.74,709.19,SPEAKER_09
709.49,710.05,SPEAKER_09
710.11,710.3,SPEAKER_09
710.3,710.42,SPEAKER_08
710.42,710.52,SPEAKER_09
711.87,769.41,SPEAKER_08
770.51,857.65,SPEAKER_08
858.09,902.73,SPEAKER_08
902.89,936.04,SPEAKER_08
936.29,995.28,SPEAKER_08
998.19,998.96,SPEAKER_06
998.96,1009.21,SPEAKER_10
1008.43,1008.53,SPEAKER_06
1008.53,1034.57,SPEAKER_08
1009.21,1009.27,SPEAKER_06
1034.89,1036.85,SPEAKER_08
1037.22,1113.38,SPEAKER_08
1113.9,1126.89,SPEAKER_08
1127.13,1162.65,SPEAKER_08
1162.97,1178.92,SPEAKER_08
1179.05,1211.98,SPEAKER_08
1211.98,1212.62,SPEAKER_07
1244.82,1245.96,SPEAKER_07
1245.96,1252.85,SPEAKER_02
1265.07,1265.93,SPEAKER_07
1268.59,1269.74,SPEAKER_07
1270.08,1270.5,SPEAKER_07
1271.11,1271.78,SPEAKER_07
1274.58,1274.97,SPEAKER_07
1274.97,1300.49,SPEAKER_10
1301.33,1313.56,SPEAKER_10
1313.88,1319.2,SPEAKER_10
1319.39,1350.71,SPEAKER_10
1351.16,1371.11,SPEAKER_10
1371.6,1407.07,SPEAKER_10
1407.46,1458.06,SPEAKER_10
1458.32,1528.67,SPEAKER_10
1529.11,1604.83,SPEAKER_10
1605.1,1642.53,SPEAKER_10
1634.44,1634.46,SPEAKER_06
1634.46,1634.59,SPEAKER_00
1643.93,1651.44,SPEAKER_08
1650.52,1714.01,SPEAKER_10
1714.33,1761.56,SPEAKER_10
1755.0,1755.4,SPEAKER_00
1761.85,1775.79,SPEAKER_10
1774.54,1776.78,SPEAKER_07
1793.19,1794.97,SPEAKER_07
1794.97,1800.42,SPEAKER_02
1800.42,1800.44,SPEAKER_07
1801.1,1801.89,SPEAKER_07
1801.89,1801.91,SPEAKER_02
1819.48,1821.33,SPEAKER_07
1821.33,1821.35,SPEAKER_01
1822.02,1822.73,SPEAKER_07
1822.73,1822.77,SPEAKER_11
1822.77,1822.92,SPEAKER_07
1822.92,1823.53,SPEAKER_11
1824.83,1825.33,SPEAKER_01
1826.21,1828.13,SPEAKER_01
