start,end,text
0.0,15.48," Thank you so much guys. Welcome to round two, Netherlands WSDC 2022. This is really my honor to chair this round. My name is Daisy and I know gender preferences, she, her."
16.1,25.84, So we really have an honored board of panel of judges. So please judges and introduce yourselves as you appear in a in the sequence of the tab
25.84,32.24, thank you so much hello my name is kyle no preference best of luck to both of you
33.84,41.68, thank you very much kyle gabriel my name is sam good luck for this round thank you sam
43.68,49.18," would trainees introduce themselves if you have gender pronoun preferences, please do declare so. Thank you so much."
57.84,62.3, Amal does not appear to be here. I'm Joseph. Good luck to everyone.
63.06,67.86," Thank you so much. So I'm always not here. Okay, we'll be moving on."
69.54,73.36, Thank you so much. And what about the debaters from the proposition
73.36,77.24, team? And this would also serve as a very quick mic check as well.
78.74,81.98," Hi, speaking first is Rohan. I prefer he, him pronouns."
88.0,88.72, Speaking second is Karthik. I have no pronoun preference.
91.52,93.92," Speaking third is Hibisha. My preferred pronouns are she, her."
95.44,97.28, Thank you so much. Opposition team.
102.0,102.88," Hi, I'm Livia. I'll be speaking first. Pronouns she and P-O-I's in the chat, please."
113.0,125.38," Hi, my name is Tomran Routledge. I pronounce he, him P-O-I's in the chat please. Hi my name is Tomnan Rutledge pronounce he him POIs in the chat as well. Hi my name is Toby Mock pronouns he him POIs in the chat please. Thank you so much. Before your speech, please kindly indicate your POI preferences in case we forget. Okay, thank you so much. But even if POIs are allowed, please do not badge the debaters."
125.8,131.6," Okay, and please leave the chat box only for timing and also POI function as well."
131.6,145.06," I'm going to indicate time at 1, 7, and 8 as well, but sometimes I may have some kind of time lag, but just serve as kind of indication of rough indication of time. Okay, we're debating under the motion"
145.06,146.24, this House prefers a world
146.24,148.4, where instead of charging tuition fees
148.4,150.66," to students up front,"
150.9,153.78, universities collect a portion of the income
153.78,155.84, of each of their graduates upon graduation.
156.12,158.46," Okay, without much ado, Prime Minister."
161.52,162.9," Hey, just checking to see"
162.9,164.3, if I'm both audible and visible again.
164.98,165.0," Yes, loud and clear. Amazing, cool. Hey, just checking to see if I'm both audible and visible again?"
165.0,168.0," Yes, loud and clear."
168.0,172.0, Amazing. Cool.
172.0,177.0," Speaker, for a middle class family in Kenya, university is not an investment."
