start,end,speaker
16.75,18.26,SPEAKER_04
18.46,19.98,SPEAKER_04
20.38,25.29,SPEAKER_04
25.82,38.86,SPEAKER_04
39.13,56.04,SPEAKER_04
56.29,60.06,SPEAKER_04
60.73,86.08,SPEAKER_04
86.43,124.37,SPEAKER_04
124.69,126.54,SPEAKER_04
126.95,135.91,SPEAKER_04
136.23,154.13,SPEAKER_04
154.25,157.71,SPEAKER_04
160.41,172.93,SPEAKER_00
173.88,196.12,SPEAKER_04
196.44,210.48,SPEAKER_04
211.09,225.75,SPEAKER_04
226.04,245.43,SPEAKER_04
245.83,289.07,SPEAKER_04
272.39,272.46,SPEAKER_00
272.46,272.51,SPEAKER_01
272.51,272.53,SPEAKER_00
272.53,272.56,SPEAKER_01
272.56,272.76,SPEAKER_00
284.85,285.03,SPEAKER_05
289.2,317.03,SPEAKER_04
317.13,327.27,SPEAKER_04
327.44,336.69,SPEAKER_04
336.87,363.08,SPEAKER_04
363.43,370.93,SPEAKER_04
371.43,372.36,SPEAKER_04
373.64,444.37,SPEAKER_04
404.0,404.07,SPEAKER_06
444.7,465.66,SPEAKER_04
447.08,447.13,SPEAKER_05
447.13,447.15,SPEAKER_06
465.85,476.28,SPEAKER_04
476.61,512.96,SPEAKER_04
512.96,514.25,SPEAKER_03
517.23,522.97,SPEAKER_02
522.97,523.05,SPEAKER_03
541.68,542.04,SPEAKER_08
545.7,548.91,SPEAKER_08
551.78,555.96,SPEAKER_08
556.35,556.91,SPEAKER_08
557.34,557.36,SPEAKER_08
557.36,557.68,SPEAKER_09
558.27,785.75,SPEAKER_09
696.97,697.05,SPEAKER_00
785.98,869.41,SPEAKER_09
869.72,926.81,SPEAKER_09
928.86,942.28,SPEAKER_06
943.48,1052.04,SPEAKER_09
1052.04,1055.38,SPEAKER_08
1058.97,1061.67,SPEAKER_02
1062.09,1065.3,SPEAKER_02
1065.3,1065.33,SPEAKER_03
1065.33,1065.89,SPEAKER_02
1065.89,1065.91,SPEAKER_03
1072.07,1074.02,SPEAKER_03
1072.66,1072.94,SPEAKER_01
1074.02,1079.96,SPEAKER_04
1079.96,1081.84,SPEAKER_03
1081.84,1081.85,SPEAKER_04
1114.57,1115.64,SPEAKER_03
1116.46,1117.71,SPEAKER_02
1118.69,1120.67,SPEAKER_03
1162.3,1180.84,SPEAKER_05
1181.08,1215.54,SPEAKER_05
1215.72,1253.96,SPEAKER_05
1254.11,1254.82,SPEAKER_05
1254.89,1308.77,SPEAKER_05
1309.51,1402.87,SPEAKER_05
1402.93,1460.92,SPEAKER_05
1461.46,1490.87,SPEAKER_05
1491.48,1502.92,SPEAKER_05
1505.13,1509.42,SPEAKER_09
1510.7,1530.14,SPEAKER_05
1530.78,1614.65,SPEAKER_05
1548.13,1548.14,SPEAKER_00
1548.14,1548.43,SPEAKER_03
1548.43,1548.46,SPEAKER_00
1614.77,1651.44,SPEAKER_05
1654.79,1660.97,SPEAKER_02
1660.97,1661.07,SPEAKER_03
1700.51,1700.58,SPEAKER_03
1703.39,1704.76,SPEAKER_03
1706.97,1707.88,SPEAKER_03
1706.99,1707.33,SPEAKER_00
1708.81,1709.87,SPEAKER_03
1716.86,1718.97,SPEAKER_03
1718.97,1755.5,SPEAKER_07
1755.67,1906.45,SPEAKER_07
1781.22,1781.71,SPEAKER_00
1840.06,1840.77,SPEAKER_00
1907.85,1930.67,SPEAKER_05
1932.32,1970.91,SPEAKER_07
1971.35,2196.03,SPEAKER_07
2196.03,2196.67,SPEAKER_03
2197.05,2197.83,SPEAKER_03
2198.17,2199.21,SPEAKER_03
2201.81,2204.26,SPEAKER_02
2204.53,2211.3,SPEAKER_02
2214.13,2215.45,SPEAKER_06
2215.45,2215.47,SPEAKER_03
2216.71,2217.81,SPEAKER_02
2218.57,2220.51,SPEAKER_03
2236.07,2236.96,SPEAKER_03
2236.96,2292.99,SPEAKER_06
2293.26,2318.22,SPEAKER_06
2318.77,2343.82,SPEAKER_06
2344.05,2355.95,SPEAKER_06
2356.1,2480.76,SPEAKER_06
2366.46,2366.88,SPEAKER_00
2481.06,2551.31,SPEAKER_06
2501.23,2501.68,SPEAKER_00
2551.97,2578.8,SPEAKER_06
2578.95,2653.52,SPEAKER_06
