start,end,text
0.0,25.06, 2.3 trillion dollars that is the value of student debt in the United States of America as of 2022.
25.78,30.72," This is debt that cripples people, traps them for life in a cycle of having to pay,"
31.02,34.42, and ruins their ability to access other outcomes or opportunities
34.42,38.76, because of the inability to access loans as a result of bad credit.
39.0,45.36, All of this because people are sold a lie based on how much their degree is actually worth.
45.58,50.58, It is only in a world where you don't precondition people's ability to access an education
50.58,54.42, on their ability to pay upfront that you break this cycle.
54.72,55.66, That is why we propose.
56.28,59.96, Few key points of setup before counterfactual and argumentation.
60.64,63.28," Firstly, I want to make it clear in status quo,"
63.28,65.96, the necessity of university as a precursor
65.96,66.96, for accessing a job.
66.96,68.6, There are two reasons here.
68.6,73.68," Firstly, in terms of competition, because of a large degree of access to education in"
73.68,78.96," the status quo, a uni degree is no longer an outlier, but a necessity of the norm."
78.96,87.44," In the United States by 2030, it's estimated that 98% of the workforce will have a university degree the second reason why"
87.44,93.36, it's a necessity is that the types of jobs which people have now demand higher skill and require a
93.36,98.56, degree because people very rarely now work in lower skilled jobs because automation has phased
98.56,103.6, that out we're talking about jobs in the tertiary and quaternary sector that require a university
103.6,105.22, education the problem then in status quo is that evenaternary sector that require a university education. The problem then
105.22,110.42," in status quo is that even when people can't afford going to university, they have to go to"
110.42,115.34," university because it is a form of insurance for your life and ensuring that you are unemployed,"
115.72,120.78, and thus they are driven into debt. This is also in a world where scholarships will always be scarce
120.78,125.2, because of the funding of universities is often insufficient. What then
125.2,130.34, is our counterfactual? Our world is one where universities would charge you a fixed percentage
130.34,135.1, of your total earnings after you graduate. This would be the same for all university graduates
135.1,139.96," in all fields. Secondly, it would be a set period of time and the same time period for everyone."
140.26,145.16," For example, this could look like 5% of your income for 10 years after you graduate for everyone."
145.5,154.04," This will be paid annually. So as your income changes, the amount you pay changes, different people will thus pay different amounts based on how much they are earning."
154.52,172.68," Two arguments from Prop 1. Before that, I'll take a POI. You can't say that you will have a fixed amount of years after you graduate for you to pay this proportion of your income because this kind of system is already happening in the status quo where this payment is happening indefinitely, for example, Purdue."
173.58,186.04," But that's not one that I don't know if that's actually true. And that's how most or if not all universities work. And second, it's about the preference, right? So your world is one where you have to support people paying for"
186.04,190.74," their college upfront, either through loans or not. Our side is one where you pay based on the"
190.74,194.94," income you've already earned. Of course, we can have a system with a set number of years. That's"
194.94,199.48, not something that's excluded. First argument as to why we better the student debt crisis on our
199.48,204.68," side of the house. In status quo, the problem with universities is that the price of your degree"
204.68,205.54, doesn't reflect how much you are going to earn after graduation that the price of your degree doesn't reflect
205.54,210.12," how much you are going to earn after graduation, i.e. it doesn't reflect the market value of"
210.12,211.22, your degree.
211.22,215.6, This is because universities have an incentive to get you to pay more than your degree is
215.6,216.6, actually worth.
216.6,217.6, This is for three reasons.
217.6,224.96," One, they can bank on other things other than employment as a reason for you applying to"
224.96,225.14, that university. Prestige and how big their brand name is. other on things other than employment as a reason for you employing rather applying to that
225.14,230.72, university prestige and how big their brand name is important alumni that they're able to leverage
230.72,235.46, in advertising advertising the university life and experience is something that is important
235.46,240.48, advertising things like campus aesthetics all the things they're able to use to get people to join
240.48,245.76, the second reason is that they deliberately obscure data of degrees with pure job prospects.
245.76,251.04," Either they don't collect data from their graduates but even if they do, they are able to obscure it"
251.04,255.92," in advertising because in advertising you won't focus on that statistic, you'll do things like"
255.92,260.72, focus on an interview with a few rich alumni that you're able to use to convince people to join.
260.72,265.04, The third reason is that students are irrational. They're often young and impressionable
265.04,269.46," and even if they're going into a bad field, they are likely to believe that they will be the"
269.46,273.96," exception. If I am going into the field of philosophy, I believe that I will be the philosopher"
273.96,279.3, who makes a huge discovery and do better. We think of ourselves as better than we actually are.
279.58,285.68, What this means is that people are forced to pay a lot more money than they should be and most people likely
285.68,290.98, have to take loans and go into debt in order to afford university. The costs of this compound over
290.98,296.12, time and most people are unlikely to be able to pay it as a result of interest as well. This is a
296.12,301.32," horrible issue for the vast majority of people. In the United States, people have to pay thousands"
301.32,310.4, of dollars every month just to cover the interest on their loans it cripples their ability to have a good life and meet a solid standard of living and actualize
310.4,315.28, themselves we solve this on our side of the house because we are not forced to pay more than the
315.28,320.88, market value than the degree even if you that you never have to go into debt because it's taken out
320.88,328.08, of money that you already have rather than based on circulation. The second thing we do is that we change the incentives of universities because you can no
