start,end,speaker
3.24,4.03,SPEAKER_03
3.71,3.78,SPEAKER_09
4.03,4.45,SPEAKER_09
4.45,4.49,SPEAKER_03
5.19,70.25,SPEAKER_03
70.62,145.04,SPEAKER_03
135.99,136.45,SPEAKER_00
146.93,156.12,SPEAKER_04
156.93,307.81,SPEAKER_03
287.31,287.55,SPEAKER_00
308.19,345.46,SPEAKER_03
346.58,356.5,SPEAKER_04
357.21,490.71,SPEAKER_03
493.39,498.27,SPEAKER_09
502.5,503.4,SPEAKER_09
503.4,503.43,SPEAKER_01
504.61,505.03,SPEAKER_09
505.03,505.08,SPEAKER_01
505.08,505.17,SPEAKER_09
505.86,505.89,SPEAKER_09
505.89,509.32,SPEAKER_01
509.49,913.27,SPEAKER_01
850.53,851.0,SPEAKER_02
914.62,918.33,SPEAKER_02
919.13,1002.9,SPEAKER_01
1008.31,1013.48,SPEAKER_09
1018.15,1020.26,SPEAKER_09
1020.78,1021.58,SPEAKER_09
1022.27,1022.5,SPEAKER_09
1023.04,1023.65,SPEAKER_09
1034.82,1037.51,SPEAKER_09
1054.43,1055.53,SPEAKER_09
1055.53,1055.55,SPEAKER_08
1058.28,1058.99,SPEAKER_08
1059.14,1062.03,SPEAKER_08
1062.03,1128.83,SPEAKER_07
1129.02,1171.95,SPEAKER_07
1172.32,1236.09,SPEAKER_07
1236.72,1245.81,SPEAKER_07
1246.32,1262.26,SPEAKER_07
1262.94,1293.72,SPEAKER_07
1291.74,1291.98,SPEAKER_08
1293.97,1445.17,SPEAKER_07
1445.73,1447.8,SPEAKER_07
1449.02,1459.65,SPEAKER_01
1460.33,1559.94,SPEAKER_07
1560.14,1564.97,SPEAKER_07
1564.97,1567.21,SPEAKER_08
1571.35,1577.54,SPEAKER_09
1579.75,1581.44,SPEAKER_06
1582.16,1582.2,SPEAKER_09
1582.2,1582.21,SPEAKER_06
1582.21,1582.42,SPEAKER_09
1582.42,1583.01,SPEAKER_06
1583.92,1584.48,SPEAKER_06
1585.52,1588.85,SPEAKER_06
1596.71,1598.06,SPEAKER_09
1598.53,1598.92,SPEAKER_09
1599.8,1599.97,SPEAKER_09
1599.97,1600.24,SPEAKER_04
1601.27,1601.65,SPEAKER_04
1602.55,1649.36,SPEAKER_04
1649.53,1834.02,SPEAKER_04
1777.96,1778.28,SPEAKER_05
1804.98,1805.4,SPEAKER_08
1834.85,1987.55,SPEAKER_04
1867.15,1867.52,SPEAKER_06
1915.02,1915.51,SPEAKER_05
1950.61,1950.98,SPEAKER_08
1989.36,2002.35,SPEAKER_07
2003.55,2096.97,SPEAKER_04
2096.97,2098.88,SPEAKER_05
2101.98,2109.07,SPEAKER_09
2109.1,2109.52,SPEAKER_09
2117.74,2119.95,SPEAKER_09
2120.48,2121.59,SPEAKER_09
2122.08,2122.52,SPEAKER_09
2128.85,2132.17,SPEAKER_02
2132.41,2133.05,SPEAKER_02
2133.89,2135.97,SPEAKER_02
2135.97,2137.15,SPEAKER_09
2151.64,2152.5,SPEAKER_09
2152.94,2153.62,SPEAKER_09
2154.24,2154.28,SPEAKER_09
2154.28,2154.72,SPEAKER_02
2156.1,2156.44,SPEAKER_02
2156.99,2255.81,SPEAKER_02
2256.66,2292.74,SPEAKER_02
2293.02,2320.07,SPEAKER_02
2320.51,2375.24,SPEAKER_02
2375.69,2407.65,SPEAKER_02
2408.28,2482.34,SPEAKER_02
2483.46,2494.39,SPEAKER_04
2494.78,2495.3,SPEAKER_04
2495.22,2495.49,SPEAKER_02
2495.94,2545.93,SPEAKER_02
2545.98,2614.05,SPEAKER_02
2614.8,2655.99,SPEAKER_02
2658.96,2666.03,SPEAKER_09
2666.28,2666.67,SPEAKER_09
2674.94,2676.61,SPEAKER_09
2678.14,2679.02,SPEAKER_09
2679.87,2680.03,SPEAKER_09
2682.13,2682.21,SPEAKER_09
2684.15,2685.54,SPEAKER_09
2685.54,2685.57,SPEAKER_00
2686.11,2686.9,SPEAKER_09
2686.9,2687.32,SPEAKER_00
2687.32,2687.34,SPEAKER_09
2688.12,2688.56,SPEAKER_00
2689.16,2689.45,SPEAKER_00
2690.13,3027.37,SPEAKER_00
3028.11,3040.74,SPEAKER_03
