start,end,text
0.0,4.0, Start whenever you want.
4.0,9.18," Thank you. I'll POS verbally. Starting in 3, 2, 1."
9.58,15.24," In this status quo, entire lives are uprooted because people have to move countries due to climate change."
15.52,22.84," Entire cities are soon to be submerged in water because sea levels are rising, and yet carbon emissions are at their highest ever."
23.14,28.0," Time and time again, these junk efforts to penalize the worst polluters have done nothing."
28.0,31.0, A global problem requires a clear global solution proposed.
31.0,33.0, Two constructive arguments in this speech.
33.0,38.0," First, that global carbon markets most effectively reduce emissions that cause climate change."
38.0,43.0," And secondly, that a global carbon market is the most economically feasible and optimal for the vast majority."
43.0,49.36," But before that, a model. We would implement a global carbon market or a cap-and-trade system where a set amount"
49.36,53.86, of carbon permits are capped and are distributed to firms who either use their permits to emit
53.86,55.42, or sell their permits to earn revenue.
55.42,56.44, Four things to note.
56.6,60.7," One, the cap will always be lower than the existing carbon emissions level, which is"
60.7,62.74, currently 40 billion tons of carbon.
62.98,66.96," So each year, the cap will decrease based on carbon reduction goals, which are set at"
66.96,72.78, reducing emissions by 45% in 2030 and 0% in 2050.
72.78,75.62, This means that there will be gradually less permits every year.
75.62,80.86," But two, the permits will be distributed proportionate to the size of the company, its market share,"
80.86,84.96, and the average carbon emissions in that industry to account for the industries that have higher
84.96,88.72, carbon reliance. So public auditing of the amounts of permits per firm will be done
88.72,93.36," to prevent things like corruption. But three, companies are free to use or sell their permits"
93.36,98.08, to other firms that may need additional permits. So if ever any firm goes beyond the emissions that
98.08,102.48," their permit allows, they will either have to buy permits or they will be fined per ton of carbon"
102.48,109.92," that exceeds the price of permits. But four, the UNEP will be the broker of this global market since they can establish global environmental"
109.92,114.16," standards. So to reliably discern what to base the permits on, they will collaborate with"
114.16,118.72," organizations that have decades worth of research, i.e. VERA and the gold standard, and there will"
118.72,122.56, be heavy fines in the instance that a company breaches their carbon limit. What are the
122.56,128.72," alternatives, Dan, that opposition may support? We think one, governments imposing a fixed carbon tax, or two, the status"
128.72,133.12, quo where individual countries set up and regulate their own regional and national carbon
133.12,137.52," markets such as the EU, China, California market. They have to support one alternative"
137.52,142.06, because both of these are incompatible as prices are fixed by a tax or fluctuate depending
142.06,151.32," on how many permits are created. But before that, I'll take a POI. If the carbon credits that exist in the market are constantly going to be lowered, how exactly do"
151.32,155.04, companies actually profit from this model if you're not actually going to be able to sell the
155.04,160.3, profits indefinitely? That brings me to my first argument. Global carbon markets most effectively
160.3,166.32," reduce emissions that cause climate change. We are facing extreme droughts and floods that wreak havoc across the world,"
166.52,170.16, especially the global south. Climate change is an existential crisis
170.16,171.24, that threatens billions.
171.44,174.76, And the only way to save this is to ensure a predictable global reduction
174.76,176.8, in carbon. Three reasons why this is true.
177.0,180.64," Firstly, we guarantee reductions in emissions through efficient allocation"
180.64,184.56," of permits. So through permit trading, industries that can easily transition away"
184.76,188.98, from emissions are given the capital to do so by selling their permits to other industries.
189.2,193.7," This is additional revenue that can also be used to acquire greener technology. So for instance,"
193.88,198.88," coal-fired power plants, which generate 40% of the world's electricity, are able to cut down"
198.88,203.74," emissions by investing in cheap carbon dioxide scubbers, which absorb emissions. In their world,"
204.0,205.28, carbon taxes and other
205.28,210.08, similar programs reduce the capacity of industries to cut emissions because they cannot afford
210.08,215.44," the technology. Plus, industries like power plants resort to decreasing output rather than reducing"
215.44,220.96," carbon significantly via abatement technology. On either side, companies such as Chevron or BP"
220.96,225.42, will be able to pay for carbon pricing due to large profit margins and inflexible
225.42,230.22," demand. On our side, we assure that thousands of other firms can sell their permits to afford"
230.22,235.74," green technology, maximally reduce emissions, all while making a profit. But secondly, we create"
235.74,240.86," better innovation in green technology. In our model, we incentivize firms to be less reliant"
240.86,245.16, on practices with higher carbon emissions because the cost of permits increase
245.16,246.72, and there are heavy monetary fines
246.72,248.08, for breaching the carbon limit.
248.08,250.28, So this creates an incentive to innovate
250.28,251.6, new greener alternatives
251.6,254.24, so firms don't pay exorbitant cost for permits
254.24,255.88, and so they can earn from its sale.
255.88,259.52, So firms now have more incentive to overhaul machinery
259.52,261.72, or halt policies that are heavy in carbon.
261.72,264.08, So we push companies like ExxonMobil
264.08,265.04, to further invest in
265.04,270.3," innovations such as renewable diesel. In their world, innovation is largely spurred by governments"
270.3,274.98, as revenue goes to states as opposed to firms. And this is less preferable for two reasons.
275.3,279.4," One, governments are prone to corruption, especially if officials have interest in"
279.4,284.64," specific industries. In Malaysia, the government was accused of granting $200 million worth of"
284.64,287.56, hydropower contracts to companies linked to a minister.
287.72,294.36," But two, even if corruption, I'll take you after this, doesn't occur, government subsidized individual firms for a greater return of investment."
294.62,298.36, So these firms are shielded from competition and are more prone to mismanagement.
298.62,306.52," So in 2009, Obama subsidized Solyndra, a solar panel company, only for it to file bankruptcy two years later due to gross mismanagement."
306.52,313.68," In our world, mismanagement becomes a massive loss in revenue and competition forces firms to innovate better green tech."
313.88,315.94," But thirdly, we prevent carbon leakage."
316.12,323.72," In their world, national or regional programs incentivize companies to move manufacturing to areas with less regulation to save costs."
323.9,328.16, So a firm in Germany can move production to North Africa to escape costs.
