start,end,speaker
0.03,1.01,SPEAKER_08
2.7,6.51,SPEAKER_08
6.7,13.97,SPEAKER_08
13.97,14.07,SPEAKER_03
21.97,23.03,SPEAKER_03
23.03,23.15,SPEAKER_08
24.08,24.8,SPEAKER_08
24.69,24.72,SPEAKER_03
24.72,25.56,SPEAKER_10
26.1,33.56,SPEAKER_10
33.02,34.19,SPEAKER_08
35.01,37.7,SPEAKER_08
38.46,41.36,SPEAKER_08
41.26,46.47,SPEAKER_11
46.61,51.23,SPEAKER_11
52.17,53.25,SPEAKER_08
54.77,56.49,SPEAKER_08
56.8,57.71,SPEAKER_08
58.67,59.35,SPEAKER_08
60.81,62.87,SPEAKER_08
62.87,62.89,SPEAKER_01
63.14,63.75,SPEAKER_01
64.12,65.17,SPEAKER_01
65.86,66.81,SPEAKER_08
66.87,80.79,SPEAKER_08
83.28,88.51,SPEAKER_10
89.4,90.36,SPEAKER_08
92.29,93.03,SPEAKER_10
93.03,95.22,SPEAKER_04
96.17,96.18,SPEAKER_08
96.18,97.25,SPEAKER_01
98.97,101.58,SPEAKER_01
102.24,102.26,SPEAKER_08
102.26,104.64,SPEAKER_01
109.33,110.04,SPEAKER_03
110.04,117.7,SPEAKER_05
118.09,118.93,SPEAKER_08
118.54,118.56,SPEAKER_07
118.56,118.81,SPEAKER_05
118.81,118.9,SPEAKER_07
118.93,119.1,SPEAKER_07
119.1,119.13,SPEAKER_06
120.1,120.13,SPEAKER_07
120.13,121.85,SPEAKER_06
122.48,122.49,SPEAKER_06
122.49,123.2,SPEAKER_08
124.26,126.69,SPEAKER_06
127.67,136.97,SPEAKER_08
136.97,137.49,SPEAKER_03
142.76,143.03,SPEAKER_03
143.03,143.45,SPEAKER_11
143.79,143.81,SPEAKER_03
143.81,148.58,SPEAKER_08
149.07,160.97,SPEAKER_08
160.97,161.46,SPEAKER_03
161.46,161.47,SPEAKER_08
166.86,169.96,SPEAKER_03
169.96,170.5,SPEAKER_09
171.48,171.51,SPEAKER_10
171.51,172.04,SPEAKER_09
172.04,174.97,SPEAKER_10
174.97,177.03,SPEAKER_09
177.03,179.65,SPEAKER_03
184.04,186.3,SPEAKER_03
186.58,186.97,SPEAKER_03
186.97,187.19,SPEAKER_09
187.19,187.21,SPEAKER_03
187.85,187.87,SPEAKER_03
187.87,188.64,SPEAKER_09
189.71,193.01,SPEAKER_09
193.17,238.14,SPEAKER_09
216.25,216.3,SPEAKER_00
216.54,216.72,SPEAKER_00
238.36,275.35,SPEAKER_09
275.77,298.58,SPEAKER_09
298.8,303.36,SPEAKER_09
303.6,378.54,SPEAKER_09
379.06,539.85,SPEAKER_09
468.8,468.85,SPEAKER_00
468.85,468.89,SPEAKER_02
540.28,567.93,SPEAKER_09
557.14,557.78,SPEAKER_00
568.2,568.55,SPEAKER_09
568.92,583.15,SPEAKER_09
584.94,589.64,SPEAKER_07
590.54,694.86,SPEAKER_09
696.45,697.96,SPEAKER_08
697.96,699.36,SPEAKER_03
728.73,731.11,SPEAKER_03
731.11,731.14,SPEAKER_05
731.55,731.92,SPEAKER_03
733.44,734.4,SPEAKER_05
734.58,738.8,SPEAKER_05
756.64,766.34,SPEAKER_05
766.68,788.35,SPEAKER_05
787.77,788.33,SPEAKER_06
