start,end,text
0.0,6.08, recording first okay excellent hi everyone my name is stages i will be your chair for the round
6.72,11.6, um and i'm joined by three other wonderful judges i would appreciate if you could
11.6,15.92, introduce yourself and the order that you appear on the draw
21.76,29.08, i don't think that would assure you uh she yeah. I just kind of assumed that you would go first because I know we're David
29.08,33.24," and Devita, but I just assumed you would go first. I don't mind going first, that's completely"
33.24,34.24, okay.
34.24,37.88," Oh, I'm so sorry. Oh, I just thought because finalists go first."
37.88,41.52," Okay, the order in the draw is Devita goes first, so you can go first."
41.52,49.12," Okay, okay. Thank you for the clarity, Tejas. Hi name is davida gender pronounced you are i'm going to be punished for this wrong but just come to refer"
49.12,57.1, to me as panel all the best for this round thanks joseph hi i'm joseph happy to be here good luck
57.1,65.0, to both uh david hello i'm david glad to be here again. Good to see you there.
65.0,71.0," Okay, awesome. In that case, if we could just go down the room and get introductions from all speakers."
71.0,75.0," You are free to disclose your pronouns, but that's completely your choice."
75.0,78.0," However, you are required to disclose your name and speaking position."
78.0,81.0," So on the proposition, could we know who is speaking first?"
83.0,88.24," All right. Hi, I'm Kassar. I'll be speaking first and also do reply. My pronouns are she"
88.24,89.24, her.
89.24,90.24, Thank you. Speaking second.
90.24,95.76," Michelle, my pronouns are also she her."
95.76,99.06, Thanks. Speaking third.
99.06,102.34, My name is Jeremiah and my pronouns are he her.
102.34,109.12, Thank you so much on the opposition speaking first
112.64,118.24, hi everyone my name is ashwin um i'll be going first and of first and of reply preferred pronouns they them uh po is in chat for all three of us thank you
119.84,123.04, hi my name is chan i'll be going up too and finally third
124.0,126.56, hi i'm humed i'll be going up with good luck in Kenya.
127.84,129.52," Thank you so much, everyone."
129.52,134.6," So just before we start one brief note, is any of the other judges willing to time?"
134.6,137.36, I am really quite bad at timing because I take notes on a computer.
142.64,143.68," Yeah, I could try."
143.68,144.36," OK, awesome."
144.36,149.0," So if you could just post 178 and 815 in the chat, that would be perfect."
149.0,152.72," Okay, apart from that, before you begin your speech, I would appreciate if you could state"
152.72,155.66," your POI preference again, just so it's very clear."
155.66,158.7," If a preference goes unstated, assume POIs go in the chat."
158.7,166.4," In that case, we welcome the first speaker of the proposition to open the debate."
170.14,171.04," All right, just to confirm audibility and visibility."
172.06,172.14," All right, great."
173.64,174.0, Let me just set up my timer.
176.08,178.22, I'd appreciate my POIs in the chat or I will flag on my fifth minute.
178.6,179.62, Let me just set mine up.
183.92,190.64," Okay, starting in three, two, one."
190.64,195.92," Panel affirming that this house would ban free to play video games, three very important"
195.92,196.92, points of framing.
196.92,202.52," Firstly, we think this debate is not a debate about how essentially video games are really,"
202.52,203.52, really bad.
203.52,206.28, This debate is not about us banning particular
206.28,211.82, video games this debate is about banning this kind of financial or that monetary kind of service that
211.82,217.66, comes within these video games this looks like as per the info slide the free to play videos
217.66,223.14, video game service this looks like um sort of having costless video games or the ones where
223.14,225.46, you can pay up front So it's not about that
225.46,231.0, Fortnite is bad or Minecraft is bad. That's not the debate. The debate is about when or when
231.0,236.7, particularly can people or when would they actually subscribe to either paying upfront or having a
236.7,243.98, costless video game as opposed to actually playing three levels of the game and then paying for the
243.98,245.68," later stage, right? right but even secondly it's"
245.68,250.56, very important for us to actually look at status quo we think then the gaming industry is currently
250.56,255.28, expanding i mean the gaming industry today is considered an esport and we had just a recent
255.28,261.04, tournament in 2021 in tokyo where the gaming revenue and you know it was like in billions
261.04,269.6, of dollars so we think because of that expansion it's very important to have this concept because later on when i start talking to you about the kind of significance we
269.6,274.32, would have at the end of the day in terms of economic benefit this context would play a very
274.32,280.0, key role right but even secondly it's also important to note that these games are always
280.0,284.32, developing so that means that games don't essentially just have one season and that's it
284.32,288.48, most games do but the ones that we're going to be discussing today we think that they have that
288.48,293.12, longevity and it's very important to preserve that longevity of the game this looks like fortnite
293.12,298.72, not only having one season but 21 seasons that last for a period a short time period for like
298.72,303.44, 10 to 12 weeks right and the third point of context and really important here right
303.44,325.6," the nature of video games essentially is very addictive, right? It's very important for us to understand because of this addictive nature, how then do gaming developers and these kind of updates and then free to play actually come into play and become very much unjustified later on in the case but it's also important to understand that that intuition"
325.6,330.32, prompt you have when you start playing fortnite and you're only able to access three levels and
330.32,334.8, then you sort of are really psyched about sort of moving to the next level and then suddenly there's
334.8,340.24, that one tree cost that you have to incur what we think that opposition needs to justify is then
340.24,349.92," when you put in let's say 12 hours of hard labor and you're playing those three levels and because you want to advance to level four, why then is it justified to start paying that?"
350.02,356.24," Why then don't we just have it as a costless one or on a comparative have an upfront payment, which is essentially important?"
356.32,359.82, And I'll show you why. Right. But then let me tell you what I'm going to be proving in my speech.
359.82,365.18," Two things. Firstly, why would people sign up to either have an upfront cost for paying this or even"
365.18,370.18, cost us and i think in our case when we're banning these free to play games we'll focus more on having
370.18,375.6, the upfront cost and why essentially it's better but even secondly how then do we benefit these
375.6,381.12, gaming developers right so for the first point we think when you have the free to play games and the
381.12,390.18, way that metric works as i explained to you you play three levels before you even are able to upgrade to level four you have to have a costume upgrade and all those are in real
390.18,394.5, time cash they actually have to put your debit card or credit card number and actually incur
394.5,400.12, those goals right so in principle we think then that essential metric is just a marketing strategy
400.12,406.08," which is morally unjustified why two levels Two levels of analysis. Firstly, we think because you know"
406.08,412.7," games can be addictive, you already know that once people get hooked onto the three levels and they"
412.7,418.02," essentially really like your game, then they will be forced to actually pay for that upgrade to go"
418.02,422.34," to level four, right? The reason we think that this is going to be highly unjustified, especially"
422.34,429.84," when you have that free-to-play metric, is because at the end of the day the funny thing becomes that you are forcing or coercing these"
429.84,434.96, people to actually upgrade right maybe even if it's indirectly because you're using that addiction
434.96,439.68, that they've got or that kind of utility and satisfaction the dopamine effect they get from
439.68,445.52, playing those three levels on that on that game to essentially force them and coerce them to start
445.52,450.56, playing for uptis right on a comparative what do we think happens right because on your side when
450.56,456.08, you have the free to play you actually target the rationality of this consumer and because this what
456.08,461.04, this consumer is actually going through that dopamine effect because you know competition
461.04,466.26," competition and reward is an inherent you yourane metric, right? Because of all these"
466.26,469.98," things, right? What happens in a comparative when you actually have to pay an upfront?"
470.28,474.68," Why is that essentially going to be much better, right? But before I move into that comparative"
474.68,480.48," and give you those two strings, it's important to understand why we care then about the rationality"
480.48,485.1," of these players, right? Because understand, number one, the kind of demographic that we're"
485.1,489.98," dealing with is essentially young. And even if it expands to people being 40 years old and playing,"
490.1,497.26, we don't care. But the idea is half or even 50 to 60% of the demographic that plays video game
497.26,501.92," is essentially young, right? That means the progressive cost that you need to be upgrading"
501.92,508.76," or you need to incur in order to play just one season of Fortnite is essentially harmful for that consumer, right?"
508.98,515.34, We then tell you it is so much better for you to pay your $3 for 10 levels of Fortnite
515.34,520.22," upfront before you go to level three, get hooked, they use your addiction against you,"
520.42,524.52," and then you start paying even if it's $2, moving to the next for an upgrade and actually"
524.52,529.6," pay $5, right? you and then you start paying even if it's two dollars moving to the next for an upgrade actually pay five dollars right so we think then those costs on a progressive level at the end of the"
529.6,535.2, day because that consumer is irrational and you know hooked on that game essentially we think then
535.2,540.64, it becomes unjustified right so we think then moving on to the second comparative we think
540.64,546.28," having that upfront pay essentially means that firstly, they don't bait you into your addiction, right?"
546.36,548.32, So they don't use your addiction against you.
548.44,551.18, What essentially happens is they give you the demo of the game.
551.24,552.88, They tell you this is how the game looks like.
552.92,554.18," If you're up for it, go for it."
554.3,555.54, And this is the initial cost.
555.54,562.6," We think that is so much better and that is so much more principally justified because number one, your addiction is not being used against you."
562.9,570.88," Number two, you are ensuring that the gaming developers get their profits so this is this means that fortnite will only be profitable"
570.88,576.24, if people move from level three to level four but something like minecraft is going to be profitable
576.24,580.32, the minutes the user starts playing from level one what are the outcomes of this i'm going to
580.32,586.18, specify but before i move on i'll take that POI too. Would you ban companies like
586.18,591.82, Netflix offering free trials before paid subscriptions? Understand what I've told you
591.82,597.0, that this isn't like something like a trial or stuff like that right and even if it is like a
597.0,602.14, trial what happens in video games is essentially so much different than what happens later on
602.14,605.1, because as I told you that addictive nature of
605.1,611.24, these games essentially hurts these consumers and what happens then is that metric of baiting and
611.24,615.88, hooking them to actually start playing these video games but then don't get an opt-out mechanism
615.88,620.96, because then you have that dopamine effect and you so you know you still have to go and go to
620.96,625.06, the next level right but what happens on a comparative as i explained earlier what are
625.06,630.26, the outcomes of that and why are they significantly much better firstly for the consumer you do not
630.26,635.8, have to incur that progressive cost which we think because it impanes your rationality you do not have
635.8,640.44, absolute choice which is really really important when it comes down to you actually taking money
640.44,645.64, out of your pocket and spending it on video games which essentially then later on leads you to
645.64,652.2, you know incurring a lot of costs just able to pay or play one kind of season right so we think
652.2,657.98, then at that particular point it's better to have an upfront payment because number one you take away
657.98,663.0, that vacuum space of profit and you actually give this developers that profit and you still have
663.0,667.16," longevity of the game minecraft until today only has upfront payments,"
667.16,669.4," and we still have longevity of the game, right?"
669.4,671.74, That is an essential and very strategic example
671.74,673.9, because you do not use the addiction
673.9,675.56," against these specific people,"
675.56,677.16," but at the end of the day,"
677.16,679.56, you're allowing them to play the game
679.56,681.6, and giving them absolute choice
681.6,683.34, as to whether they would like to progress
683.34,684.82, from level one to level two.
684.82,689.8," But even lastly, and most importantly, we think the commercialization of the gaming industry,"
689.8,696.4," which is going to be extended upon my second speaker, is essentially very, very important. Proud to propose."
696.4,732.0," Thank you for that speech. We now welcome the first speaker of the opposition. Hi. Hi, can I be seen and heard clearly?"
732.0,733.0, Yep.
733.0,762.16," Okay, great. My most wholesome memory of prepping for WSDC this year was when Chanithu played us the"
762.16,765.0, Minecraft theme song on his piano and that
765.0,771.3, made Humed start crying. That proves to you just how important and meaningful video games are
771.3,777.38, to the lives of the vast majority of people. And we think that getting rid of the free-to-play model
777.38,783.66," restricts a large proportion of people from ever being able to access the happiness, the joy and"
783.66,785.7, the friendships that video games provide.
786.14,787.44, That is why we are boards.
787.66,792.96, I want to make it clear that we agree with them that the scale of this industry is massive and growing
792.96,796.86, with billions of dollars being poured in and hundreds of thousands of people employed.
796.86,802.2," But I also want to make it clear that the vast, vast majority of video games in the modern day"
802.2,803.84, are via the free-to-play model.
804.1,805.18," Companies like Tencent,"
805.32,810.74," Blizzard, Ubisoft and Epic Games that make games like Fortnite, like Team Fortress, not Team Fortress,"
810.86,816.3," yes Team Fortress, make games like Dota for example. All of these games are ones that are"
816.3,821.02, free-to-play that are the biggest forms of gaming in the modern day and these are the ones that the
821.02,830.14," vast majority of people depend on for their employment. People who work in games development, people who play these games professionally, people who stream these games on platforms like Twitch."
830.52,846.0," On proposition, this is a new policy that they have to implement on current games, which means that on their side of the world, games that you were playing for free before, now you have to pay a higher amount for. In contrast, our counter model is one where we allow free to play games to exist,"
846.0,852.08," we do not ban them, but we impose regulations on forms of games or factors within games that we"
