start,end,speaker
3.46,7.74,SPEAKER_02
26.98,29.19,SPEAKER_02
40.09,41.04,SPEAKER_02
41.04,64.51,SPEAKER_07
64.68,75.24,SPEAKER_07
75.41,118.83,SPEAKER_07
119.19,176.1,SPEAKER_07
177.2,188.09,SPEAKER_09
189.1,281.74,SPEAKER_07
281.83,345.55,SPEAKER_07
345.66,347.4,SPEAKER_07
347.74,359.11,SPEAKER_07
359.57,360.21,SPEAKER_07
360.63,365.56,SPEAKER_07
366.27,396.37,SPEAKER_07
396.46,408.52,SPEAKER_07
408.91,416.25,SPEAKER_07
416.66,425.6,SPEAKER_07
426.21,447.0,SPEAKER_07
447.45,451.23,SPEAKER_07
451.29,460.3,SPEAKER_07
460.67,486.3,SPEAKER_07
486.57,492.76,SPEAKER_07
493.37,538.97,SPEAKER_07
538.97,540.0,SPEAKER_02
544.1,547.02,SPEAKER_03
547.25,548.82,SPEAKER_03
554.59,554.75,SPEAKER_12
565.09,568.3,SPEAKER_02
568.77,569.22,SPEAKER_02
570.81,571.2,SPEAKER_02
577.88,579.79,SPEAKER_02
583.74,585.04,SPEAKER_02
585.04,587.47,SPEAKER_08
588.23,641.77,SPEAKER_08
642.29,772.7,SPEAKER_08
773.21,1026.87,SPEAKER_08
1027.36,1075.96,SPEAKER_08
1075.96,1076.77,SPEAKER_02
1080.98,1080.99,SPEAKER_03
1080.99,1083.66,SPEAKER_02
1083.78,1085.26,SPEAKER_02
1110.57,1111.64,SPEAKER_02
1112.9,1113.31,SPEAKER_03
1113.46,1113.48,SPEAKER_02
1113.48,1114.05,SPEAKER_04
1114.05,1114.07,SPEAKER_02
1116.06,1118.1,SPEAKER_04
1151.8,1152.73,SPEAKER_12
1190.95,1191.03,SPEAKER_02
1191.03,1191.74,SPEAKER_05
1192.03,1193.52,SPEAKER_05
1193.92,1252.9,SPEAKER_05
1253.29,1257.91,SPEAKER_05
1258.25,1276.59,SPEAKER_05
1277.57,1293.42,SPEAKER_05
1293.6,1295.64,SPEAKER_05
1295.98,1304.13,SPEAKER_05
1304.35,1338.66,SPEAKER_05
1338.79,1357.37,SPEAKER_05
1357.57,1443.32,SPEAKER_05
1443.38,1498.09,SPEAKER_05
1498.89,1529.7,SPEAKER_05
1530.09,1530.53,SPEAKER_05
1530.85,1569.63,SPEAKER_05
1570.05,1590.8,SPEAKER_05
1591.09,1609.25,SPEAKER_05
1611.05,1620.2,SPEAKER_09
1621.11,1640.94,SPEAKER_05
1641.5,1688.04,SPEAKER_05
1670.72,1671.13,SPEAKER_00
1688.04,1688.98,SPEAKER_02
1693.89,1696.39,SPEAKER_02
1696.46,1698.89,SPEAKER_02
1709.74,1711.22,SPEAKER_02
1711.49,1711.73,SPEAKER_02
1714.77,1718.01,SPEAKER_02
1723.9,1725.03,SPEAKER_02
1725.03,1725.82,SPEAKER_09
1725.82,1725.97,SPEAKER_02
1726.26,1726.31,SPEAKER_02
1726.31,1726.88,SPEAKER_09
1726.88,1726.97,SPEAKER_02
1727.17,1727.71,SPEAKER_09
1728.05,2226.97,SPEAKER_09
2226.97,2227.36,SPEAKER_02
2231.5,2236.17,SPEAKER_03
2236.49,2237.64,SPEAKER_03
2238.33,2241.03,SPEAKER_03
2241.03,2241.18,SPEAKER_02
2241.18,2241.33,SPEAKER_03
2241.33,2242.16,SPEAKER_02
2284.67,2285.02,SPEAKER_02
2288.03,2289.75,SPEAKER_02
2290.36,2290.58,SPEAKER_02
2291.05,2291.15,SPEAKER_02
2319.62,2321.64,SPEAKER_06
2321.83,2332.86,SPEAKER_06
2326.25,2326.27,SPEAKER_12
2326.27,2326.35,SPEAKER_08
2333.05,2518.52,SPEAKER_06
2519.1,2626.08,SPEAKER_06
2628.14,2628.16,SPEAKER_07
2628.16,2640.28,SPEAKER_09
2640.83,2816.97,SPEAKER_06
2816.97,2817.63,SPEAKER_02
2817.63,2817.65,SPEAKER_06
2821.19,2821.21,SPEAKER_03
2821.21,2825.02,SPEAKER_02
2840.38,2841.81,SPEAKER_02
2843.32,2843.97,SPEAKER_02
2843.97,2847.28,SPEAKER_03
2847.28,2848.36,SPEAKER_02
2848.95,2849.95,SPEAKER_03
2850.56,2851.47,SPEAKER_02
2853.21,2854.12,SPEAKER_02
2854.56,2858.18,SPEAKER_02
2858.82,2859.99,SPEAKER_02
2880.8,2883.46,SPEAKER_02
2883.97,2883.99,SPEAKER_02
2883.99,2884.34,SPEAKER_10
2884.34,2884.36,SPEAKER_02
2884.86,2885.22,SPEAKER_10
2885.59,2986.37,SPEAKER_10
2987.13,3060.46,SPEAKER_10
3060.92,3089.76,SPEAKER_10
3090.21,3118.6,SPEAKER_10
3118.95,3158.44,SPEAKER_10
3158.91,3210.58,SPEAKER_10
3211.36,3223.7,SPEAKER_05
3225.1,3236.2,SPEAKER_10
3236.4,3281.12,SPEAKER_10
3281.75,3289.83,SPEAKER_10
3290.22,3314.43,SPEAKER_10
3315.09,3330.72,SPEAKER_10
3330.99,3354.43,SPEAKER_10
3354.71,3369.97,SPEAKER_10
3369.97,3371.07,SPEAKER_02
3377.04,3377.97,SPEAKER_02
3377.97,3382.78,SPEAKER_03
3382.78,3382.79,SPEAKER_02
3387.42,3388.29,SPEAKER_02
3388.77,3389.0,SPEAKER_02
3408.19,3410.64,SPEAKER_02
3411.21,3411.3,SPEAKER_02
3411.3,3411.31,SPEAKER_09
3411.31,3411.4,SPEAKER_02
3411.4,3411.6,SPEAKER_09
3411.6,3411.77,SPEAKER_02
3412.19,3412.21,SPEAKER_02
3412.21,3412.63,SPEAKER_09
3413.15,3663.31,SPEAKER_09
3666.26,3667.04,SPEAKER_03
3667.04,3670.8,SPEAKER_02
3691.62,3692.53,SPEAKER_02
3694.71,3694.78,SPEAKER_02
3694.78,3694.8,SPEAKER_12
3694.8,3694.83,SPEAKER_02
3694.83,3694.95,SPEAKER_12
3694.95,3695.03,SPEAKER_02
3744.42,3744.44,SPEAKER_05
3744.44,3745.03,SPEAKER_04
3745.03,3759.8,SPEAKER_05
3760.12,3768.4,SPEAKER_05
3768.84,3772.29,SPEAKER_05
3770.56,3770.83,SPEAKER_12
3772.59,3801.99,SPEAKER_05
3802.36,3850.1,SPEAKER_05
3810.41,3810.76,SPEAKER_00
3850.42,3877.45,SPEAKER_05
3877.86,3946.71,SPEAKER_05
3948.66,3973.4,SPEAKER_05
3973.81,3981.33,SPEAKER_05
3983.26,4004.03,SPEAKER_05
4004.03,4004.65,SPEAKER_02
4006.93,4007.66,SPEAKER_03
4009.33,4010.04,SPEAKER_03
4010.04,4013.68,SPEAKER_01
4014.14,4015.77,SPEAKER_01
4015.94,4019.52,SPEAKER_01
4019.98,4023.01,SPEAKER_01
4023.28,4026.27,SPEAKER_01
4026.44,4041.51,SPEAKER_01
4042.08,4047.82,SPEAKER_01
4048.33,4055.75,SPEAKER_01
4055.9,4058.65,SPEAKER_01
4059.67,4060.12,SPEAKER_01
4061.02,4062.54,SPEAKER_01
4062.99,4066.69,SPEAKER_01
4067.11,4088.51,SPEAKER_01
4089.05,4091.31,SPEAKER_01
4091.53,4092.98,SPEAKER_01
4093.21,4099.34,SPEAKER_01
4099.81,4111.29,SPEAKER_01
4111.79,4125.83,SPEAKER_01
4126.51,4137.36,SPEAKER_01
4137.85,4149.02,SPEAKER_01
4149.34,4151.7,SPEAKER_01
4151.87,4154.59,SPEAKER_01
4154.81,4157.76,SPEAKER_01
4158.0,4161.24,SPEAKER_01
4161.57,4172.0,SPEAKER_01
4172.31,4174.8,SPEAKER_01
4175.18,4186.11,SPEAKER_01
4186.4,4190.41,SPEAKER_01
4190.65,4195.66,SPEAKER_01
4196.05,4206.29,SPEAKER_01
4206.51,4215.88,SPEAKER_01
4216.28,4227.54,SPEAKER_01
4227.91,4231.23,SPEAKER_01
4231.61,4233.24,SPEAKER_01
4233.63,4262.12,SPEAKER_01
4262.37,4267.58,SPEAKER_01
4267.92,4270.69,SPEAKER_01
4271.3,4271.72,SPEAKER_01
4272.12,4297.06,SPEAKER_01
4297.65,4298.03,SPEAKER_01
4298.75,4299.68,SPEAKER_01
4300.35,4305.67,SPEAKER_01
4306.24,4310.73,SPEAKER_01
