start,end,text
0.0,40.18," With that said, I'd like to call upon the first speaker for a proposition. Take my POIs and chat please."
40.18,46.08," In the US, conservative media organizations focused on the economic harms of lockdown."
46.08,51.12, Voters in conservative states then postpone lockdowns leading to thousands of preventable
51.12,56.48," COVID deaths. Technically reporting on the economic harm is not false news,"
56.48,62.24, but representing it as the only factor to consider is still dangerous because it distorts reality
62.24,70.56, through the omission of fair opposition. Our problem is that media bias results in people acting on incomplete information and
70.56,75.76, the impact of polarized media on how people engage with one another and vote.
75.76,80.92," Under a fairness doctrine, organizations would also include the view that lockdowns are necessary"
80.92,88.22, and people would then have the ability to decide what they want to prioritize instead of being fed conclusions from the very start.
88.22,89.92, Our model comes in three parts.
89.92,91.86," Firstly, fairness doctrines would mandate"
91.86,95.04," that corporately owned broadcast news media on television,"
95.04,98.06," radio, newspapers, magazines, news podcasts,"
98.06,100.24, and their social media content
100.24,102.04, would follow two main conditions.
102.04,104.76," When covering controversial issues of public importance,"
104.76,109.68," such as welfare policy and social issues, the two conditions are firstly granting equal airtime"
109.68,114.24, and coverage to differing viewpoints and secondly giving an accurate representation of those
114.24,119.04, differing viewpoints by finding the people with adequate qualification to represent them.
119.04,124.08, We recognize that it is not always possible to do this perfectly and in those instances media
124.08,125.04," organizations would provide proof of an attempt to do this perfectly. And in those instances, media organizations"
125.04,126.94, would provide proof of an attempt to do this
126.94,128.68, to the best of their abilities.
128.68,130.68," Secondly, we would mandate that equal access"
130.68,132.42, to campaign advertising and airtime
132.42,134.74, be given to candidates during elections.
134.74,136.72," Thirdly, existing media regulators"
136.72,139.36, that currently regulate hate speech and fake news
139.36,140.88, would take on this mandate.
140.88,143.42," Functionally, this would look like the FCC in the US,"
143.42,149.36," where no one party can have more than three of its five members, and the CRTC in Canada and the Press Council of India. The"
149.36,153.6, regulatory body would then flag violations and courts would finally determine that those
153.6,158.72," violations have occurred. Even when organizations technically comply with all of these elements,"
158.72,163.52," if they still show a pattern of subverting the street of fairness doctrines, we can still find"
163.52,165.52, organizations as fit by measuring
165.52,170.96, malicious intent what this is not is a state dictation of what issues organizations can cover
170.96,175.52, so they retain discretion over that before i move on into argumentation i can take a few
177.12,181.76, so the vast majority of the people within the fcc are people that either have political incentives
181.76,187.92, for the future or people who are already involved in politics. How can you ensure that your set is not going to be an unjust government intervention?
188.96,192.96," We think that most of these organizations are formed under parliamentary bills,"
192.96,197.44, so all parties have direct influence over who gets appointed into those committees
197.44,202.4, and the balancing of incentives of all those people mean that there is never an instance in
202.4,209.04, which one party has an unfair advantage leading to government abuse. I'll be proving this later with an argumentation as well.
209.04,213.64," Our first argument then is on the legitimacy of implementation. On a first level, the state"
213.64,218.52, has a direct obligation to provide balanced information because it derives its legitimacy
218.52,224.44, from individuals voluntarily giving the state the power to exert its power by making an
224.44,225.44, informed vote
225.44,229.92, the state should then attempt to facilitate this informed choice as much as possible where it is
229.92,234.64, possible on a second level then why is this individual right to an informed choice not
234.64,239.68, fully protected in status quo it is because people have limited control over what media they are able
239.68,244.56, to consume this is because they have limited time people cannot watch multiple channels at once and
244.56,248.92, research all viewpoints they have limited knowledge so People cannot watch multiple channels at once and research all viewpoints. They have limited knowledge. So dissecting data about social
248.92,253.96, issues on your own is a very laborious procedure and therefore people are not able to do it.
254.26,259.32," People also expect fair representation. So when the media reports a biased view, consumers do not"
259.32,263.74, always know that they're being denied legitimate information. So there's no accountability for it.
264.06,269.36, The right to choice is best facilitated when people form informed choices even if people willingly
269.36,274.16, choose to live in echo chambers we as a state still have a duty to uphold the overall right
274.16,279.28, to informed choice in as many instances as possible which is not possible under bias media
279.28,284.64, consumption even if you opted into it this is true even if opposition says that all opinions are
284.64,289.68, valid regardless of how people arrived at it because this ignores the fact that bias causes direct
289.68,295.2," harm to third parties. For example, if you're only exposed to racist ritual without any opposition,"
295.2,299.76, that negatively impacts the way that you see minorities and directly hurts those communities.
299.76,303.84, That is why the state should intervene. The third area of this argument is that commercial
303.84,305.56, rights are not absolute.
305.56,309.4, Speech concerning public affairs is not a direct form of expression.
309.4,313.52, It is more so a form of awareness so that people are able to govern themselves.
313.52,317.98, News media has actively abused this mandate because it is captured by private interest.
317.98,322.1, It looks like Jeff Bezos owning the Washington Post and using it to whitewash the actions
322.1,323.1, of Amazon.
323.1,325.56, It looks like right-wing media being funded by the private
325.56,327.64, prison lobby like the CCA.
327.64,329.66, This bias is unjust because the media
329.66,332.48, is what bridges the gap between voting issues and voters.
332.48,334.4, Much in the same way that opposition parties
334.4,337.18," grant voting choices, it is opposing information"
337.18,339.2, that gives you the ability to think critically
339.2,340.88, and choose your political leaning.
340.88,342.88, This argument is important because we give you
342.88,344.18, three standards for the government
344.18,345.7, legitimacy in intervening.
345.7,349.5," Firstly, that the state obligation to provide balanced information exists."
349.5,353.96," Secondly, that the individual right to informed choice is better facilitated on our side of"
353.96,354.96, the house.
354.96,358.48," And thirdly, why both of those things matter more than corporate profit because media is"
358.48,359.48, a public good.
359.48,364.62, Our second argument then is on why we have a better representation of issues by reducing
364.62,365.62, polarization.
365.62,370.86," Currently in status quo, news media has little incentive to include the opposing view."
370.86,374.62, This is because they are catering to viewer bases that demand a specific political meaning.
374.62,379.56," There are also multiple sources that are reporting on limited issues, so organizations attempt"
379.56,383.12, to differentiate themselves by accusing other news media of inaccuracy.
383.12,386.0," Therefore, there is a collective action in eliminating this bias."
386.0,393.0," Studies show, for example, that around 66% of people say that news organizations in general are often inaccurate,"
393.0,396.0, but only 30% say the same about the news that they view the most.
396.0,400.0," Even when the opposing view is presented, it is often misrepresented,"
400.0,404.0, like using extreme examples of violent protests during the BLM protests
404.0,405.56, and using fundamentalists
405.56,410.3, from the far right to represent the entirety of the right wing. People then retain an unfair
410.3,414.34, characterization of the other side and there's no incentive to watch multiple channels because
414.34,419.52, they believe that that is engagement enough. This is where other forms of checking also fall short.
419.84,423.94," When it comes to fact checking, this is done retrospectively, so the damage of exposure to"
423.94,429.6, false information is already done. Even if reporting is factually correct it may still be biased and therefore
429.6,433.52, misleading like using crime rates in black neighborhoods to portray the narrative that
433.52,438.16, those places need to be over policed even declaring bias is not enough because people
438.16,442.96, will eventually discount these disclaimers because the news will still be presented as objectively
442.96,447.56, correct and they become increasingly incognizant of these declarations over time.
447.56,451.26," On a comparative, the incentives of news media organizations change."
451.26,455.64," Firstly, the media has an incentive to present the opposing view to avoid the repercussions"
455.64,460.44, of having to pay fines and damages to their reputation through the process of litigation.
460.44,464.58," Therefore, they will react to this by making structural changes, like hiring politically"
464.58,467.06, diverse journalists to produce more balanced news stories.
467.58,471.98," Secondly, we eliminate the collective action problem as all organizations have to comply."
472.38,475.34, There is an incentive for governments to be fair in how they implement this
475.34,480.22, because companies themselves can counter through the state if they think that they are being unfairly treated.
480.66,487.08," News organizations, because of their significant reach, capture public attention and therefore their scrutiny as well."
487.08,491.14," Opposition parties have an incentive for incumbent governments responsible, so the margin for"
491.14,492.14, abuse is very unlikely.
492.14,495.32, There are two impacts that follow from this.
495.32,498.38," Firstly, it becomes hard to mischaracterize opposition."
498.38,502.8," For example, you cannot conflate increasing regulation of guns with taking away gun rights"
502.8,507.2," entirely when a proponent of gun regulation has to be present on that panel,"
507.2,510.0, we can immediately correct for that misconception.
510.0,514.5, We also correct for echo chambers because echo chambers in broadcast media is eliminated
514.5,518.8, with the introduction of opposition and social media echo chambers are less damaging
518.8,521.4, because there's a counterweight to it in traditional media.
521.4,524.9," On our side, people with current biases may not entirely change,"
524.9,528.96, but the view base that we change are people that grow up consuming news on our side of the house.
528.96,533.52, They enter a media landscape that is a lot more balanced and cyclically this is beneficial as
533.52,538.0, people are more willing to engage with opposition leading to more holistic policies for everyone.
538.0,547.9," For all of these reasons, I propose. All right, I'd like to thank the speaker and I'd like to now call upon the first speaker"
547.9,549.16, for the opposition.
549.16,568.9, I'd like to confirm that I am visible and audible.
568.9,571.9, You are?
571.9,573.9, Okay.
573.9,587.32," I'd like to take verbal POIs. Starting my speech in 3, 2, 1."
587.72,595.68, Hidden beneath the lights of TV broadcasting is the shadow of political polarization and corrupt governmental incentives.
596.16,603.18, It is only through protecting the freedom of reporting that breaks apart the illusion of fairness we are proud to oppose.
603.18,606.12," Two arguments from first speaker. First,"
606.56,612.3," fairness doctrine forces people to shift to alternative media, which furthers polarization."
613.24,619.48," Second, fairness doctrine significantly hinders media's ability to report on crucial issues. But"
619.48,624.16," before that, a brief note on our stance and rebuttals to their case. What is our stance?"
624.48,625.14," Quite simply,"
625.46,630.24," we envision our world to look much like the status quo, in which the broadcasters have the freedom"
630.24,635.5," to carry out their own discretions. Therefore, we're fine with things like Fox News leaning"
635.5,641.34," slightly more towards conservative views, or CNN and BBC being by and large progressive."
642.24,646.26," Given this, three points of rebuttals from side opposition. First thing,"
646.3,651.4, I'd like to clarify that alternative media such as social media and such would not be a part of
651.4,656.96, their fairness doctrine mandate. This is because the motion reads media with significant audience
656.96,662.74, reach and also news media. We think that many media channels are consistent of little viewers
662.74,669.46," following individual channels and we think that on our side, social media and such would be claimed as alternative media."
669.88,672.38," Second thing, about the feasibility of their case."
672.82,678.18," Fairness doctrine is not necessarily a just and neutral metric, as side proposition frames it to be."
678.18,689.68, This is because the people who constitute the FCC board will be biased because they're selected by the government and they do not want to risk losing their jobs. This means that they're likely going to go with the government's
689.68,696.24," incentive. Know that government have an inherent interest in controlling information. For example,"
696.24,701.36, government have the incentive to not determine certain topics as controversial to prevent
701.36,706.18," political uprisings. For instance, abortion is never officially"
706.18,711.08," determined as controversial in the Philippines, despite the fact that many women are upset by"
711.08,716.34," this law. However, because the government is Catholic, having the media report on these issues"
716.34,721.98," will cut down on their profit. Controversy, therefore, becomes an unreliable metric because"
721.98,729.7," obviously abortion needs to be challenged, but on their side this will be determined as not controversial and not important. Final thing, responding on their"
729.7,734.68, polarization and principal claim about full information given to the people. My first argument
734.68,739.72, proves that their side has more polarization and my second argument proves that their side flushes
739.72,744.94, out less information. This directly engages with their case on perception and choice. This is
744.94,745.3, because you're going to harm people in which they're going engages with their case on perception and choice. This is because
745.3,749.76, you're going to harm people in which they're going to base their perception on the world full of
749.76,754.98," information that's extremely polarizing, but also things like incorrect statistics that are made"
754.98,760.9, without any accountability mechanism on their truth. We take down their principle because your
760.9,765.64," side fails to be shaped by even worse information, which will all be proven within my speech."
765.96,772.4," First argument, then fairness doctrine forces people to shift to alternative media, which furthers polarization."
772.96,780.06," Thesis of this argument is that people will have more incentive to opt into alternative media, which means the worst type of impacts will arise."
780.32,787.02," I'd like to clarify that there are two groups of people who will consume mainstream media. First, the majority who are moderate swing viewers."
787.28,790.26, These are the people who do not have strong political affiliation.
790.78,795.34," Second, people who politically identify with certain ideologies but are not extremists."
795.62,799.24," For example, these are the people who watch mainstream media such as Fox News."
799.52,803.92, These are the people who will be pushed away from the mainstream media and opt into alternative media.
