start,end,speaker
8.45,11.4,SPEAKER_03
12.01,12.06,SPEAKER_03
12.06,12.62,SPEAKER_06
13.83,13.85,SPEAKER_03
13.85,14.56,SPEAKER_06
14.9,18.66,SPEAKER_06
19.13,19.54,SPEAKER_06
20.85,21.31,SPEAKER_06
22.22,22.68,SPEAKER_06
23.44,23.66,SPEAKER_06
24.23,27.4,SPEAKER_06
27.76,52.73,SPEAKER_06
52.92,56.01,SPEAKER_06
56.11,93.13,SPEAKER_06
93.27,99.75,SPEAKER_06
100.32,141.29,SPEAKER_06
141.61,234.21,SPEAKER_06
151.89,152.24,SPEAKER_00
234.54,244.08,SPEAKER_06
244.16,250.35,SPEAKER_06
250.62,254.79,SPEAKER_06
255.3,279.45,SPEAKER_06
279.95,302.23,SPEAKER_06
303.63,308.81,SPEAKER_05
310.04,310.06,SPEAKER_05
310.06,390.11,SPEAKER_06
390.42,402.77,SPEAKER_06
403.26,446.07,SPEAKER_06
446.53,457.77,SPEAKER_06
458.04,466.73,SPEAKER_06
466.83,519.04,SPEAKER_06
519.04,520.57,SPEAKER_03
527.86,531.48,SPEAKER_03
541.92,546.43,SPEAKER_03
582.78,584.04,SPEAKER_02
585.56,585.96,SPEAKER_03
585.96,585.98,SPEAKER_01
587.45,587.72,SPEAKER_03
587.72,587.74,SPEAKER_01
589.0,592.93,SPEAKER_03
600.41,602.32,SPEAKER_03
602.32,602.37,SPEAKER_09
604.14,739.26,SPEAKER_09
740.34,746.41,SPEAKER_07
746.85,1069.48,SPEAKER_09
1069.94,1102.04,SPEAKER_09
1102.04,1104.28,SPEAKER_04
1108.45,1108.97,SPEAKER_01
1108.97,1111.84,SPEAKER_03
1130.74,1131.9,SPEAKER_03
1133.34,1134.06,SPEAKER_03
1133.63,1133.71,SPEAKER_00
1134.66,1135.2,SPEAKER_03
1147.97,1148.44,SPEAKER_03
1166.33,1167.29,SPEAKER_03
1178.56,1179.96,SPEAKER_03
1179.96,1342.91,SPEAKER_08
1315.44,1315.45,SPEAKER_00
1315.45,1315.88,SPEAKER_09
1315.88,1315.93,SPEAKER_00
1343.45,1499.37,SPEAKER_08
1499.91,1506.28,SPEAKER_09
1506.93,1676.97,SPEAKER_08
1676.97,1678.01,SPEAKER_03
1685.66,1687.02,SPEAKER_03
1687.02,1689.24,SPEAKER_01
1690.96,1693.54,SPEAKER_00
1694.47,1694.85,SPEAKER_00
1695.28,1695.85,SPEAKER_00
1695.95,1696.32,SPEAKER_00
1696.74,1700.61,SPEAKER_00
1701.15,1702.99,SPEAKER_00
1702.99,1703.01,SPEAKER_03
1724.22,1724.23,SPEAKER_03
1724.23,1942.38,SPEAKER_00
1942.48,1975.98,SPEAKER_00
1975.98,1976.41,SPEAKER_03
1976.41,1976.43,SPEAKER_00
1982.07,1983.64,SPEAKER_03
1983.06,1983.1,SPEAKER_06
1983.1,1983.25,SPEAKER_00
1983.25,1983.37,SPEAKER_06
1983.64,1983.67,SPEAKER_06
1984.78,1984.97,SPEAKER_03
1984.97,1990.91,SPEAKER_06
1991.82,2174.46,SPEAKER_00
2174.64,2222.97,SPEAKER_00
2222.97,2224.71,SPEAKER_03
2233.83,2237.27,SPEAKER_03
2239.04,2240.29,SPEAKER_03
2240.51,2241.18,SPEAKER_03
2257.42,2258.16,SPEAKER_03
2266.33,2267.81,SPEAKER_03
2269.4,2270.02,SPEAKER_03
2270.02,2270.06,SPEAKER_02
2277.5,2279.98,SPEAKER_04
2279.98,2283.44,SPEAKER_07
2283.49,2314.69,SPEAKER_07
2314.86,2361.65,SPEAKER_07
2362.02,2457.45,SPEAKER_07
2457.59,2458.18,SPEAKER_07
2458.5,2559.28,SPEAKER_07
2560.31,2565.23,SPEAKER_09
2565.84,2690.82,SPEAKER_07
2691.26,2773.03,SPEAKER_07
2773.03,2775.38,SPEAKER_04
2780.61,2783.9,SPEAKER_03
2805.57,2805.67,SPEAKER_03
2805.92,2808.03,SPEAKER_03
2809.95,2810.39,SPEAKER_03
2810.39,2810.41,SPEAKER_05
2811.39,2811.41,SPEAKER_03
2811.41,2812.05,SPEAKER_05
2812.25,2816.03,SPEAKER_05
2816.03,2818.58,SPEAKER_03
2826.31,2827.25,SPEAKER_02
2828.28,2828.55,SPEAKER_02
2831.17,2831.52,SPEAKER_02
2864.22,2865.34,SPEAKER_02
2869.44,2871.38,SPEAKER_03
2872.09,2872.53,SPEAKER_03
2872.53,2872.54,SPEAKER_05
2873.27,2873.29,SPEAKER_03
2873.29,2873.64,SPEAKER_05
2874.21,2874.23,SPEAKER_03
2874.23,2914.65,SPEAKER_05
2915.05,2946.71,SPEAKER_05
2946.9,3084.02,SPEAKER_05
3084.49,3134.24,SPEAKER_05
3135.88,3216.42,SPEAKER_05
3217.25,3223.04,SPEAKER_07
3224.47,3225.52,SPEAKER_05
3226.16,3260.94,SPEAKER_05
3261.07,3327.49,SPEAKER_05
3327.68,3385.04,SPEAKER_05
3385.04,3387.33,SPEAKER_03
3396.9,3397.04,SPEAKER_03
3397.04,3405.84,SPEAKER_01
3406.06,3407.94,SPEAKER_01
3407.94,3407.95,SPEAKER_03
3420.14,3420.29,SPEAKER_03
3420.98,3422.85,SPEAKER_03
3424.71,3426.4,SPEAKER_03
3431.22,3433.62,SPEAKER_03
3436.66,3437.08,SPEAKER_03
3437.08,3437.2,SPEAKER_00
3437.2,3438.01,SPEAKER_03
3438.01,3438.03,SPEAKER_00
3439.29,3695.98,SPEAKER_00
