start,end,text
0.0,11.12," Hello, just to confirm one last time that I'm visible and audible."
12.0,12.48," Yep, you are."
13.62,14.1, Perfect.
15.16,16.68," Again, verbal P.O.I.s."
16.68,23.56," I'll start my speech in 3, 2, 1, go."
24.16,28.8, A doctrine of fairness is a doctrine of truth we propose framing three parts
28.8,33.34, firstly what does the doctrine look like it looks like having a diverse amount of opinions with
33.34,38.1, equal airtime whilst abiding by other current media standards these look like media needs to
38.1,41.68, get political candidates of all sides during debates it looks like interviewing people
41.68,48.88," representing different opinions or using media of different perspectives. Obviously, fact-checking exists on both sides of the house, meaning that"
48.88,54.12," this debate isn't about factual information but about opinion representation. Secondly, this policy"
54.12,58.86, will be moderated by the FCC and other legal bodies. This means that it will be accountable
58.86,63.42, because it will go through democratic check and balances that are subjected to high degrees of
63.42,69.36, scrutiny by other media outlets and lawmakers. implementation involves one in creating a framework that
69.36,74.08, outlines three to five major perspectives per issue that needs to be reported this is sufficient
74.08,78.4, because most issues are narrowed down to a few main camps of solutions anyways for example the
78.4,82.08, refugee crisis can be narrowed down into two main solutions opening or tightening border controls
82.08,88.1," for refugees this also could look like laxing or adding restrictions are the two main solutions, opening or tightening border controls for refugees. This also could look like laxing or adding restrictions as the two main solutions to gun control. Second part of"
88.1,92.04, implementation is that we will fight and take legal actions against channels that fail to
92.04,96.68," implement doctrine. Thirdly, we think that we will also have an appeal system that can be implemented"
96.68,101.68," for certain viewpoints to be implemented retroactively. Third part of framing, presumably,"
101.98,108.86, this debate is about controversial issues. Insofar as it occupies the majority of news headlines and causes the most amount of controversies.
109.22,110.8, We have three arguments to bring to you in this debate.
111.14,113.58," Firstly, why we fulfill the role of media companies."
114.08,117.04," Secondly, why we increase discourse and change human interaction."
117.64,120.96," And thirdly, Sophia and DPM will tell you why we uphold democracy."
121.36,129.84, But now into first arguments and five layers under why we were able to fulfill the role of media companies first point media corporations in this debate definitely have
129.84,135.04, a large audience reach this means the scale of your audience is larger than other media outlets
135.04,139.2, therefore the extent of influence you have and the negative ramifications you cause through
139.2,145.52, a nuanced information is much higher secondly the media the media with significant audience reach have a reciprocal
145.52,151.0," obligation to optimize informational access. Given that they exist successfully today,"
151.36,155.86," due to public and state policy, there is a responsibility to provide a variety of information"
155.86,161.36, means that they internalize information that corresponds best with the world's viewpoints
161.36,166.54," and lived experiences. Thirdly, media corporations are unique actors that people turn to for information,"
166.8,168.48, because people expect news to be trustworthy.
168.94,172.16," This means that news corporations nurture political identity and choice,"
172.4,176.14," because their information influences individual choice and preference,"
176.46,178.82, especially given how frequently people interact with the news.
179.26,183.2," This looks like, if someone is not given the information about how vaccines are made"
183.2,189.44," or the real dangers of COVID, their opinions formed on COVID is probably skeptical, hence illegitimate. This is important"
189.44,194.48," in two-fold. One, information is a prerequisite for a functioning democracy. Without information,"
194.48,199.2," people's capacity to exercise their choice significantly diminishes. Secondly, choice is"
199.2,203.92, a reflection of self-identity. Being able to choose amongst ideas and find out the one that
203.92,205.26, best suits you is the
205.26,210.2," role of the state. But now to the fourth part of this argument. Crucially, news media and the status"
210.2,214.9," quo deprives you of choice, meaning that the fairness doctrine is an important mechanism to"
214.9,219.92, counteract the lack of choice. News media creates a deprivation of choice in three major ways.
220.42,225.38," Firstly, profit incentivizes news corporations corporations means that they deploy sensationalist tactics"
225.38,227.88, to suck you in and continuously watch the news.
227.88,232.62," This means once you opt in, you stay subscribed to the same channel and thus have limited"
232.62,234.5, access to alternate information.
234.5,238.9," Secondly, news companies have perverse incentives to compete against other channels."
238.9,243.0, This means that they will actively demonize other outlets and discourage viewers from
243.0,244.0, searching channels.
244.0,249.42," Thirdly, this form of coercion is long-term because children are born into families with specific ideological"
249.42,254.2," leanings. Fifth part of this argument, how does the fairness doctrine help media companies fulfill"
254.2,260.48," the role? Fairness doctrine mandates an equal and equitable portrayal of the both sides, which means"
