start,end,speaker
0.03,1.03,SPEAKER_00
2.29,11.89,SPEAKER_00
13.95,14.09,SPEAKER_07
15.61,16.5,SPEAKER_07
17.63,18.73,SPEAKER_00
19.76,22.02,SPEAKER_07
22.31,22.93,SPEAKER_00
22.93,23.01,SPEAKER_02
23.79,24.53,SPEAKER_07
26.49,28.48,SPEAKER_07
27.05,27.91,SPEAKER_02
28.8,30.52,SPEAKER_07
30.93,31.84,SPEAKER_07
32.16,33.16,SPEAKER_07
33.41,139.3,SPEAKER_07
91.63,91.85,SPEAKER_00
138.54,139.01,SPEAKER_02
139.79,221.55,SPEAKER_07
171.77,172.19,SPEAKER_02
221.79,224.3,SPEAKER_07
224.57,258.84,SPEAKER_07
261.42,267.5,SPEAKER_05
267.63,271.47,SPEAKER_05
268.04,268.51,SPEAKER_07
271.77,321.15,SPEAKER_07
321.72,334.29,SPEAKER_07
334.32,534.43,SPEAKER_07
366.25,366.56,SPEAKER_00
436.5,436.94,SPEAKER_00
534.06,538.61,SPEAKER_02
545.87,545.89,SPEAKER_01
545.89,568.33,SPEAKER_00
571.38,576.41,SPEAKER_00
581.07,582.29,SPEAKER_01
583.26,583.96,SPEAKER_01
585.29,585.73,SPEAKER_01
607.23,608.7,SPEAKER_01
610.35,615.58,SPEAKER_01
611.77,612.19,SPEAKER_03
621.66,623.97,SPEAKER_01
623.97,654.81,SPEAKER_03
654.92,656.37,SPEAKER_03
656.81,672.03,SPEAKER_03
672.31,678.68,SPEAKER_03
679.0,680.23,SPEAKER_03
680.43,765.84,SPEAKER_03
712.02,712.12,SPEAKER_04
765.85,815.85,SPEAKER_03
816.02,817.05,SPEAKER_03
817.54,827.83,SPEAKER_03
828.17,843.97,SPEAKER_03
844.08,853.32,SPEAKER_03
849.54,849.89,SPEAKER_00
853.62,858.72,SPEAKER_03
859.32,1015.57,SPEAKER_03
1016.16,1028.04,SPEAKER_03
1028.04,1029.17,SPEAKER_01
1033.51,1034.54,SPEAKER_01
1035.13,1035.14,SPEAKER_01
1035.14,1036.04,SPEAKER_03
1036.54,1041.08,SPEAKER_03
1041.57,1042.11,SPEAKER_03
1042.18,1054.48,SPEAKER_03
1054.85,1070.13,SPEAKER_03
1070.13,1094.27,SPEAKER_00
1070.23,1070.6,SPEAKER_03
1095.07,1095.47,SPEAKER_01
1100.4,1101.28,SPEAKER_01
1102.46,1102.69,SPEAKER_01
1108.94,1111.54,SPEAKER_01
1117.59,1118.4,SPEAKER_01
1118.4,1120.62,SPEAKER_00
1118.96,1119.0,SPEAKER_01
1119.0,1123.77,SPEAKER_07
1125.0,1127.6,SPEAKER_00
1126.32,1126.61,SPEAKER_07
1129.34,1130.07,SPEAKER_07
1130.27,1134.77,SPEAKER_07
1135.08,1140.33,SPEAKER_00
1140.75,1180.81,SPEAKER_00
1182.83,1182.87,SPEAKER_00
1182.87,1184.0,SPEAKER_01
1219.79,1221.04,SPEAKER_01
1221.04,1223.13,SPEAKER_00
1223.13,1224.03,SPEAKER_01
1224.03,1224.06,SPEAKER_03
1226.47,1274.16,SPEAKER_03
1226.76,1226.98,SPEAKER_00
1277.45,1280.54,SPEAKER_03
1280.64,1282.77,SPEAKER_03
1284.54,1285.11,SPEAKER_07
1285.18,1295.2,SPEAKER_07
1295.91,1307.2,SPEAKER_03
1307.39,1363.02,SPEAKER_03
1363.02,1365.37,SPEAKER_01
1380.57,1381.03,SPEAKER_01
1381.03,1385.23,SPEAKER_00
1385.45,1398.01,SPEAKER_00
1400.89,1406.97,SPEAKER_00
1406.97,1407.47,SPEAKER_01
