start,end,text
0.0,5.84, the recording all right uh on the motion this house will implement fairness doctrines on
5.84,10.32, broadcast news media with significant audience reach i would like to welcome the first speaker
10.32,28.76," of the proposition here here okay am i audible yes you are okay i'll take my PR. I believe. Yes, I'm sorry. Yes, I'm sorry."
28.76,33.44," I'm going to start my speech in three, two, one."
33.44,41.0," I know they determine, select, shape, control and restrict content in order to serve interests of dominant elites."
41.0,45.76, We affirm this motion. what is the fairness structure right three cases under this
45.76,51.04, yes one the doctrine requires broadcasters to devote time to discussing controversial issues
51.04,56.5, of public importance i.e the federal communications commission in America requiring all broadcast
56.5,62.02, media to provide coverage for all candidates equally secondly when an individual or a person
62.02,69.04, is opposed on media the station is cut to get this person or a representative for this person to come and speak up for this person
69.04,70.44, and present their views.
70.44,72.76," Thirdly, where does this debate actually take place?"
72.76,77.88," This debate takes place in a liberal democracy, that is to say, US, Japan and France, right?"
77.88,78.88, Why is this particularly true?
78.88,83.44," A, these are the countries that actually have the big broadcast media in this debate today."
83.44,88.0," Secondly, media companies are more free to express their views due to the idea of liberalism"
88.0,91.0, and freedom of speech that these countries actually built upon that.
91.0,96.0," But even if that wasn't the case, it only happens here because A, governments like autocracies"
96.0,100.0, do not allow media houses with alternative views to actually thrive because they oppose them.
100.0,103.0," Secondly, they do not actually have big media stations in this instance."
103.0,108.08," And thirdly, majority of the assets are owned by the state in these countries,"
108.08,113.44," i.e. China, who manipulate news in their favor and do not have private ownership of these kinds"
113.44,118.96," of companies. Now, what is the fairness doctrine? A, fairness doctrine does not apply to giving"
118.96,124.48," space, autocracy, or to actually promote harmful views, which are like the liberal democracies"
124.48,125.28, already infusing
125.28,130.88, their agenda but alternative users do not lead to like the harm of people i.e military expenditure
130.88,136.96, and policy making b it is not about policing hate speech and deformation because there are laws
136.96,141.76, already refused those that actually have a negative concept right now what is broadcast
141.76,147.72, media in this debate today a news media are elements of mass media that focus on delivering news to the general public.
147.96,153.34," In this particular debate, we focus on broadcaster's news through television, radio, or any live"
153.34,158.2," podcast, but not Twitter, Facebook, or newspapers because they are non-broadcast media."
158.46,161.88," But secondly, broadcast media has presence on these different non-broadcast media."
162.16,168.88," Now, basically, broadcast media with significant outreach in this debate today is going to be referred to as big media now what do you mean"
168.88,176.32, by significant outreach right a many people actually the cnn with over 87 houses 87 houses
176.32,181.6, are united i'll take you later secondly crosses many boundaries from one country to another ie
181.6,186.16, aljazeera which has over 270 million views in 140 countries right why are
186.16,191.76, we applying the fairness doctrine to this media five issues a due to the high viewers it actually
191.76,196.48, has the power to create narratives that influence personal decisions b the greater places in the
196.48,200.96, system which gives them the power to suppress other smaller companies or other smaller media
200.96,205.36, houses thirdly the power to influence public opinion and how we actually perceive other
205.36,209.92, groups in our societies firstly the ability to suppress alternative voices when they actually
209.92,214.72, come to speak and finally as a fifth arm of the government it is failing to hold the government
214.72,219.2, accountable on what they actually do and it prevents bad news to like the different people
219.2,227.36," right now how will our model actually work to work work in three major ways, four major ways, right? A, each issue must be given equal air and time"
227.36,229.0, to another controversial issue.
229.0,231.4," I think Biden wants to invade Taiwan, right?"
231.4,233.48, We'll give alternative views or different views
233.48,234.76, that actually meet against this one.
234.76,236.94," Secondly, issues where certain individuals"
236.94,238.76," have actually been accused,"
238.76,241.9, and we will cry them to actually call this person
241.9,243.84, or like get a representative for this person
243.84,249.04, to actually come and express the person's views badly media houses should have different people of different
249.04,253.84, ideologies to come and sit down and express their views and finally they'll be held accountable by
253.84,258.64, the state's agency of communication i.e by taking their license right now p or i take it
261.2,265.46, a third of france are vaccine skeptics with reasons ranging from not believing in the
265.46,267.76, science to thinking it will change their DNA.
267.76,271.56, Could you clarify for us how you want that perspective given airtime with this doctor?
271.56,276.4," In this debate today, we look out for giving good information to everyone, right?"
276.4,280.92," We will encourage you to come and express your views as you are, right?"
280.92,285.2, We want you to come and express your views all of you and that individual comes and
285.2,290.0, decide what best suits them because we believe individuals are better at actually discussing
290.0,294.8, what actually better maximizes their happiness and like their better well-being right now moving on
294.8,298.64, to the case with a why governments need to actually intervene in media induced social
298.64,303.36, polarization secondly the effect of capitalism on big media funding what trade-offs are we willing
303.36,308.64, to make and partly why are media houses governments and societies engaged actually or incentivized actually do so
308.64,314.64, as a consequence way to handle how our world our world would actually look like with an
314.64,319.68, implemented virus doctrine and secondly how our model is actually more effective in dealing with
319.68,324.88, that issue right now i know why governments actually need to intervene in media into social
324.88,325.44, polarization right social polarization
325.44,329.78, right social polarization is when people leave the middle ground and are pushed further into like
329.78,335.9, their business right now the extreme ie like the extreme side of their positions like the liberalist
335.9,340.46, right becoming like radicalist right but now how does this come about this is basically because
340.46,345.26, continuously feeding people of the same information about the same topic with the same
345.26,350.92, narrative right now these people are being told the same thing at the same time every single time
350.92,356.4, now you tell them how abortion is bad over and over again so it makes some things in their heads
356.4,361.14, and makes them like believe how it is bad now how is this particularly harmful because it leads to
361.14,370.56, extreme actions on people with views that actually oppose those views i is since 1977 there have been 42 bombings on abortion clinics and on june 7th recently anti
370.56,375.84, abortion extremism burned down the plant parental clinic in tennessee right this particularly harms
375.84,380.48, people but secondly people lose trust in media like when you present one side of the story it
380.48,390.48, implies that you're influenced by others because we as a public expect other sides of stories right i.e like you you now start to start now start having narratives in our heads
390.48,394.56, you know trying to actually give us the good information right now this pushes us actually
394.56,399.6, lose trust in you i.e in the us 30 percent of the conservatives and more than 45 percent of people
399.6,403.92, actually do not trust their media right now what does this actually lead to right this is harmful
403.92,408.96, because people look for alternative sources of like information like social media which cannot
408.96,414.0, actually be regulated by the government and most of these action media sources actually have fake
414.0,418.0, news conspiracy theories and hate speech which actually leads to people actually hating each
418.0,422.24, other and like killing each other like people turn into extremist youth like the capitalist
422.24,425.12, capital hill actually revolve basically right now panel
425.12,429.04, secondly the effect of capitalism on big media right kind of two things under this media ownership
429.04,433.12, we have to understand the majority of bda is actually owned by like big companies and like
433.12,436.64, these big companies are like capitalistic in nature which want to actually maximize their
436.64,440.8, abilities and like for what their views right they will actually influence these different
440.8,445.12, media companies to put their views of capitalism is good than actually giving
445.12,449.68, a media balance now we need something to actually hold these companies into like check and like make
449.68,455.2, them whatever right we have examples of back home owning like paramount comedy central and mtv bed
455.2,459.28, all those actually owned by these companies but secondly how does media actually get funds this
459.28,463.36, big media right it gets funds from like donations right because you only give them only 20 percent
463.36,468.32, like as a viewer so they'll get funds from like donations and advertisements and basically when they get these
468.32,472.32, funds from like these big organizations they'll be incentivized to like do what these organizations
472.32,476.72, right actually want to do like they have used which is actually very helpful right now our
476.72,481.28, trade-offs are a donations or incomes from charities that were sponsoring specific projects
481.28,489.96, because we have a role as governments and media to take effective balance of information to people secondly chilling free speech right people who went to only express
489.96,494.22, their views like on standards where they aren't opposed right these people will actually run out
494.22,498.46, but we believe that it is justified because us as the media and the government we have a role
498.46,503.84, to give these people information that is both sides right to enable them to actually make good
503.84,505.04, decisions for themselves
505.04,509.04, sadly risk of politicians are busy it doesn't happen because governments have checks and
509.04,513.2, balances right due to like the social contracts and like they want to be voted back into power
513.2,518.24, so they are pushed right to actually work for the people and give them like this good information
518.24,524.16, other than a segue we only have media right media has no checks and balances because it has nothing
524.16,525.1, holding it accountable it has no citizens right balances because it has nothing holding it accountable
525.1,530.1, it has no citizens right so panel we affirm this motion given the fact that we want to give people
530.1,547.4," both sides of the story to maximize their choices i rest my case All right, I thank the speaker for that speech."
547.96,555.32," So I'm just making a note that WSCC rules technically require that the cameras of the speakers be switched on at all times,"
555.36,556.56, not just when the speaker is speaking.
557.22,559.8," So if Tim Uganda could switch on the cameras, that would be great."
560.68,562.56, Just making a note that that's what the rules say.
562.88,565.24," Unless you guys have internet difficulties, then we'll make adjustments."
565.24,567.26," All right, checking my panel is ready."
567.26,570.22, Just give a thumbs up when you are.
570.22,576.24," All right, to open this debate for the opposition, can we have the first speaker of the opposition?"
576.24,577.24," Here, here."
577.24,580.44, Checking that I'm audible?
580.44,584.24," Yup, yes, you are."
584.24,626.44," Perfect. Speaker, in the name of balance, we are extremely worried that what you do is reduce the diversity"
626.44,627.44, of news.
627.44,631.88, That marginalized groups are the first thing that is cut from broadcast media.
631.88,637.12, The effect of this policy entrenches existing power structures and creates a chilling effect
637.12,642.36, on what news is considered of national importance and gets airtime in the first place.
642.36,646.04," Panel, our contention is not that the news media right now is perfect."
646.3,651.04, Our contention is merely that their policy exacerbates the problem and creates new ones.
651.34,654.52, You can't have a fair media without a free media.
655.0,656.24, What's our stance on this debate?
656.76,660.06, We support the status quo where regulations on broadcast news media
660.06,664.66," are centered around regulations that uphold existing laws, such as on defamation,"
664.66,665.32, which can
665.32,670.86," result in the issuing of corrections, preventing anti-competitive practices, or illegal methods of"
670.86,676.22," information gathering. In short, those which are required to prevent overreach, but keeping in mind"
676.22,681.76," the need to guarantee the independence of media. Two arguments at LO. First, this doctrine violates"
681.76,687.04," the right to the freedom of press. Second, this reduces the quality, depth, and variety of content people receive."
687.46,692.84," Lastly, that this doctrine increases the likelihood of dangerous content being given additional airtime."
693.12,695.0," Before that, let's engage with our case."
695.4,696.58," Firstly, on their stance."
696.92,699.64," Speaker, this debate isn't just about WLBs."
699.8,700.86, There's nonsense framing.
701.36,706.34," India, Rwanda, Mexico all still have the private ownership of media. They're not"
706.34,712.0," complete autocracies as they characterize. Rather, we still have existent freedom of press. Sure,"
