start,end,speaker
0.25,0.55,SPEAKER_04
0.82,1.03,SPEAKER_04
2.11,7.44,SPEAKER_04
27.01,28.9,SPEAKER_02
34.12,35.22,SPEAKER_04
36.46,37.04,SPEAKER_05
37.58,41.07,SPEAKER_05
41.32,43.64,SPEAKER_05
49.78,65.62,SPEAKER_05
66.11,97.15,SPEAKER_05
97.2,152.73,SPEAKER_05
153.19,195.38,SPEAKER_05
196.29,203.1,SPEAKER_01
202.45,202.75,SPEAKER_05
203.1,203.31,SPEAKER_05
203.31,203.59,SPEAKER_01
204.0,219.29,SPEAKER_05
219.69,221.01,SPEAKER_05
221.21,310.09,SPEAKER_05
311.41,331.03,SPEAKER_05
331.12,349.36,SPEAKER_05
349.82,361.27,SPEAKER_05
361.41,372.58,SPEAKER_05
372.95,404.44,SPEAKER_05
404.95,414.26,SPEAKER_05
414.72,430.98,SPEAKER_05
432.13,472.26,SPEAKER_05
472.7,483.03,SPEAKER_05
483.36,506.7,SPEAKER_05
507.63,548.03,SPEAKER_05
548.03,549.53,SPEAKER_02
549.53,549.55,SPEAKER_05
549.55,549.57,SPEAKER_02
555.76,556.97,SPEAKER_02
556.97,559.39,SPEAKER_04
560.48,561.04,SPEAKER_04
564.79,566.59,SPEAKER_06
568.03,568.92,SPEAKER_04
569.41,569.9,SPEAKER_06
570.44,689.75,SPEAKER_06
690.1,936.26,SPEAKER_06
733.35,733.37,SPEAKER_00
733.37,733.62,SPEAKER_03
733.72,733.82,SPEAKER_03
733.82,733.84,SPEAKER_00
936.76,943.53,SPEAKER_06
944.19,949.94,SPEAKER_06
950.58,953.03,SPEAKER_06
953.03,954.58,SPEAKER_02
959.49,961.21,SPEAKER_02
961.21,961.25,SPEAKER_06
962.14,971.93,SPEAKER_05
972.49,972.5,SPEAKER_05
972.5,1063.04,SPEAKER_06
1063.04,1064.12,SPEAKER_02
1070.24,1071.96,SPEAKER_02
1071.96,1074.23,SPEAKER_04
1074.33,1074.77,SPEAKER_04
1094.37,1095.03,SPEAKER_03
1101.28,1107.96,SPEAKER_05
1115.59,1128.06,SPEAKER_05
1128.19,1155.6,SPEAKER_05
1156.19,1249.46,SPEAKER_05
1249.84,1254.18,SPEAKER_05
1254.57,1261.93,SPEAKER_05
1262.37,1300.54,SPEAKER_05
1300.92,1353.81,SPEAKER_05
1337.04,1337.17,SPEAKER_00
1354.47,1362.11,SPEAKER_05
1362.37,1453.05,SPEAKER_05
1385.03,1385.79,SPEAKER_00
1453.95,1467.31,SPEAKER_06
1468.05,1502.45,SPEAKER_05
1503.31,1521.94,SPEAKER_05
1522.58,1571.57,SPEAKER_05
1571.75,1610.02,SPEAKER_05
1610.02,1611.05,SPEAKER_02
1616.98,1620.25,SPEAKER_04
1623.37,1625.4,SPEAKER_01
1626.43,1627.12,SPEAKER_04
1628.0,1631.98,SPEAKER_01
1634.85,1634.86,SPEAKER_01
1634.86,1635.91,SPEAKER_02
1642.27,1643.27,SPEAKER_02
1643.27,1643.28,SPEAKER_01
1644.13,1644.6,SPEAKER_02
1645.24,1645.56,SPEAKER_01
1646.2,1722.23,SPEAKER_01
1722.95,1933.8,SPEAKER_01
1934.33,2031.56,SPEAKER_01
2034.28,2034.3,SPEAKER_02
2034.3,2045.26,SPEAKER_05
2045.96,2054.02,SPEAKER_01
2054.43,2148.98,SPEAKER_01
2066.48,2066.53,SPEAKER_03
2148.98,2149.99,SPEAKER_02
2154.85,2155.96,SPEAKER_02
2155.96,2158.44,SPEAKER_04
2157.08,2157.58,SPEAKER_02
2192.82,2194.83,SPEAKER_02
2197.09,2201.37,SPEAKER_02
2221.12,2222.97,SPEAKER_02
2222.97,2223.57,SPEAKER_05
2223.57,2223.58,SPEAKER_02
2226.21,2284.89,SPEAKER_05
2285.75,2335.43,SPEAKER_05
2336.0,2495.13,SPEAKER_05
2495.39,2541.1,SPEAKER_05
2539.8,2540.21,SPEAKER_01
2542.13,2557.59,SPEAKER_01
2558.26,2617.21,SPEAKER_05
2617.31,2620.97,SPEAKER_05
2621.6,2685.67,SPEAKER_05
2686.35,2699.39,SPEAKER_05
2699.83,2744.02,SPEAKER_05
2744.02,2746.47,SPEAKER_02
2751.6,2752.97,SPEAKER_02
2752.97,2755.87,SPEAKER_04
2769.27,2770.11,SPEAKER_00
2772.15,2772.75,SPEAKER_04
2774.91,2776.29,SPEAKER_00
2777.05,2778.11,SPEAKER_00
