start,end,text
0.0,30.0," Fine. It's full. Okay, so I think we're going to start the round now. So without a further ado, kind of the Prime Minister here here. Hi, are we starting?"
30.0,49.28, Yeah. and I'll get to you with that said.
51.4,53.74, A flourishing democratic society is one where its occupants are fully aware
53.74,55.74, and capable of making independent decisions
55.74,57.36, based on trust in the system
57.36,58.98, and the information given to them.
59.34,60.58, Progress is impossible
60.58,62.24, when the media has perverse incentive
62.24,65.36, to amplify lopsided messages proud to propose.
66.0,70.0," Firstly, who will be affected by the doctrine? We think this is a traditional large broadcast"
70.0,75.84, news company who shape the opinion of the world and brand themselves as carrier of truth like
75.84,80.16, CNN or Sky News. But we also want to include social media based company that also have
80.16,85.12, significant audiences. This is like political or ground news once news companies pass a certain
85.12,89.12, threshold of viewership we think this is when the fairness doctrine becomes applicable to them
89.12,93.76, here's how it works no this is not about what topic is covered so do not come up with a
93.76,98.96, censorship argument but it is about having both sides of one issue it will look like these news
98.96,103.2, company covering controversial issues of public importance like the recent u.s supreme court
103.2,108.06, decision abortion or in malaysia where the government was exposed to have spent 6 billion ringgits
108.06,113.0, on a navy ship that never existed. And then we do so with equal and adequate coverage
113.0,117.72," of diverse viewpoints, as in having diverse programming, different teams and speakers"
117.72,122.1," on different topics to ensure an equitable discussion. For example, channels will have"
122.1,125.0, to invite equally reputable experts and panelists from both sides to discuss.
125.0,133.0, There will be an independent governmental agency to monitor and ensure that this is a good faith effort to get both sides of this issue.
133.0,136.0, It is reasonably easy to detect operations based on bad faith.
136.0,142.0," For example, if a network continually relegates opposition viewpoints to lower viewership time slots,"
142.0,145.16, fails to invite credible speakers or unfairly
145.16,150.7," distort the environment to benefit one side, we are happily to penalize corporations and"
150.7,153.28, channels that do not adhere to the doctrine.
153.28,154.72, Our stance is very simple.
154.72,159.08," We believe that the truth comes out best when both sides are presented, interacted and battled,"
159.08,161.7, and let viewers analyze and make decisions for themselves.
161.7,164.94," This debate is about better democracy, journalism and conversation."
164.94,165.04," First argument then on how the Venice doctrine remedies political polarization. and the position for themselves. This debate is about better democracy, journalism, and conversation."
165.04,170.08, First argument then on how the Venice doctrine remedies political polarization. The problem in
170.08,175.2, the status quo is that people are trapped in an echo chamber that exposes them to the same message
175.2,180.24," over and over again, leading them to reaffirm existing biases without questioning them. For"
180.24,184.72," example, things like the radical right-wing individual storming Capitol Hill happen because"
184.72,188.88, they are constantly bombarded by Fox News narratives that liberals are toxic forces
188.88,193.68, that will ruin America. Why then is this happening? Before I move on to analysis of how this is
193.68,199.28," happening, I would like to take a QI. Yeah, the Capitol Hill riots was organized and all discussed"
199.28,205.36, on underground news streams like Parler. How exactly is your analysis the reason why they are driven into
205.36,211.84, these underground news is because fox news give legitimization to these kinds of fake and fake
211.84,216.08, understanding so they look further into it to reinforce their bias and look for underground
216.08,221.28, news your side of the house is bringing them to underground news why then is this happening this
221.28,228.24," is happening because people select their favorite news channel based on proximity and familiarity, like what your parents watch is what you grow up watching."
228.24,234.08, So it is just factually correct that the majority of people do not watch both CNN and Fox News.
234.08,238.56," But moreover, news is partisan and extremely divisive because currently the media is"
238.56,243.44, oversimplified and exaggerated on both sides of the bench. This refers to conservative media with
243.44,250.0," scapegoating of minorities such as the China virus narrative in 2020 that led to rampant attacks against Asians in America,"
250.0,254.32, or in liberal media that ridicules and mocks the other side without an incentive to genuinely
254.32,259.36, engage. Why then is it going to worsen opposition without an end? Because there's a race to the
259.36,264.08, bottom incentive caused by toxic competition amongst news agencies in a dying market. This
264.08,270.0, happens because the rise of social media platforms means falling readership for traditional podcasts and news media.
270.0,276.0," And also, there's a profit incentive to capture as much of the limited viewership as possible and compete with each other."
276.0,281.0, News channels then are now so desperate that they will be willing to lean into whatever appeals to more people
281.0,285.4," and radicalize, playing into biases rather than accurate information."
285.4,289.3," So media companies, furthermore,"
289.3,291.52, media companies are often owned by individuals
291.52,294.2, or organizations with vested political interests.
294.2,296.38," For example, Rupert Murdoch's New Corp,"
296.38,299.0, which has so much influence on the media landscape
299.0,301.4, and tried to push climate change narratives out of it
301.4,303.64, due to their vested interest in all companies
303.64,309.12, that two ex prime minister of Australia labeled them as a cancer on democracy how will then the fairness doctrine
309.12,314.8, solve this problem the premise of this is that the viewers are less likely to be pushed and pulled
314.8,319.68, towards one radical end of the spectrum this debate is not about reducing concern or whatever
319.68,326.16, but this debate is about lessening like radicalism on both end the average reasonable viewer will not will
326.16,331.44, adopt a balanced point of view and make rational decision how then does this change occur think
331.44,336.8, firstly it will be of exposure because currently viewers have very little incentive to compare
336.8,340.96, different point of views and hence turn to channels that are comfortable and familiar and
340.96,350.36, feed into their biases so models are exposed to an environment that slowly nurtures radical perspective. The extremists on the left and right of either
350.36,355.58," side of the debate are unlikely to change. However, the fairness doctrine does provide"
355.58,360.08, them an opportunity to be exposed to content and opinion that they would never voluntarily
360.08,365.18, look up before. Then this will lead to a shift in consumer perception because viewers are now
