start,end,speaker
0.03,0.47,SPEAKER_03
2.39,3.46,SPEAKER_03
4.08,7.73,SPEAKER_03
9.06,12.97,SPEAKER_03
12.97,14.29,SPEAKER_04
20.89,22.96,SPEAKER_04
22.96,25.58,SPEAKER_09
25.71,54.39,SPEAKER_09
54.69,78.72,SPEAKER_09
79.11,135.06,SPEAKER_09
79.51,79.63,SPEAKER_00
112.11,112.35,SPEAKER_06
112.35,112.37,SPEAKER_00
116.06,116.15,SPEAKER_06
136.3,140.28,SPEAKER_01
141.39,141.92,SPEAKER_09
143.18,146.66,SPEAKER_01
148.31,160.83,SPEAKER_09
161.17,221.65,SPEAKER_09
221.87,263.69,SPEAKER_09
264.14,302.65,SPEAKER_09
293.3,293.32,SPEAKER_05
293.32,294.38,SPEAKER_06
303.34,514.03,SPEAKER_09
336.01,336.81,SPEAKER_06
415.44,415.53,SPEAKER_05
514.03,515.39,SPEAKER_04
521.99,527.04,SPEAKER_04
527.04,527.63,SPEAKER_03
530.97,531.88,SPEAKER_03
532.12,537.97,SPEAKER_03
537.97,538.55,SPEAKER_04
538.55,538.58,SPEAKER_03
538.71,539.15,SPEAKER_04
578.91,579.59,SPEAKER_04
581.98,582.61,SPEAKER_04
597.61,598.98,SPEAKER_04
598.98,602.59,SPEAKER_07
602.69,605.69,SPEAKER_07
605.89,634.4,SPEAKER_07
634.53,858.61,SPEAKER_07
747.88,748.08,SPEAKER_00
748.08,748.13,SPEAKER_05
748.13,748.29,SPEAKER_00
858.95,903.6,SPEAKER_07
903.81,938.4,SPEAKER_07
942.26,1017.59,SPEAKER_07
1020.43,1072.69,SPEAKER_07
1073.5,1085.03,SPEAKER_07
1085.03,1086.88,SPEAKER_04
1094.36,1096.69,SPEAKER_04
1096.69,1096.7,SPEAKER_03
1097.07,1098.04,SPEAKER_04
1098.04,1098.1,SPEAKER_03
1099.61,1100.16,SPEAKER_03
1100.94,1101.66,SPEAKER_03
1102.14,1107.35,SPEAKER_03
1107.49,1107.82,SPEAKER_05
1109.26,1109.28,SPEAKER_03
1109.28,1109.31,SPEAKER_10
1109.31,1109.97,SPEAKER_03
1109.97,1110.44,SPEAKER_10
1111.92,1113.12,SPEAKER_10
1113.54,1114.15,SPEAKER_10
1114.66,1115.1,SPEAKER_10
1115.99,1157.49,SPEAKER_10
1157.89,1177.01,SPEAKER_10
1177.79,1196.76,SPEAKER_10
1196.92,1295.66,SPEAKER_10
1296.64,1311.86,SPEAKER_10
1312.15,1332.11,SPEAKER_10
1332.62,1341.76,SPEAKER_10
1342.34,1416.89,SPEAKER_10
1373.15,1373.71,SPEAKER_02
1416.99,1448.26,SPEAKER_10
1448.65,1540.79,SPEAKER_10
1541.56,1583.23,SPEAKER_10
1583.29,1603.04,SPEAKER_10
1603.04,1605.0,SPEAKER_04
1618.9,1622.04,SPEAKER_04
1622.04,1622.78,SPEAKER_03
1625.46,1626.36,SPEAKER_03
1626.61,1630.97,SPEAKER_03
1630.97,1632.16,SPEAKER_04
1667.43,1668.85,SPEAKER_04
1670.42,1671.03,SPEAKER_04
1671.92,1675.38,SPEAKER_04
1680.14,1681.69,SPEAKER_04
1681.93,1681.98,SPEAKER_04
1681.98,1952.05,SPEAKER_08
