start,end,speaker
0.03,0.62,SPEAKER_07
2.49,26.07,SPEAKER_07
26.44,28.95,SPEAKER_07
29.43,30.91,SPEAKER_07
31.06,37.83,SPEAKER_07
38.42,55.94,SPEAKER_07
56.36,59.77,SPEAKER_07
60.0,61.27,SPEAKER_07
61.79,67.82,SPEAKER_07
69.45,70.97,SPEAKER_07
70.97,73.98,SPEAKER_10
82.48,83.97,SPEAKER_10
86.03,86.04,SPEAKER_10
86.04,90.04,SPEAKER_07
91.11,91.68,SPEAKER_07
91.68,93.38,SPEAKER_02
94.02,97.89,SPEAKER_02
101.37,103.71,SPEAKER_10
106.23,106.8,SPEAKER_07
107.07,124.97,SPEAKER_07
124.97,126.0,SPEAKER_10
137.34,137.85,SPEAKER_10
140.46,140.7,SPEAKER_10
141.26,141.76,SPEAKER_10
141.76,141.78,SPEAKER_09
142.29,142.96,SPEAKER_10
142.96,143.76,SPEAKER_01
144.33,144.35,SPEAKER_09
144.35,145.12,SPEAKER_01
145.83,148.95,SPEAKER_01
149.09,149.39,SPEAKER_01
150.07,159.89,SPEAKER_01
160.44,164.06,SPEAKER_01
164.33,165.0,SPEAKER_01
165.52,177.15,SPEAKER_01
177.4,185.3,SPEAKER_01
185.66,213.99,SPEAKER_01
215.0,225.67,SPEAKER_01
225.85,242.93,SPEAKER_01
243.28,243.54,SPEAKER_01
243.86,244.57,SPEAKER_04
244.72,246.14,SPEAKER_01
246.49,247.0,SPEAKER_01
247.33,248.52,SPEAKER_01
249.97,255.16,SPEAKER_05
257.19,259.06,SPEAKER_01
259.79,263.53,SPEAKER_01
264.48,268.23,SPEAKER_01
268.44,274.79,SPEAKER_01
275.19,294.01,SPEAKER_01
294.18,302.08,SPEAKER_01
303.0,333.97,SPEAKER_01
334.24,349.83,SPEAKER_01
349.87,357.33,SPEAKER_01
358.22,360.67,SPEAKER_01
361.54,362.89,SPEAKER_01
363.27,380.44,SPEAKER_01
381.19,390.43,SPEAKER_01
391.33,402.7,SPEAKER_01
403.29,405.89,SPEAKER_01
405.77,406.47,SPEAKER_10
406.89,433.28,SPEAKER_01
433.6,438.56,SPEAKER_01
439.52,444.05,SPEAKER_01
443.51,444.33,SPEAKER_10
444.47,462.66,SPEAKER_01
463.44,485.71,SPEAKER_01
485.31,486.06,SPEAKER_05
485.95,512.81,SPEAKER_01
513.01,516.12,SPEAKER_01
515.88,517.13,SPEAKER_10
516.63,529.57,SPEAKER_01
531.56,539.69,SPEAKER_05
541.28,555.62,SPEAKER_01
556.13,556.64,SPEAKER_01
557.6,559.69,SPEAKER_01
560.1,575.01,SPEAKER_01
