start,end,text
0.0,9.2," All right. Okay, so the recording is ongoing. Hello, everyone. Welcome to this sixth round"
9.2,16.16, of WSTC. Congrats for making it this far. My name is Sabina. I will be the chair of this round. I'm
16.16,28.52," from Romania. I prefer she, her pronouns, but please do address us as a panel together with me judging I have Rock, Shruti and Sena and I wish you all good"
28.52,36.5, luck I will try to be I see that we do have a volunteer Chen who will help us with the
36.5,46.48," time so we will have time signals in the chat for your preferred POIs, please let us know before the speech and during your"
46.48,53.58," introductions. I see that Team Latvia has already announced their speaking order in the chat, so if"
53.58,59.72," Team Mongolia could do the same, it would be wonderful. So we have Team Mongolia on prop,"
60.08,67.8," Team Latvia on op, and if my panelists would like to to say hi I warmly invite them to do so now"
69.3,73.98, hello my name is Rock Sabina already set good luck
82.32,85.88, good luck for the round.
91.64,93.12," Shruti, we only heard the last part, so if you could say... Oh, I'm so sorry. Is this better?"
93.98,97.76," Hi, everyone. I'm Shruti. My pronouns are she or her. Good luck for the round."
101.06,105.0," Hi, I'm Sinha. Good luck for the round."
105.0,115.0," Wonderful. So this is the moment to ask questions, clarifications, or to start the debate if there are none."
115.0,121.0," So the silence, I think, means that there are no clarifications needed."
121.0,125.84, So I invite the first speaker of team proposition to take the floor here here
140.24,149.28," all right um i'd like my pois verbally audibly, and I will start my speech in three, two, one."
150.1,154.56, Pessimistic political action is the main enemy to the progression of a society.
155.3,159.9," Panel, I'm the first speaker of side proposition in two points of setup before I move on to my constructive."
160.34,171.24," Firstly, on our characterization of political fiction. A, on positive and optimistic political fiction, we define this as works that communicate hopeful messages to readers"
171.24,176.68," and refrain from overly antagonizing one political ideology, but instead remains open to criticism."
177.6,180.92, And they would often have happy endings.
181.02,191.92," For example, this would look like Fahrenheit 451 or video games like Disco Elysium. B on negative and pessimistic political fictions we define this as fiction that incites"
191.92,198.08, fear and generally antagonizes one ideology and usually almost almost always have bad endings
198.08,204.32, this looks like 1984 or Animal Farm and Brave New World etc. Secondly on characterization of who
204.32,205.72, reads these works and why
205.72,211.92, this is important and to what extent are they influenced by them. So the most important
211.92,216.98, stakeholder in this debate would be the youth. Typically the youth are exposed to political
216.98,221.84, fiction as a part of their education curriculum and we believe many young adults are prone to
221.84,225.0," consuming political fiction prior to engaging in real life politics,"
225.0,234.0," which politics, whichever kind of political fiction is consumed more becomes prevalent in people's minds and prejudices surrounding political"
234.0,245.92, ideologies in the way they're portrayed are likely to become internalized by by the time these children or young adults start forming their own political opinions and participating in these kind of
247.28,254.16, things okay i'll take that isn't surveillance and overt authoritarianism just simply bad and we
254.16,265.0, should demonize the motion clearly states that we're um decreasing we prefer positive political fiction
265.88,269.42," over the negative ones that like you mentioned,"
269.42,273.24," like with a theme surrounding authoritarianism, et cetera,"
273.24,275.26, we're not exactly demonizing them.
275.26,278.56," So moving on, thirdly, the critical question in this debate"
278.56,281.18, is whether positive and optimistic political fiction
281.18,284.2, motivates people and incentivizes them to act.
284.2,288.0," And the moment we answer this question is the moment we win. We bring you two arguments in this case, we have a question about the political fiction. How does this pessimistic political fiction motivates people and incentivizes them to act?"
288.0,291.0, And the moment we answer this question is the moment we win.
291.0,298.0," We bring you 2 arguments in this debate today, firstly on positive political fiction, normalizing all political ideologies."
298.0,306.56," Secondly, on in on how in how it invigorates in individuals role in society. fiction normalizes all ideologies. So basically, people have become prone to defining themselves"
306.56,308.94," through the political ideology that they believe in,"
308.94,311.68, and people become characterized by their preferred ideology
311.68,313.74, instead of their individual qualities.
313.74,315.54," For example, if you're a conservative,"
315.54,317.74, you're seen as a gun-loving maniac.
317.74,320.38," If you are a liberal, you're seen as a baby murderer."
