start,end,speaker
3.34,6.53,SPEAKER_03
7.03,8.65,SPEAKER_03
9.75,11.57,SPEAKER_03
13.16,19.5,SPEAKER_01
19.37,22.14,SPEAKER_03
22.37,24.65,SPEAKER_03
24.74,25.41,SPEAKER_03
25.8,38.93,SPEAKER_03
39.11,41.68,SPEAKER_03
42.02,68.68,SPEAKER_03
69.15,81.28,SPEAKER_03
81.5,107.93,SPEAKER_03
108.42,152.94,SPEAKER_03
153.09,187.14,SPEAKER_03
187.8,201.57,SPEAKER_03
201.82,217.57,SPEAKER_03
218.21,234.21,SPEAKER_03
234.58,247.92,SPEAKER_03
248.11,269.47,SPEAKER_03
269.91,298.79,SPEAKER_03
299.22,307.09,SPEAKER_03
307.14,309.23,SPEAKER_03
309.7,330.97,SPEAKER_03
331.56,361.81,SPEAKER_03
362.37,387.08,SPEAKER_03
387.8,392.9,SPEAKER_03
393.25,407.95,SPEAKER_03
408.56,418.48,SPEAKER_03
419.17,420.57,SPEAKER_03
425.7,434.24,SPEAKER_07
435.34,435.36,SPEAKER_07
435.36,480.72,SPEAKER_03
481.26,519.44,SPEAKER_03
519.44,520.51,SPEAKER_02
551.44,554.75,SPEAKER_02
562.49,563.5,SPEAKER_02
564.85,564.87,SPEAKER_02
564.87,567.59,SPEAKER_01
570.49,570.9,SPEAKER_01
571.25,572.06,SPEAKER_01
572.99,581.26,SPEAKER_01
582.07,584.19,SPEAKER_01
584.36,585.21,SPEAKER_01
585.71,589.73,SPEAKER_05
590.1,592.71,SPEAKER_05
593.63,593.64,SPEAKER_05
593.64,800.55,SPEAKER_04
799.89,800.48,SPEAKER_02
800.72,826.25,SPEAKER_04
827.14,838.43,SPEAKER_00
838.75,922.6,SPEAKER_04
922.11,922.67,SPEAKER_02
923.01,1087.03,SPEAKER_04
1087.03,1088.25,SPEAKER_02
1168.83,1170.08,SPEAKER_02
1171.75,1172.81,SPEAKER_02
1172.81,1179.91,SPEAKER_01
1180.47,1180.74,SPEAKER_01
1181.94,1187.05,SPEAKER_01
1189.72,1191.1,SPEAKER_01
1191.41,1191.98,SPEAKER_01
1194.53,1199.22,SPEAKER_02
1233.86,1234.79,SPEAKER_02
1235.2,1236.33,SPEAKER_02
1236.33,1240.6,SPEAKER_07
1241.07,1243.74,SPEAKER_07
1244.58,1247.57,SPEAKER_01
1244.68,1245.19,SPEAKER_02
1249.66,1249.96,SPEAKER_02
1251.89,1252.65,SPEAKER_02
1252.93,1253.32,SPEAKER_02
1257.83,1258.99,SPEAKER_02
1259.65,1259.97,SPEAKER_02
1259.97,1260.22,SPEAKER_06
1260.22,1260.24,SPEAKER_02
1260.71,1260.73,SPEAKER_02
1260.73,1261.12,SPEAKER_06
1261.69,1301.63,SPEAKER_06
1302.0,1346.05,SPEAKER_06
1346.32,1389.64,SPEAKER_06
1389.77,1450.99,SPEAKER_06
1451.79,1523.84,SPEAKER_06
1524.01,1595.04,SPEAKER_06
1595.04,1595.11,SPEAKER_04
1595.11,1595.17,SPEAKER_06
1595.82,1608.17,SPEAKER_04
