start,end,text
0.0,11.44," I would like my POIs to be strictly in the chat. Just give me a few seconds. Also, I am audible and visible, right?"
13.06,30.32, Yeah. So if you have any kind of gender pronoun preferences and you want two one in the late 40s 1984 was released
30.32,35.36, 30 years down the line people were desensitized to a point that there wasn't sufficient hope to
35.36,40.64, say that a better government than the thatcher government could exist a bit of characterization
40.64,50.58, the knowledge of my arguments first political fiction describes a vision of the world and how it is governed. It gives a what is the direct message here is that it gives what the
50.58,55.26, nature of law is and the nature in which these laws are going to be reinforced. There's also
55.26,61.1," usually some subtext as to what's going on right now in the world. When the 1984 was released,"
61.26,65.88, it was released in anticipation of the tyrannical direction Western democracies
65.88,71.02," were leading to. What does optimism look like? It looks like protagonists being the winner,"
71.38,76.48, moral victory being with the protagonist and justice prevailing. We think that pop culture
76.48,81.9, has a major influence in terms of outcome and understanding our place in the world. To win
81.9,85.84," this debate, we need to show that positive politic political fiction"
85.84,92.16, is better in terms of the consumption the positive political fiction doesn't mean that your movie is
92.16,98.32, entirely cherry on the top but it means that your usual arc of world building resolution
98.32,103.68, is still existing but you still see like stuff like uh sexual violence and stuff like that it
103.68,105.36, just means that the conclusion of the
105.36,112.24, movie is positive or it's hopeful realize that there is like enough anger and pessimism in this
112.24,118.0, status quo to drive you to a social movement it's the lived reality of the people stories of friends
118.0,123.52, and all of this means that movies do not really make a significant impact in terms of anger and
124.08,126.24, pessimism two Two arguments then.
126.24,131.04, Firstly on why the influence of positive political fiction is better in terms of outcomes for
131.04,136.64, consumers and secondly on why the narrative set for entire community of the people is likely to
136.64,142.56, be better on our side of the house. A. First argument. Generally you make a movie in the
142.56,145.52, anticipation of result. the message on either
145.52,151.36, side is to drive people towards success this is only created when there is positive message
151.36,157.68, revolving around the movie it influences the transitional transitional justice but b we create
157.68,162.8, an environment of optimism and we think that's really better the premise here is that optimism
162.8,167.4, is something that's good in terms of people who are fighting for change in the status quo.
167.4,173.28, The mechanism here is that you always see yourself as the protagonist when you're the consumer of their media.
173.76,177.66, Protagonists are the real people which you reflect yourself to.
177.9,185.92," That's how movie and stories are written, because you want to show some form of relatability between the consumers and the protagonists and the"
185.92,192.24," characters of the movie. When the protagonist of that movie or political fiction achieves success,"
192.24,197.84, you feel as though it's a victory for yourself when you consume the media. It motivates you in
197.84,206.32, terms of saying that there is a better outcome and a real hope. This hope is accessible in terms of relative characters being able to get
206.32,212.08, this success being able to get this win the comparison here is that they lose the sense of
212.08,217.36, hope and trust in the justice system in their side of the house why is this important then
218.08,226.08, a the current in the current political climate when you are an activist you're likely to face activism burnout this means that
226.08,232.08, people who are stopping to get leisure time on social movement because you're burnt out people
232.08,238.72, are generally less involved in social movement because of the pessimistic narrative that exists
238.72,246.86, around social movement and how the success from social movement cannot be derived. This pessimistic narrative exists too much
246.86,248.26, in the status quo.
248.26,250.56, That's why you're likely as an activist
250.56,252.6, to face that activism burnout.
252.6,255.56," But secondly, the media's portrays,"
255.56,259.38, since it sensationalizes people who lose hope.
259.38,261.2, This looks like media portraying the death
261.2,266.16, of an environmentalist in a social movement.
266.16,273.52, This also looks like media portraying the loss of the... media portraying the failure of a movement
273.52,278.0, or media portraying the problems within the movement in the status quo.
278.0,282.48," But then see, the current narrative in the society is that everything is nihilistic"
282.48,285.28, because there's also a large movement in younger
285.28,290.88, generation that they glamorize things like nihilism and complain but don't go out and actively
290.88,296.16, involved in movements because they don't have hope they feel like they can't make a change and these
