start,end,speaker
3.22,10.81,SPEAKER_03
11.93,13.77,SPEAKER_00
14.17,15.54,SPEAKER_00
17.31,18.32,SPEAKER_00
18.63,18.64,SPEAKER_00
18.64,18.66,SPEAKER_02
18.66,20.26,SPEAKER_00
18.68,19.05,SPEAKER_02
21.77,22.29,SPEAKER_00
22.42,23.23,SPEAKER_02
23.86,25.97,SPEAKER_00
25.97,148.67,SPEAKER_01
120.27,120.86,SPEAKER_05
149.21,255.11,SPEAKER_01
153.19,153.42,SPEAKER_05
209.57,210.02,SPEAKER_11
255.54,369.75,SPEAKER_01
346.09,346.59,SPEAKER_05
370.45,382.03,SPEAKER_04
382.03,382.82,SPEAKER_01
382.82,382.86,SPEAKER_04
383.21,526.51,SPEAKER_01
530.29,530.68,SPEAKER_02
550.26,552.99,SPEAKER_02
553.43,553.5,SPEAKER_02
553.5,553.75,SPEAKER_03
553.75,553.83,SPEAKER_02
554.43,554.44,SPEAKER_02
554.44,556.13,SPEAKER_03
555.57,556.06,SPEAKER_02
556.74,556.8,SPEAKER_03
557.41,558.44,SPEAKER_03
560.55,561.29,SPEAKER_03
561.6,566.09,SPEAKER_03
567.01,568.5,SPEAKER_02
571.89,573.56,SPEAKER_02
590.52,593.41,SPEAKER_02
595.03,599.94,SPEAKER_06
600.17,699.58,SPEAKER_06
699.9,755.69,SPEAKER_06
756.64,794.94,SPEAKER_06
795.7,873.24,SPEAKER_06
873.67,878.34,SPEAKER_06
878.56,881.41,SPEAKER_06
881.45,989.92,SPEAKER_06
966.73,967.49,SPEAKER_07
991.29,1005.97,SPEAKER_10
1003.54,1004.14,SPEAKER_06
1005.14,1024.17,SPEAKER_06
1024.38,1088.81,SPEAKER_06
1088.81,1088.86,SPEAKER_02
1091.86,1092.37,SPEAKER_02
1128.06,1128.46,SPEAKER_02
1129.31,1132.56,SPEAKER_02
1137.54,1138.01,SPEAKER_02
1139.18,1141.41,SPEAKER_02
1141.86,1143.38,SPEAKER_02
1146.6,1149.0,SPEAKER_05
1150.1,1151.82,SPEAKER_02
1151.94,1152.61,SPEAKER_05
1152.61,1153.66,SPEAKER_02
1152.66,1152.69,SPEAKER_05
1159.07,1160.73,SPEAKER_02
1160.73,1164.41,SPEAKER_03
1164.64,1166.46,SPEAKER_03
1166.7,1167.06,SPEAKER_03
1167.06,1167.12,SPEAKER_02
1168.0,1168.02,SPEAKER_03
1168.02,1169.01,SPEAKER_02
1175.71,1175.98,SPEAKER_02
1176.88,1180.54,SPEAKER_02
1206.31,1208.03,SPEAKER_02
1209.11,1209.34,SPEAKER_02
1210.1,1212.45,SPEAKER_02
1215.84,1217.87,SPEAKER_02
1221.06,1221.39,SPEAKER_02
1221.51,1221.95,SPEAKER_02
1222.32,1223.76,SPEAKER_02
1227.84,1228.08,SPEAKER_02
1228.68,1236.73,SPEAKER_03
1237.96,1237.98,SPEAKER_03
1237.98,1239.23,SPEAKER_06
1239.23,1241.61,SPEAKER_03
1242.15,1247.3,SPEAKER_03
1248.38,1248.73,SPEAKER_02
1251.89,1252.8,SPEAKER_02
1252.8,1252.81,SPEAKER_09
1253.08,1253.86,SPEAKER_09
1254.52,1254.84,SPEAKER_09
1255.02,1255.18,SPEAKER_09
1255.92,1269.96,SPEAKER_09
1270.25,1480.1,SPEAKER_09
1480.31,1566.87,SPEAKER_09
1569.09,1579.9,SPEAKER_06
1580.81,1587.33,SPEAKER_09
1587.38,1611.17,SPEAKER_09
1611.36,1729.79,SPEAKER_09
1730.82,1734.22,SPEAKER_09
1734.22,1734.27,SPEAKER_02
1734.27,1734.97,SPEAKER_09
1734.97,1736.76,SPEAKER_02
1740.87,1741.33,SPEAKER_02
1766.17,1766.98,SPEAKER_02
1766.98,1771.6,SPEAKER_03
1772.14,1772.83,SPEAKER_03
1773.88,1777.04,SPEAKER_03
1777.04,1780.01,SPEAKER_02
1796.05,1796.97,SPEAKER_02
1798.13,1798.4,SPEAKER_02
1798.97,1799.38,SPEAKER_02
1800.15,1800.61,SPEAKER_02
1801.34,1802.77,SPEAKER_02
1803.83,1804.04,SPEAKER_02
1804.04,1805.12,SPEAKER_11
1805.12,1805.27,SPEAKER_02
1806.62,1808.25,SPEAKER_02
1811.04,1811.97,SPEAKER_02
1811.97,1812.81,SPEAKER_08
1812.81,1812.88,SPEAKER_02
1812.88,1813.38,SPEAKER_08
1813.72,1814.52,SPEAKER_08
1814.87,1838.85,SPEAKER_08
1839.1,1856.42,SPEAKER_08
1856.82,1860.13,SPEAKER_08
1860.42,1879.03,SPEAKER_08
1879.4,1889.95,SPEAKER_08
1879.6,1879.7,SPEAKER_00
1890.39,1973.43,SPEAKER_08
1973.92,1982.62,SPEAKER_08
1982.73,2022.62,SPEAKER_08
2023.23,2074.12,SPEAKER_08
2074.46,2077.02,SPEAKER_08
2077.65,2219.4,SPEAKER_08
2123.19,2123.45,SPEAKER_00
2128.49,2128.95,SPEAKER_06
