start,end,text
0.0,10.66," And assuming all judges and speakers are ready, without further ado, I call upon the first speaker of side's position to deliver their speech."
11.56,13.54, Cool. I prefer POIs verbally.
14.22,15.4, Can you time this?
17.24,18.18, Can you time this?
18.6,20.06," Wait, I think you're unmuted."
21.74,22.1," Okay, cool."
22.44,23.0," Not bad, sorry."
23.8,24.28, No worries.
24.64,29.34," Okay, I'm going to start in three two one in a world that's"
29.34,34.32, overwhelmingly negative and hopeless on critical issues positive political fiction can be a beacon
34.32,39.2, of hope never been proud to propose a few points are set up first this is a narrative motion i
39.2,43.04, even think that political fiction is extremely powerful it influences thought ideology and is
43.04,48.22," extremely important but why is political fiction narrative setting? Why do people actually buy it? Number one,"
48.22,52.6," because it's fiction. They tend to make it exceptionally realistic, meaning to say characters"
52.6,56.96, are often based on real life rules and issues are often based on real life issues that people
56.96,61.58," can relate to. But secondly, art is a huge narrative setting. People often internalize"
61.58,68.96," things that they watch on TV shows, especially because they don't have any other avenues to refer to for like that's inside source of politics. They tend to"
68.96,73.28, make this their notion of government. This is unique as compared to the news or other forms
73.28,77.84," of media where political news is direct and maybe not as entertaining and influential. But thirdly,"
77.84,81.36, we say that political politics here refers to like democratic issues. We're not talking about things
81.36,87.28," that are entirely fictional, but with regards to the spirit of the motion, this takes place in like things like liberal democracies. But fourthly,"
87.46,92.08," positive fiction refers to fiction when change is possible, where people can get better outcomes."
92.48,96.48, This usually looks like a bad beginning when people are in like a mess and certain protagonists
96.48,100.98," make huge changes. This is either internal, like people within the office are brave and great and"
100.98,104.7," they make structural change and they change like corrupt structures, or this is external, where"
104.7,107.76, there's like revolutions. a new government is voted in people
107.76,111.76, taken in their own hands who change the way the government works either way it sets the narrative
111.76,115.68, that you are positive and optimistic and no but panel there'll still be some like some level of
115.68,119.52, negative fiction on our side as well first argument then on how we get better political
119.52,124.56, spheres is that when your image on the inside of the government is based on the art that you consume
124.56,125.62," the following manifests if positivity positivity is on the art that you consume, the following manifests."
126.06,132.18," If positivity is displayed, you believe that people within the governments are good people that are willing to make change."
132.46,134.98, It gives people the potential possibility of change and happiness.
135.22,138.78," But it's important to note that in the status quo, the political views are kind of sad."
139.06,145.58," The kinds of negative narratives that opposition will talk about already exist. Because people see huge issues, right? They see cultural divides in India."
145.58,148.1, They see structural issues in places like the US
148.1,150.58," in terms of like prisons and things like that, right?"
150.58,151.74, And they see no reform.
151.74,154.38, And there's far more voter out there
154.38,155.82, because of things like the bystander effect
