start,end,speaker
1.9,3.24,SPEAKER_01
2.16,3.12,SPEAKER_05
4.08,4.1,SPEAKER_08
4.1,4.52,SPEAKER_01
4.52,4.54,SPEAKER_08
5.87,8.03,SPEAKER_01
8.03,8.3,SPEAKER_08
10.0,11.52,SPEAKER_08
17.72,19.4,SPEAKER_08
20.13,21.23,SPEAKER_08
22.66,25.97,SPEAKER_06
29.78,30.07,SPEAKER_06
30.25,30.29,SPEAKER_03
30.29,34.46,SPEAKER_06
34.46,35.33,SPEAKER_07
35.33,35.97,SPEAKER_06
35.38,35.59,SPEAKER_07
35.97,38.37,SPEAKER_07
36.89,37.02,SPEAKER_06
43.45,43.87,SPEAKER_07
43.87,44.01,SPEAKER_05
44.41,44.43,SPEAKER_07
44.43,150.93,SPEAKER_05
133.04,133.17,SPEAKER_09
133.17,133.31,SPEAKER_00
151.55,191.02,SPEAKER_05
191.41,194.35,SPEAKER_05
196.91,269.47,SPEAKER_05
269.93,274.35,SPEAKER_05
275.87,281.81,SPEAKER_05
283.46,285.49,SPEAKER_05
285.67,288.04,SPEAKER_05
288.27,288.78,SPEAKER_05
289.66,292.37,SPEAKER_05
293.18,300.39,SPEAKER_05
300.93,313.4,SPEAKER_05
314.09,314.82,SPEAKER_05
316.49,439.19,SPEAKER_05
440.03,511.63,SPEAKER_05
511.87,512.22,SPEAKER_05
512.83,513.1,SPEAKER_05
513.72,514.09,SPEAKER_05
516.0,518.53,SPEAKER_05
519.26,519.53,SPEAKER_05
520.64,529.55,SPEAKER_05
530.43,543.32,SPEAKER_05
546.73,546.75,SPEAKER_07
546.75,547.03,SPEAKER_08
547.03,550.44,SPEAKER_07
574.27,576.08,SPEAKER_00
576.51,576.9,SPEAKER_00
577.85,578.27,SPEAKER_00
582.18,586.27,SPEAKER_00
586.61,587.67,SPEAKER_00
588.16,589.31,SPEAKER_00
589.59,594.59,SPEAKER_00
594.94,615.92,SPEAKER_00
616.86,619.39,SPEAKER_00
619.8,622.99,SPEAKER_00
623.34,637.74,SPEAKER_00
638.11,640.17,SPEAKER_00
640.47,651.42,SPEAKER_00
652.44,653.21,SPEAKER_00
653.26,659.79,SPEAKER_00
661.5,665.01,SPEAKER_00
666.29,668.08,SPEAKER_00
668.1,676.08,SPEAKER_00
676.31,679.67,SPEAKER_00
680.16,682.0,SPEAKER_00
682.98,683.5,SPEAKER_00
684.43,691.82,SPEAKER_00
692.24,700.61,SPEAKER_00
701.78,708.6,SPEAKER_00
709.12,712.93,SPEAKER_00
714.27,735.29,SPEAKER_00
736.51,739.34,SPEAKER_00
739.65,742.5,SPEAKER_00
743.05,754.21,SPEAKER_00
755.25,757.18,SPEAKER_00
757.47,759.17,SPEAKER_00
759.73,762.43,SPEAKER_00
762.7,770.07,SPEAKER_00
771.02,777.07,SPEAKER_00
777.19,781.26,SPEAKER_00
781.56,787.76,SPEAKER_00
788.68,795.6,SPEAKER_00
795.81,807.04,SPEAKER_00
807.9,812.07,SPEAKER_00
812.76,813.12,SPEAKER_00
814.28,814.99,SPEAKER_00
815.18,817.29,SPEAKER_00
818.23,821.12,SPEAKER_00
822.54,824.51,SPEAKER_00
824.75,829.17,SPEAKER_00
829.29,833.91,SPEAKER_00
833.93,837.37,SPEAKER_00
839.09,839.92,SPEAKER_00
840.39,864.87,SPEAKER_00
856.98,857.15,SPEAKER_01
857.15,857.16,SPEAKER_09
857.16,857.28,SPEAKER_01
865.28,873.55,SPEAKER_00
874.59,884.18,SPEAKER_00
884.4,889.87,SPEAKER_00
