start,end,text
0.0,4.0, I think I can record that.
4.0,5.0, Perfect.
5.0,7.24," All right, so let's start."
7.24,10.08, Let's welcome Prime Minister.
10.08,17.76, We shall eat after night.
17.76,19.76, Am I audible and visible?
19.76,21.76," Yeah, you are."
21.76,49.0," Okay, let me just set my timer and I'll start my speech in 321."
49.0,54.0," Hello, constantly viewing negative things tunes your mind to negative right?"
54.0,65.68," You know, while we are people view their government negatively, we need a way to push people closer to the governments right in order to create a more sustainable development right now what is political fiction in this"
65.68,70.24, instance right three issues yeah a this is when literature uses its capacity to comment on
70.24,75.84, political systems and theories i.e it can be expressed through books movies or like different
75.84,81.04, plays that actually perform this instances b it is it has a high viewership as it is a source of
81.04,85.04, entertainment to different groups of people and like a source of information
85.04,90.72, right this is like the children few cartoons and like novels and like voters to actually see who to
90.72,96.08, vote like how they actually vote right moving on secondly it can be based on current political
96.08,101.52, events past political events the future or even alternate world without necessarily portraying
101.52,105.88, what happened in those events but you you can pick some sort of inspiration
105.88,107.8," to make like these sorts of things, right?"
107.8,113.7, This debate is on whether fiction should take a positive outlook towards politics or a negative
113.7,114.7, outlook towards politics.
114.7,118.04, What is the impact of fiction on the lives of people?
118.04,121.56," First of all, due to like the high viewers it has, right?"
121.56,125.44, It has the power to create narratives that influence personal opinions and
125.44,130.32, like personal decisions like how we actually perceive our governments how we actually pursue
130.32,134.64, our governments how we relate to their governments secondly it has the power to influence public
134.64,139.44, opinion and how we perceive other groups in society that is to say groups that are affiliated
139.44,143.52, to the government groups that carry out voting processes and all those political things that
143.52,147.0, that is basically what it actually does on the different kinds of people.
147.0,149.0, Now let's look at politics in of itself.
149.0,158.0, Politics is a sector in the society that deals with governing how a particular system in a society actually works.
158.0,168.84, PANO basically makes decisions for people like politics or like different mandates on different things like drugs right now we have to understand the politics are here to stay and henceforth we
168.84,173.12, need to find ways to work with politics in order to create a more sustainable development
173.12,178.24, right panel not that in this debate today we do not take away negative and pessimistic
178.24,183.32, fiction right but we make majority of the fiction positive and optimistic so this is
183.32,185.2, a premise that's like negative
185.2,187.12, and actually venting and actually making
187.12,189.12," a particular case in this process, right?"
189.12,192.28," Now pardon, what does negative political fiction"
192.28,193.84, look like in of itself?
193.84,198.84," A, it looks like politicians always marginalizing."
199.28,202.12, It looks like how governments are always benefiting
202.12,204.56, themselves in decisions and the like corrupt
204.56,206.0, at that particular point in time.
206.0,213.0," It looks like expressing images of governments not giving people freedom of speech, governments killing people, governments silencing people, right?"
213.0,222.0," It looks like stereotypes, right? It looks like how politicians lie about opposition and politicians have praised what opposition actually says in the vast majority of instances, right?"
222.0,226.12," Now, what does positive political fiction actually look like"
226.12,227.22," at this instance, right?"
227.22,229.12, It looks like painting better images
229.12,231.0, of like different politicians
231.0,233.26," and like how like they tell people,"
233.26,235.14, like how they make policies that actually lead
235.14,236.9," to the development of the society, right?"
236.9,238.94," It looks like expressing governments that,"
238.94,240.62, expressing governments that allow people
240.62,242.26," to express themselves, right?"
242.26,244.74," People to express their alternative views,"
244.74,245.36," people to actually engage in what government policies they want, people to express themselves right people to express their alternative views people to actually"
245.36,250.16, engage in what government policies they want people to actually bring themselves out and
250.16,254.72, connect with like these different governments looks like good policies that politicians make
254.72,259.52, like let me say policies that help people get food policies that help people like get vaccinated
259.52,263.28, all those sorts of good policies that help like the government or like that help the different
263.28,268.6, people in the society well that is what positive political fiction actually looks like in the
268.6,273.24, vast majority of instances right now what is our case for today right i'm going to handle
273.24,289.0, a why trust is important in the development of the nation right secondly why we reduce reduced on the humanitarian crisis that would have arose due to the pessimistic views.
289.0,296.84," Secondly, our second subject is when to handle further analysis of how this is legitimate"
296.84,299.88, and how it actually makes for more sustainable development.
299.88,304.44," First of all, why trust is important in the development of a nation?"
304.44,325.6," We have to first understand what is trust, right? Trust is basically a form of belief, right? When you believe in someone, when you believe in a system, right, that you actually take in and like you believe in and like you actually denote what that system actually takes you right now when your governments are actually trusted right it's the policies"
325.6,330.8, actually run smoothly right it is easy for the government to run their policies smoothly
330.8,335.44, making right it is easy actually but when citizens of a nation actually trust their different
335.44,340.56, governments right now what do we see in their side of the house right their world has different
340.56,350.8, stereotypes right when people are constantly fed with negative points about the government like some sort of ideology that our governments are bad our governments are not here
350.8,354.0, to help us we're working these governments and they don't give us what we are supposed to get
354.0,358.96, right now basically even if one government member out of that 20 does something bad they are more
358.96,363.36, inclined and they are more likely to actually generalize their whole government as bad right
363.36,368.88, they generalize their government and they paint a bad image about their government so what does this particularly lead to
368.88,373.92, right it is harmful because citizens then start opposing their government right citizens then
373.92,377.68, start not following the things that the government actually put up to help them right at this
377.68,382.24, particular point in time citizens start abusing like their sorts of governments and they start
382.24,388.08, like promoting public discourse to go against like these sorts of governments right now that is particularly what their world actually
388.08,391.92, looks like but what does our world look like right we give them more good views it's not like we
391.92,396.72, separate it's not like we remove the bad views right then we give them more good views right
396.72,400.24, when we give them more good views majority of people are going to watch them and it's going
400.24,404.08, to create better correlation between the governments and the people because the government
404.08,408.24, the people actually able to understand what the different governments go through how these
408.24,412.24, different governments actually help them to do what they're supposed to do and like basically
412.24,416.96, how these governments actually serve to their people to like these different sorts of cartoons
416.96,422.16, and this is like more development because you trust and develop with trust and like better
422.16,425.04, working conditions you can develop your nation for a better cause
425.04,430.46, secondly in their world hope is reduced right when one is pessimistic right they believe that
430.46,434.6, worst will always happen they do not believe that their gamut can actually work right now why is
434.6,438.96, this particularly harmful and why does it arise because you've given them pessimistic views right
438.96,446.96, if there was no hope right people would live careless lives right People would live lives and they won't vote for people who
446.96,448.9, actually are worthy of these things.
448.9,450.12, That's what we see in the world.
450.12,452.48," They vote for people just because they're supposed to vote,"
452.48,454.04, but they do not vote for these people
454.04,455.9, because they know that these people are going to work.
455.9,457.1," Because they know, after all, these people"
457.1,457.94," aren't going to work for these people,"
457.94,459.32, they're not going to do some other things.
459.32,460.88, This is usually implemented in their head.
460.88,462.3," And basically, people don't actually"
462.3,463.82, hold their governments accountable
463.82,467.36, because they do not see the use of holding things that do not actually work out for them right
467.36,471.84, they have a very negative outlook on life and a negative outlook on this day different governments
471.84,476.8, right secondly in our world hopeful and confident we actually talk full and confident about the
476.8,480.96, government that is to say we give our trust and we hope that they actually work for us and this
480.96,487.6, basically pushes these governments to like come and like they work for us it pushes these governments to come and like they fulfill the policies that they
487.6,490.82, were supposed to fulfill because they see there are cities that actually want them to
490.82,494.24, fulfill them and they actually want to be voted back into power by these citizens to
494.24,498.12, actually trust them right why are humanitarian crises reduced on our side right in their
498.12,502.7, world people revolt against governments because they see only the negative outlook on like
502.7,506.26, these different sorts of governments right right? Basically these governments respond
506.26,508.54, by shutting down these people.
508.54,510.24," Like in Uganda, they actually take you,"
510.24,511.46, they beat you up.
516.02,517.3," Because you have actually,"
517.3,519.68," let's take a look of China, right?"
520.68,523.6," China neglects the citizens, beats them up, right?"
523.6,525.16," We see less public discourse,"
525.16,526.92, and we see these governments are less likely
526.92,529.32," to come and commit humanitarian crises,"
529.32,533.92," like gas sites and all those sorts of things, right?"
533.92,536.76," We go for a while, which actually gives the citizens"
536.76,539.6, the better pessimistic ideologies and hope
539.6,542.24, in their government for more sustainable development
542.24,543.24, for their governments.
546.0,548.0," All right, I thank the speaker for the speech."
548.0,578.24," Let's welcome Lira Afaf. My speech starts in three, two, one."
582.24,587.5, I'll start things off by saying that not everything that happens in this world is easy.
587.8,590.18," If you want to get things done, you work hard."
590.26,594.42, You have to shed blood and tears to make things work if you want to get a good and proper job or else.
595.58,600.06," So if you want things to go the easy way, you're never making it to this world."
600.28,601.98," That's why I'm here, to give you a reality check."
602.3,605.0," If the political fiction is positive and optimistic, it's all false."
605.0,607.0, Politics isn't all about that.
607.0,609.0, How do you think America became the strongest country?
609.0,610.0, Through strong and powerful choices.
610.0,611.0, Hence politics.
611.0,615.0, The world can be a dark place filled with gore and greed.
615.0,616.0, That's politics.
616.0,619.0," Before I get to Marge, I have three rebuttals."
619.0,622.0, You're stating that political fiction went positive.
622.0,627.62," You're stating that political fiction went when positive, they have powerful opinions."
627.9,630.42," Let me remind you that it doesn't need to be powerful, but needs to be true."
630.76,631.88, Those are two different words.
632.48,636.24," You also stated that political fiction, when negative, has negative benefits."
636.76,640.12," I mean, the negative side basically is the truth."
640.54,644.76," The reality of the side, I mean, I'm trying to give you the reality of the things right now."
644.98,645.5," Also, you didn't of the things right now."
645.5,648.18," Also, you didn't say the specific types of negative benefits."
