start,end,speaker
2.39,6.04,SPEAKER_03
6.04,7.61,SPEAKER_04
7.61,7.62,SPEAKER_03
13.55,14.86,SPEAKER_04
15.13,15.47,SPEAKER_04
20.26,21.56,SPEAKER_04
25.19,25.97,SPEAKER_04
25.97,26.04,SPEAKER_00
26.04,119.86,SPEAKER_08
119.93,177.13,SPEAKER_08
177.37,236.74,SPEAKER_08
236.85,293.86,SPEAKER_08
294.87,298.33,SPEAKER_06
299.68,442.34,SPEAKER_08
442.54,477.07,SPEAKER_08
477.26,498.03,SPEAKER_08
498.03,498.96,SPEAKER_04
524.24,526.04,SPEAKER_03
526.24,531.07,SPEAKER_03
531.07,531.09,SPEAKER_04
574.86,575.76,SPEAKER_04
577.63,580.67,SPEAKER_04
585.22,586.03,SPEAKER_04
586.03,586.93,SPEAKER_07
587.35,587.75,SPEAKER_07
588.29,588.65,SPEAKER_07
589.1,651.19,SPEAKER_07
652.06,715.92,SPEAKER_07
717.98,719.06,SPEAKER_08
719.38,723.21,SPEAKER_08
723.28,724.93,SPEAKER_07
725.88,731.7,SPEAKER_08
732.44,733.0,SPEAKER_08
734.31,784.38,SPEAKER_07
785.14,1092.03,SPEAKER_07
1092.03,1093.08,SPEAKER_04
1130.91,1136.01,SPEAKER_03
1140.38,1146.08,SPEAKER_00
1147.51,1147.97,SPEAKER_00
1147.97,1147.99,SPEAKER_04
1165.1,1166.16,SPEAKER_04
1170.8,1173.97,SPEAKER_04
1173.97,1174.55,SPEAKER_09
1174.55,1174.58,SPEAKER_04
1174.97,1174.99,SPEAKER_00
1174.99,1175.32,SPEAKER_09
1175.32,1175.34,SPEAKER_00
1175.66,1175.68,SPEAKER_00
1175.68,1176.24,SPEAKER_09
1176.44,1326.37,SPEAKER_09
1326.56,1371.7,SPEAKER_09
1371.87,1510.19,SPEAKER_09
1510.88,1521.7,SPEAKER_07
1522.65,1626.51,SPEAKER_09
1626.63,1670.98,SPEAKER_09
1670.98,1671.03,SPEAKER_00
1671.03,1672.34,SPEAKER_04
1697.35,1702.47,SPEAKER_03
1702.47,1702.48,SPEAKER_04
1724.88,1726.44,SPEAKER_04
1726.44,1726.53,SPEAKER_06
1728.39,1728.4,SPEAKER_02
1728.4,1734.54,SPEAKER_06
1735.02,1735.03,SPEAKER_06
1735.64,1735.71,SPEAKER_06
1747.93,1748.1,SPEAKER_04
1748.97,1750.04,SPEAKER_04
1750.04,1751.28,SPEAKER_06
1751.45,1752.2,SPEAKER_06
1752.3,1752.84,SPEAKER_06
1753.55,1753.98,SPEAKER_06
1754.86,1755.18,SPEAKER_06
1755.94,1770.76,SPEAKER_06
1771.21,1793.02,SPEAKER_06
1793.59,1803.19,SPEAKER_06
1803.55,1806.75,SPEAKER_06
1807.21,1927.38,SPEAKER_06
1855.86,1855.89,SPEAKER_00
1927.71,1991.64,SPEAKER_06
1993.19,1999.65,SPEAKER_09
2000.38,2000.76,SPEAKER_06
2001.29,2037.5,SPEAKER_06
2037.86,2042.51,SPEAKER_06
2042.78,2100.43,SPEAKER_06
2101.02,2174.91,SPEAKER_06
2175.64,2259.04,SPEAKER_06
2259.04,2260.56,SPEAKER_04
2287.15,2291.84,SPEAKER_03
2333.22,2337.37,SPEAKER_04
2348.2,2349.98,SPEAKER_04
2349.98,2370.45,SPEAKER_05
2370.7,2387.76,SPEAKER_05
2388.01,2426.35,SPEAKER_05
2426.45,2428.8,SPEAKER_05
2429.22,2565.12,SPEAKER_05
2565.3,2576.3,SPEAKER_05
2577.2,2726.25,SPEAKER_05
2728.5,2743.87,SPEAKER_07
2729.01,2729.24,SPEAKER_05
2744.95,2838.64,SPEAKER_05
2798.36,2798.43,SPEAKER_00
2798.43,2798.51,SPEAKER_01
2798.51,2798.77,SPEAKER_00
2838.98,2856.02,SPEAKER_05
2856.02,2858.34,SPEAKER_04
2894.5,2894.52,SPEAKER_04
2894.52,2899.44,SPEAKER_03
2939.52,2940.09,SPEAKER_04
2942.31,2942.32,SPEAKER_04
2942.32,2946.81,SPEAKER_02
2948.36,2951.23,SPEAKER_02
2955.13,2955.55,SPEAKER_04
2956.24,2956.75,SPEAKER_04
2973.63,2973.98,SPEAKER_04
2987.77,2989.5,SPEAKER_04
2990.6,2990.97,SPEAKER_04
2990.97,2991.02,SPEAKER_02
