start,end,text
0.0,6.14," All right, that works. Then I would like to give the floor to the first proposition speaker"
6.14,9.5, to open this debate. Good luck.
9.5,16.88, Can I confirm that I'm audible?
16.88,31.42," POIs in chat, please. Make no mistake, post-colonial African states have been misled, and in the fourth strand of hope is in pursuing liberal democracies."
31.76,36.02, They have neglected pressing issues that only furthered the legacy of suffering imposed upon their people.
36.34,39.16, Economic reparations are the prerequisite for all other benefits.
39.54,43.16, Political and civil rights are a leaf in the relentless wind of reality.
43.16,45.04, Our burden on proposition is not to
45.04,49.44," deliver a utopia, but we do think that states would have benefited local populations, and the"
49.44,53.42, balance of probabilities created a stronger foundation for them to build and develop into
53.42,57.74," the 21st century. What do we stand for? As these states gained independence, they would prioritize"
57.74,62.14," limited political resources into implementing economic changes, such as land redistribution"
62.14,68.8," and cash transfer payments. This speech will prove three things. Firstly, economic reparations are likely to be applied best under our side."
68.8,73.12," Second, they bring the most and greatest immediate benefit. And finally, economic reparations are"
73.12,77.92," prerequisite for achieving civil and political rights. Firstly, why economic reparations are"
77.92,82.16, more likely to be successfully applied than civil and political rights. And this is crucial because
82.16,87.68, it explains why it's only under proposition that a policy that is likely to be implemented successfully and note that this argument
87.68,91.84, preemptively will respond for all of opposition's benefits because they're all contingent on
91.84,95.52, political and civil rights being carried out successfully there are three parts to this
95.52,99.68, argument firstly economic reparations are initially more achievable in a post-colonial
99.68,104.16, state recognize that the revolutionary leaders which this debate occurs upon are not purely
104.16,108.0, altruistic but they balance genuine desire to help their nation with selfish desire for power.
108.0,119.0," Despots like Mugabe, who have no desire to help their nations, fall out of this debate because of their unwillingness to implement either side's policies in a meaningful manner."
119.0,129.44," So given that, civil and political rights require a far greater training offer of because you necessarily set up systems to on your own demise. Conversely, economic reforms enable leaders to pursue"
129.44,133.04, a desire to better their own nation without compromising their own motives to power.
133.04,137.76, That's why leaders like Kwame Nkrumah in Ghana went on to create one-party states to prevent
137.76,142.08, losing their own rule. So what this has established is that leaders both have the incentive and
142.08,147.66," capacity to fail to implement opposition's political rights, whereas they'll be more willing to implement our economic rights."
147.94,151.54, The second part of this argument is to say that even if opposition proves that political rights
151.54,155.5," were initially successful, it's unlikely that they'll be sustained into the future for three"
155.5,159.78," reasons. Firstly, because political and civil rights require additional buy-in into seemingly"
159.78,164.3, Western systems of democracy. These populations who have had no encounter with these democracies
164.3,169.36, before necessitate that distrust. Democracy only works effectively if it is engaged with and
169.36,173.2, without the trust it will fail. But secondly because civil and political rights are highly
173.2,177.44, inter-reliant such that the failure of one right necessitates the downfall of all others. For
177.44,182.24, example the right to vote is inconsequential if you lack information because of pipe state control.
182.24,185.02, But thirdly because political rights require additional
185.02,186.28," and continued maintenance,"
186.28,187.92, such that the states have the capacity
187.92,189.56, to provide political rights and name
189.56,190.8," without actually doing so,"
190.8,192.2," through mechanisms like gerrymandering,"
192.2,194.14," voter suppression and miscounting ballots,"
194.14,195.56, all of which are easy to hide
195.56,198.44, versus whilst observing land distribution
198.44,200.3, is relatively obvious under our side.
200.3,201.7," So what we know so far,"
201.7,203.9, the political rights at the point of implementation
203.9,211.8," do not guarantee the benefits that opposition will claim, in the same way how Eritrea was one of the first African nations to have free elections, but was not successful in sustaining them."
211.96,218.62," The final part of this argument is to note that, by comparison, economic reparations are likely to succeed after initial application for three reasons."
218.76,229.2," Firstly, because economic reparations provide immediate benefits, even when citizens do not have ideal access to them. Even if you believe that economic reparations are imperfect, recognise that half the access to"
229.2,233.44," these policies is still good. If you receive a cash transfer but no land redistribution,"
233.44,237.36, it still benefits you and that is still better than no reparations at all. Compare that to
237.36,241.68, opposition where the imperfect application of one right harms all the other rights which they try
241.68,246.9, and gain. The second thing to say here is that economic benefits are more easily sustained during a context
246.9,249.32, of political instability in post-colonial Africa.
249.32,250.68," We know that empirically,"
250.68,253.1, many African states experienced political turmoil
253.1,254.08, during those periods.
254.08,256.42, Political and civil rights could not have been maintained
256.42,258.96, whilst the economic benefits we provide before that
258.96,260.74, are given and they are able to remain.
260.74,262.84," But the third thing to say is that unlike opposition,"
262.84,263.9," which gets weaker with time,"
263.9,268.54," as more people lose faith in democracy, economic reparations compound. That's because economic"
268.54,273.02," reparations allow you for continuing development, like educating your children or working in the"
273.02,277.32, land that you're given. This allows the benefits we claim to grow over time in comparison to
277.32,281.98," opposition, who will likely have those democracies rapidly backslide. So at the end of this argument,"
282.34,289.26," from the under proposition, where policy is likely to be implemented successfully, and which is what all of opposition benefits will be contingent on in"
289.26,293.06," this debate. I'm now going to move on to my second argument. But before that, I'm happy to take a"
293.06,298.12, point of information. How are your operations more sustainable if you don't have property rights?
299.58,303.44, So I've just explained that we are likely to be able to have these sorts of things because they
303.44,308.08," compound over time. If you give someone money, for for example you're able to invest that in yourself you're"
308.08,313.44, able to educate yourself and that necessitates in fact if we give them land they're able to work on
313.44,318.24, that and that is likely to grow only under outside you guys cannot claim that so secondly why
318.24,322.48, economic reparations bring the greatest immediate benefit and this argument explains why even if you
322.48,328.18," believe that both policies in this debate are equally enforceable, you must prioritize economic reparations because they provide the"
328.18,332.34, greatest immediate benefit. Side proposition solved the immediate problem of poverty and
332.34,336.32," starvation, which is the greatest impact in this debate. The impacts of political rights are long"
336.32,340.78," term and speculative because they require future action, whilst economic reparations do not and"
340.78,345.08," are guaranteed. We look to examples of huge famines in Ethiopia, where 1.2 million"
345.08,349.18," people died, and democratic rights did nothing to help them. And note that even if opposition"
349.18,353.68," tries to claim that they eventually get economic reparations, you must still vote side proposition,"
354.08,357.98, because of the immediacy of our benefit. Because every day where governments deny economic
357.98,361.94," reparations, thousands more have died. And opposition at this point has an enormous"
361.94,365.76, burden in this debate. Tell us how they're going to help the people suffering right now.
365.76,369.56," Why, even in their best case, it is worth having to wait decades to save lives"
369.68,371.92," rather than grant immediate economic reparations,"
372.04,373.88, which only we can do under our side.
