start,end,speaker
2.29,4.23,SPEAKER_01
11.66,13.8,SPEAKER_01
15.17,21.02,SPEAKER_04
21.02,21.06,SPEAKER_01
23.3,23.59,SPEAKER_01
23.74,23.93,SPEAKER_01
23.98,23.99,SPEAKER_01
26.54,28.33,SPEAKER_01
35.1,35.43,SPEAKER_01
40.16,41.64,SPEAKER_01
45.14,45.15,SPEAKER_01
45.15,47.7,SPEAKER_04
48.02,48.61,SPEAKER_04
48.99,49.31,SPEAKER_04
49.95,99.12,SPEAKER_04
99.31,129.16,SPEAKER_04
129.58,146.79,SPEAKER_04
147.1,152.85,SPEAKER_04
154.81,370.89,SPEAKER_04
199.81,199.97,SPEAKER_01
199.97,200.1,SPEAKER_00
372.39,385.03,SPEAKER_05
385.03,385.74,SPEAKER_04
386.86,386.87,SPEAKER_05
386.87,551.57,SPEAKER_04
553.41,553.43,SPEAKER_06
553.43,555.94,SPEAKER_01
569.04,571.33,SPEAKER_01
582.32,583.86,SPEAKER_01
585.71,586.18,SPEAKER_01
588.92,589.34,SPEAKER_01
590.32,594.99,SPEAKER_01
600.21,600.48,SPEAKER_01
606.97,608.71,SPEAKER_01
609.15,609.42,SPEAKER_01
609.42,609.44,SPEAKER_03
610.2,610.21,SPEAKER_01
610.21,863.17,SPEAKER_03
838.55,839.04,SPEAKER_02
863.41,949.74,SPEAKER_03
914.98,915.57,SPEAKER_01
952.86,952.88,SPEAKER_01
952.88,953.47,SPEAKER_03
952.89,960.51,SPEAKER_04
953.47,953.49,SPEAKER_01
962.09,1113.73,SPEAKER_03
1006.62,1007.15,SPEAKER_02
1114.81,1117.54,SPEAKER_01
1123.72,1125.53,SPEAKER_01
1128.26,1128.53,SPEAKER_01
1129.83,1134.05,SPEAKER_01
1146.1,1148.81,SPEAKER_01
1150.23,1150.97,SPEAKER_01
1150.97,1150.99,SPEAKER_02
1150.99,1151.14,SPEAKER_01
1151.45,1151.99,SPEAKER_01
1152.36,1152.96,SPEAKER_01
1152.96,1153.03,SPEAKER_02
1153.03,1153.98,SPEAKER_01
1153.98,1154.03,SPEAKER_02
1154.03,1154.97,SPEAKER_01
1154.97,1155.02,SPEAKER_02
1155.02,1157.96,SPEAKER_01
1162.48,1165.49,SPEAKER_01
1167.33,1168.2,SPEAKER_01
1170.14,1170.16,SPEAKER_01
1170.16,1172.57,SPEAKER_02
1172.57,1172.74,SPEAKER_01
1172.93,1173.03,SPEAKER_01
1173.03,1173.54,SPEAKER_02
1175.1,1489.28,SPEAKER_02
1188.3,1188.33,SPEAKER_01
1490.87,1496.27,SPEAKER_02
