start,end,text
0.0,11.76," Okay, we welcome the first speaker of the proposition."
11.76,15.4," You are not audible, I suspect, because you are muted."
15.4,20.36," Okay i'm sorry, may I confirm that i'm audible and visible without any weird sounds?"
20.36,23.36," Okay, thank you."
23.36,24.36, Okay.
24.36,26.22," So i'm just gonna set up my timer. Okay, thank you. Okay."
28.04,34.84, So I'm just going to set up my timer.
35.26,38.9, Okay.
39.32,39.86, Okay.
41.42,41.52, My speech is going to start shortly. Okay.
44.62,49.18," My speech will start in three, two, one."
49.88,55.32," If you look at all around the African continent, you will find very few examples of functional democracies."
55.8,60.32," Most democracies only exist on paper, where in reality, elections are rigged."
60.38,65.46," Economic elites capture politics, and people live in constant fear of violent military"
65.46,71.02, oppression. We would much rather live in a world where the economy and land redistribution was the
71.02,75.74," priority, because having an access to the foundation of basic economic activities is the"
75.74,80.78," only way to a minimum level of sustenance, reduction of violent activities, and long-term"
80.78,85.24, political stability. So proud to propose. Two arguments from first.
88.12,90.44," Firstly, why the breaking down of economic privileges are necessary for economic activation."
91.06,92.96," Secondly, why economic reform"
92.96,95.3, leads to greater political accountability.
95.82,98.68," Before moving into arguments, two points of setup."
99.34,100.7," Firstly, on our stance."
101.22,102.24, Our goal is simple.
102.24,105.86, We want to break down existing economic privileges and
105.86,111.08," redistribute them to the people through two methods. A, we're happy to confiscate the wealth"
111.08,116.5," of the super-rich and redistribute this to the people on the ground. But B, we're happy to"
116.5,120.76," redistribute the sources of wealth, which essentially is land, which was controlled by"
120.76,126.04, ex-colonial powers as well as local elites who were prioritized in the colonial regime.
126.04,129.5, The second point I've set up on what both worlds look like.
129.5,133.1," Firstly, what are we willing to trade off on our side of the house?"
133.1,137.68," We're happy to give up on democratic reforms, for example, the right to vote, the right"
137.68,142.9," to protest, since our claim is that these will not be respected anyways on opposition"
142.9,143.9, world.
143.9,146.4," But secondly, what do we imagine our world to look"
146.4,152.06, like? We think it is likely to look like a set of non-elected officials crafting and implementing
152.06,158.84," policies. For example, we think this looks like in Indonesia, where prominent nationalists who"
158.84,162.8, fought for independence collectively made decisions with Skarno as the unelected president.
163.28,167.36," Obviously, we're happy to concede that this body is not completely accountable,"
167.64,170.86," but we think there is a significant interest in uniting the country,"
171.1,175.2," as the period immediately after colonialism coincides with the peak of nationalism,"
175.62,177.92," where the people, prominent nationalists in particular,"
178.2,181.94, are bound against a common enemy that is the symbolism of colonialism.
182.5,184.4," Given this setup, first argument then,"
184.4,189.84, why the breaking down of economic privileges are necessary for economic activation. The thesis
189.84,194.46, under this is that economic and land reforms are necessary for people to live a fulfilled life
194.46,200.1, and uniquely get that on side opposition. Why then does economic privileges actively shackle
200.1,206.04," people to endless poverty? Two reasons and points in chat, please. Firstly, because landowners have"
206.04,211.24, massive leverage over individuals. This is to say people are forced to make unfair concessions to
211.24,216.26," landowners because they're economically dependent on them. In truth, they need that land to farm,"
216.44,221.3," so they're naturally forced to listen to the plantation owners. This means two things. A,"
221.3,225.72, they live under harsh conditions where most of their profit are sucked away by
225.72,231.2," landowners. But B, they're often forced to stay in a particular piece of land for a long amount of"
231.2,236.7," time due to their contracts, which deprives their mobility. The second reason is that it is"
236.7,242.16," empirically true that African countries are resource rich, but these resources are monopolized"
242.16,245.92, by elites. This looks like the United Africa Company under
245.92,251.2, the British government monopolizing oil in Nigeria. The profits earned through the excavation
251.2,256.48," of these resources are hoarded by Western elites, which comes at the massive opportunity cost of"
256.48,261.44, bringing that wealth to the people on the ground. These two mechanisms prove that poor people in
261.44,265.4, Africa will structurally continue to stay poor in the future. What is the
265.4,270.52," comparative then? Firstly, in the short term, wealth redistribution allows people to survive,"
270.78,275.6," allows people to have food on the table and pay their rent. But second of all, in the long term,"
275.84,281.72," greater economic opportunities accrue in two ways. One, individuals are able to access greater"
281.72,289.52," earnings. Now that farmers aren't sucked up most of their profit and can use that leftover money, but also have ownership of land, means they can produce"
289.52,295.38," more crops, make harvest more efficient, and able to start up new businesses. But two, the country"
295.38,301.56," is able to access increased economic opportunities in three ways. Firstly, the increased size of"
301.56,305.42, local market. People being wealthier means local companies in domestic
305.42,310.58," markets are likely to thrive, creating more job opportunities. But secondly, increased supply of"
310.58,315.92," cheap labor. Insofar as individuals are not constrained to landlords anymore, this means"
315.92,321.98," they can now seek employment in alternative jobs in these cities, which provides attractive cheap"
321.98,325.0," labor to companies, and especially foreign multinational"
325.0,330.16," companies, which means there's more investment, especially from foreign countries. Thirdly,"
330.42,336.16, we take back control over lucrative natural resources. This looks like Botswana regaining
336.16,341.48," their diamond industry, Nigeria regaining their oil industry, which gets a lot of profit. But the"
341.48,345.0, difference is the profit is now to the people of the country.
349.0,349.52, All these proves that we enable people to become more economic affluent in the future.
354.14,359.0," Obviously, this is debate winning, important in and of itself, since the vast majority of people living in African countries are devastating poor and we need to help that on our side of the house."
359.26,364.12," But this argument also has another implication in the round as well, since we would argue that"
