start,end,speaker
0.03,1.94,SPEAKER_00
2.36,5.99,SPEAKER_00
8.67,10.65,SPEAKER_07
12.2,18.27,SPEAKER_07
20.23,22.07,SPEAKER_07
22.46,23.07,SPEAKER_07
23.5,23.82,SPEAKER_07
25.38,25.97,SPEAKER_07
25.97,111.51,SPEAKER_08
111.96,343.08,SPEAKER_08
176.56,177.15,SPEAKER_00
244.48,245.04,SPEAKER_00
273.57,273.96,SPEAKER_00
273.96,274.32,SPEAKER_04
274.32,274.33,SPEAKER_00
314.45,314.99,SPEAKER_00
343.54,343.57,SPEAKER_08
343.57,347.39,SPEAKER_04
347.59,351.81,SPEAKER_04
351.81,351.82,SPEAKER_08
352.8,518.03,SPEAKER_08
377.69,378.03,SPEAKER_00
433.58,433.74,SPEAKER_00
457.01,457.21,SPEAKER_00
518.03,518.65,SPEAKER_00
521.33,523.22,SPEAKER_00
527.83,529.35,SPEAKER_00
546.85,549.58,SPEAKER_00
552.82,553.16,SPEAKER_00
553.16,553.18,SPEAKER_02
559.56,561.06,SPEAKER_02
561.26,564.67,SPEAKER_02
565.14,565.51,SPEAKER_02
567.08,568.14,SPEAKER_02
568.52,568.99,SPEAKER_02
569.46,569.66,SPEAKER_02
569.66,569.7,SPEAKER_03
570.27,570.29,SPEAKER_02
570.29,584.19,SPEAKER_03
584.75,676.43,SPEAKER_03
676.87,749.72,SPEAKER_03
687.7,687.96,SPEAKER_00
750.04,801.29,SPEAKER_03
777.21,777.29,SPEAKER_04
777.29,777.46,SPEAKER_00
777.46,777.66,SPEAKER_04
801.44,806.76,SPEAKER_03
806.94,871.96,SPEAKER_03
844.29,844.96,SPEAKER_07
871.96,873.58,SPEAKER_08
874.11,886.68,SPEAKER_08
887.45,887.49,SPEAKER_08
887.49,888.96,SPEAKER_03
889.09,1048.27,SPEAKER_03
1048.49,1064.98,SPEAKER_03
1058.38,1058.87,SPEAKER_00
1064.98,1066.95,SPEAKER_00
1071.27,1073.99,SPEAKER_00
1076.5,1077.99,SPEAKER_00
1080.22,1080.81,SPEAKER_00
1082.39,1085.21,SPEAKER_00
1091.29,1092.72,SPEAKER_00
1093.68,1093.97,SPEAKER_00
1093.97,1094.21,SPEAKER_06
1095.0,1095.02,SPEAKER_00
1095.02,1095.45,SPEAKER_06
1096.1,1191.84,SPEAKER_06
1160.37,1161.0,SPEAKER_08
1189.01,1189.28,SPEAKER_04
1192.59,1363.13,SPEAKER_06
1363.43,1381.71,SPEAKER_06
1382.33,1457.59,SPEAKER_06
1446.98,1447.47,SPEAKER_00
1457.59,1457.61,SPEAKER_04
1457.63,1468.32,SPEAKER_04
1468.88,1503.76,SPEAKER_06
1504.18,1596.17,SPEAKER_06
1600.15,1602.63,SPEAKER_00
1612.57,1613.99,SPEAKER_00
1616.18,1616.5,SPEAKER_00
1618.21,1619.14,SPEAKER_00
1619.58,1620.23,SPEAKER_00
1620.77,1621.97,SPEAKER_00
1621.97,1625.13,SPEAKER_05
1625.31,1625.87,SPEAKER_05
1626.14,1635.88,SPEAKER_05
1637.51,1637.65,SPEAKER_05
1638.12,1640.6,SPEAKER_05
1641.07,1657.48,SPEAKER_05
1658.66,1659.94,SPEAKER_05
1660.13,1660.16,SPEAKER_05
1660.55,1661.41,SPEAKER_05
1661.88,1699.88,SPEAKER_05
1691.26,1691.63,SPEAKER_00
1700.12,1731.1,SPEAKER_05
1731.47,2030.62,SPEAKER_05
2031.17,2036.98,SPEAKER_05
2036.98,2046.87,SPEAKER_06
2047.61,2049.03,SPEAKER_06
2049.03,2049.92,SPEAKER_05
2050.55,2050.75,SPEAKER_05
2051.07,2052.13,SPEAKER_05
2052.22,2065.46,SPEAKER_05
2065.51,2120.04,SPEAKER_05
2120.04,2122.74,SPEAKER_00
2130.36,2131.88,SPEAKER_00
2132.2,2133.06,SPEAKER_00
2144.19,2145.28,SPEAKER_00
2148.64,2149.11,SPEAKER_00
2149.15,2151.05,SPEAKER_00
2153.96,2155.26,SPEAKER_00
2156.74,2157.11,SPEAKER_00
2158.38,2158.39,SPEAKER_00
2158.39,2158.68,SPEAKER_01
2158.68,2158.7,SPEAKER_00
2159.51,2159.52,SPEAKER_00
2159.52,2169.5,SPEAKER_01
2169.63,2339.18,SPEAKER_01
2339.55,2346.4,SPEAKER_01
2347.16,2355.04,SPEAKER_05
2355.87,2610.24,SPEAKER_01
2610.61,2674.14,SPEAKER_01
2677.99,2680.62,SPEAKER_00
2683.71,2685.27,SPEAKER_00
2691.76,2692.57,SPEAKER_00
2699.93,2700.54,SPEAKER_00
2711.91,2712.38,SPEAKER_00
2712.97,2713.41,SPEAKER_00
2713.87,2713.97,SPEAKER_00
2713.97,2714.22,SPEAKER_04
2714.22,2714.26,SPEAKER_00
2714.53,2714.56,SPEAKER_00
2714.56,2714.81,SPEAKER_04
2715.35,2715.39,SPEAKER_00
2715.39,2720.6,SPEAKER_04
2720.91,2729.06,SPEAKER_04
2729.38,2735.43,SPEAKER_04
2735.65,2742.99,SPEAKER_04
2743.35,2940.7,SPEAKER_04
2815.61,2816.03,SPEAKER_00
2821.02,2821.26,SPEAKER_00
2941.04,2950.95,SPEAKER_04
2951.69,2999.7,SPEAKER_04
2999.9,3115.14,SPEAKER_04
3115.73,3137.68,SPEAKER_04
3135.1,3135.52,SPEAKER_08
3138.93,3150.36,SPEAKER_08
3150.36,3218.01,SPEAKER_04
3150.37,3150.69,SPEAKER_08
3161.51,3162.02,SPEAKER_00
3218.01,3218.03,SPEAKER_00
3221.28,3224.08,SPEAKER_00
3224.93,3225.18,SPEAKER_00
3229.52,3230.82,SPEAKER_00
3230.97,3231.59,SPEAKER_00
3232.99,3234.16,SPEAKER_00
3236.08,3236.88,SPEAKER_00
3236.88,3237.7,SPEAKER_05
3238.09,3238.11,SPEAKER_00
3238.11,3238.63,SPEAKER_05
3238.9,3401.14,SPEAKER_05
3401.29,3495.15,SPEAKER_05
3495.15,3497.02,SPEAKER_00
3501.73,3505.27,SPEAKER_00
3507.58,3508.6,SPEAKER_00
3511.08,3511.57,SPEAKER_00
3517.29,3518.96,SPEAKER_00
3519.57,3520.04,SPEAKER_00
3520.78,3520.97,SPEAKER_00
3520.97,3521.24,SPEAKER_06
3522.13,3780.84,SPEAKER_06
