start,end,text
0.0,2.24, to order on the given motion.
2.24,4.6, And I invite the prime minister to open the case
4.6,5.52, that stands in their name.
5.52,6.02, Keh keh.
8.62,12.22," Hi, just to check, am I visible and audible?"
12.22,12.96," OK, great."
12.96,15.72," Once again, I use he, him pronouns and POIs"
15.72,16.62, to be given verbally.
16.62,20.22," Please, I won't be looking at the chat."
20.22,25.28," Starting my speech in 3, two, one."
30.54,31.0," The root of all of Africa's ailments is poverty, and when allowed to fester over generations,"
35.9,40.4, opposition forms an ecosystem of chronic inefficiencies that predate on the livelihoods of the most vulnerable in the forms of disease and destitution. We are so proud to propose.
40.84,44.8," Before I introduce two arguments within this speech, what exactly do we support under this"
44.8,49.32," proposition? First of all, a three-pronged model. Firstly, we think post-colonial"
49.32,54.8," African states share a few characteristics, namely, one, strong grassroots movements formed"
54.8,59.66," during colonial rule to fight for independence. Two, their economic system was designed for"
59.66,65.76," colonizers to extract wealth from them, so poverty is rampant. And three, note that all post-colonial African"
65.76,72.34, states in the status quo pursued a mixed bag of political and economic strategies. So this debate
72.34,76.88, must be about reimagining the world on which of the two we should have prioritized at the point
76.88,82.18," of independence under the rule of a good faith government. Otherwise, neither team can deliver"
82.18,89.18," their promise of economic or political rights. Two, the process of fighting for economic and land reparations will be spearheaded by the state."
89.44,90.86, This will look like roughly three things.
91.18,95.46," Firstly, establishing committees responsible for fairly redistributing wealth and property"
95.46,99.36, who prioritize distribution from those who unfairly took wealth under colonialism
99.36,101.54, to the economically disenfranchised.
101.92,105.56," Secondly, establishing quotas within the workplace and schools to ensure"
105.56,110.72," equitable access to employment and education. And thirdly, cash transfer programs to marginalized"
110.72,116.68," groups. Three, we think in reimagining the world, a post-colonial Africa, absent of civil and"
116.68,121.44," political rights, will not be a society that lacks all fundamental human rights. This is because"
121.44,125.34, local leaders in a newly independent state have directly suffered
125.34,130.34," under colonialism, incentivizing them to ensure that the basic humanity which was eroded under"
130.34,135.94," colonial powers is now safeguarded. Therefore, fundamental human rights such as the freedom from"
135.94,140.82," slavery and torture exist, whereas civil and political rights such as expression, the political"
140.82,145.08, expression and assembly are not specifically codified by the law. Two arguments
145.08,150.14, in this speech. The first on how immediate economic relief is second to none in safeguarding
150.14,154.26, the livelihoods and upliftment of African nations. There are three parts underneath this argument.
154.64,159.14," First of all, I'd like to note that in the hierarchy of competing rights, economic upliftment"
159.14,163.82, must supersede political empowerment. This is because economic rights are instrumental to the
163.82,169.56," right to life, because the biggest obstacle is in the state. It's starvation, disease, and intergenerational"
169.56,174.74, poverty. Finite resources mean that millions spent to build voting booths on op could have
174.74,179.0, been used to feed the malnourished and earn acceptable income so their children could go
179.0,183.66, to school instead of being forced into child labor. Perishing means there aren't any political
183.66,189.6," expressions to be made, because when you survive, it becomes your utmost priority. The right to life is a gateway right"
189.6,194.3, that is fundamental to human dignity and comes prior to everything else. Why then is saving
194.3,199.28, lives exclusively a prop? Because it's a time-sensitive issue. Lives are at stake. Democracy
199.28,204.24," requires the state to carefully debate, pass, and implement public policies. So even if you get"
204.24,210.22," political rights, economic policies will only come way after. In the meantime, the lives we lose waiting"
210.22,215.3, for immediate relief are irreversible. But economic policies on the side of op will be far less
215.3,220.94," efficient, as state resources are stretched thin for nationwide projects. On-prompt, direct cash"
220.94,226.92, transfers and land in the hands of the people gives them the agency to ameliorate their specific economic situation.
227.24,233.58, Those who need medical care and shelter can get it directly instead of waiting on the state to develop things like public housing or hospitals.
233.92,238.76," But secondly, we think our economic reparations uniquely empower the people in a few key ways."
