start,end,speaker
5.06,8.16,SPEAKER_02
11.81,14.04,SPEAKER_03
14.04,17.7,SPEAKER_00
18.51,18.53,SPEAKER_03
18.53,19.0,SPEAKER_00
19.72,23.05,SPEAKER_00
23.42,23.96,SPEAKER_00
24.75,25.07,SPEAKER_00
25.98,46.45,SPEAKER_00
46.71,97.38,SPEAKER_00
97.67,102.82,SPEAKER_00
102.9,109.62,SPEAKER_00
110.41,166.92,SPEAKER_00
167.35,187.61,SPEAKER_00
187.97,221.99,SPEAKER_00
222.36,233.78,SPEAKER_00
233.99,279.84,SPEAKER_00
280.05,285.71,SPEAKER_00
286.01,286.5,SPEAKER_00
287.02,287.09,SPEAKER_00
287.09,295.01,SPEAKER_06
295.9,325.7,SPEAKER_00
325.79,332.47,SPEAKER_00
332.76,385.03,SPEAKER_00
385.46,410.43,SPEAKER_00
410.62,413.67,SPEAKER_00
414.09,420.62,SPEAKER_00
421.26,426.34,SPEAKER_00
426.7,480.65,SPEAKER_00
480.77,516.05,SPEAKER_00
519.7,527.04,SPEAKER_03
527.04,528.22,SPEAKER_02
544.15,546.97,SPEAKER_02
546.97,547.27,SPEAKER_07
547.27,547.29,SPEAKER_02
547.93,547.96,SPEAKER_02
547.96,549.33,SPEAKER_03
550.48,553.83,SPEAKER_07
554.97,556.18,SPEAKER_03
556.97,560.7,SPEAKER_07
575.22,575.23,SPEAKER_02
575.23,576.31,SPEAKER_07
576.68,581.19,SPEAKER_07
581.66,582.52,SPEAKER_07
582.66,590.55,SPEAKER_07
590.96,663.15,SPEAKER_07
663.4,668.62,SPEAKER_07
668.85,675.82,SPEAKER_07
676.01,705.64,SPEAKER_07
705.74,710.7,SPEAKER_07
711.09,725.59,SPEAKER_07
712.11,712.46,SPEAKER_06
712.46,712.54,SPEAKER_00
727.39,736.74,SPEAKER_00
737.2,742.89,SPEAKER_07
743.0,848.47,SPEAKER_07
848.61,898.98,SPEAKER_07
899.37,940.07,SPEAKER_07
940.26,994.61,SPEAKER_07
994.91,1009.78,SPEAKER_07
1010.08,1033.3,SPEAKER_07
1033.51,1067.49,SPEAKER_07
1067.9,1078.95,SPEAKER_07
1081.57,1089.03,SPEAKER_03
1089.03,1089.89,SPEAKER_02
1127.1,1128.31,SPEAKER_02
1129.44,1129.96,SPEAKER_02
1129.96,1133.79,SPEAKER_03
1135.01,1135.82,SPEAKER_03
1135.18,1136.21,SPEAKER_02
1136.98,1138.49,SPEAKER_03
1139.03,1139.62,SPEAKER_05
1141.64,1142.16,SPEAKER_05
1143.87,1144.95,SPEAKER_05
1145.13,1146.0,SPEAKER_05
1146.43,1146.79,SPEAKER_05
1147.29,1147.68,SPEAKER_05
1148.19,1150.3,SPEAKER_05
1150.59,1162.25,SPEAKER_05
1162.57,1175.39,SPEAKER_05
1175.44,1177.4,SPEAKER_05
1177.55,1209.16,SPEAKER_05
1209.82,1234.88,SPEAKER_05
1235.15,1325.36,SPEAKER_05
1265.55,1265.81,SPEAKER_00
1325.83,1359.89,SPEAKER_05
1360.43,1391.49,SPEAKER_05
1391.59,1402.95,SPEAKER_05
1403.51,1416.62,SPEAKER_05
1416.97,1486.65,SPEAKER_05
1486.94,1498.51,SPEAKER_05
1500.83,1513.18,SPEAKER_06
1514.22,1568.26,SPEAKER_05
1568.6,1646.19,SPEAKER_05
1647.72,1648.45,SPEAKER_05
1648.65,1649.41,SPEAKER_03
1650.05,1655.03,SPEAKER_03
1655.03,1656.45,SPEAKER_02
1664.97,1665.04,SPEAKER_02
1684.95,1685.84,SPEAKER_02
1688.05,1688.07,SPEAKER_02
1688.07,1689.76,SPEAKER_06
1689.76,1689.78,SPEAKER_02
1690.62,1692.32,SPEAKER_03
1692.73,1693.03,SPEAKER_06
1693.03,1693.54,SPEAKER_02
1693.74,1695.34,SPEAKER_02
1762.96,1782.87,SPEAKER_06
1783.16,1794.42,SPEAKER_06
1794.94,1807.33,SPEAKER_06
1807.56,1814.45,SPEAKER_06
1814.92,1816.37,SPEAKER_06
1817.01,1817.67,SPEAKER_06
1818.14,1833.58,SPEAKER_06
1833.85,1876.4,SPEAKER_06
1876.94,1878.34,SPEAKER_06
1878.45,1937.96,SPEAKER_06
1938.45,1947.93,SPEAKER_06
1948.05,1961.78,SPEAKER_06
1961.97,2003.48,SPEAKER_06
2003.77,2012.37,SPEAKER_06
2012.53,2052.27,SPEAKER_06
2052.35,2092.4,SPEAKER_06
2092.97,2093.44,SPEAKER_06
2094.13,2127.73,SPEAKER_06
2130.15,2146.77,SPEAKER_00
2146.95,2147.41,SPEAKER_00
2147.41,2147.43,SPEAKER_06
2147.48,2147.64,SPEAKER_06
2147.71,2184.92,SPEAKER_06
2185.44,2212.31,SPEAKER_06
2212.43,2258.55,SPEAKER_06
2260.07,2267.64,SPEAKER_03
2268.13,2269.03,SPEAKER_03
2269.03,2269.62,SPEAKER_02
2269.62,2269.68,SPEAKER_03
2304.77,2307.97,SPEAKER_02
2307.97,2308.02,SPEAKER_04
2308.02,2308.14,SPEAKER_02
2308.14,2308.21,SPEAKER_04
2309.27,2309.29,SPEAKER_03
2309.29,2309.97,SPEAKER_02
2309.97,2310.03,SPEAKER_03
2310.03,2310.98,SPEAKER_02
2310.98,2311.03,SPEAKER_03
2311.03,2311.52,SPEAKER_02
2311.52,2311.53,SPEAKER_03
2311.53,2311.97,SPEAKER_02
2311.97,2312.02,SPEAKER_03
2312.02,2313.29,SPEAKER_02
2314.3,2314.54,SPEAKER_02
2317.86,2318.03,SPEAKER_02
2321.71,2322.01,SPEAKER_02
2349.25,2350.97,SPEAKER_02
2350.97,2401.97,SPEAKER_04
2402.31,2470.14,SPEAKER_04
2470.26,2520.62,SPEAKER_04
2520.84,2526.71,SPEAKER_04
2527.18,2610.98,SPEAKER_04
2611.22,2664.76,SPEAKER_04
