start,end,text
0.0,7.56," All right, let us welcome the Prime Minister to begin the debate."
7.56,8.04," Here, here."
11.46,12.88, So thank you very much.
13.28,16.0," Just to reiterate, my POI preferences are in the chat, please."
16.08,16.68," And yes, thank you."
16.72,17.62, I can see you put that there.
18.44,18.88, All right.
19.58,29.12," Starting my speech, assuming that I'm audible in three two one when fidel castro nationalized the cuban sugar"
29.12,37.44, industry it decimated that industry for decades to come it crippled the cuban economy we would never
37.44,46.72, stand for depriving nations of their development we would always privatize two questions in setup the first is what do we support we
46.72,51.52, support selling these state-owned enterprises to private companies on an open market to the highest
51.52,56.16, bidder for those companies additionally we were happy to break up those companies and sell parts
56.16,60.4, of them to different private companies depending on the way that auction process went the second
60.4,64.96, question in setup then what do these state-owned enterprises tend to look like we think they tend
64.96,66.84," to operate on a national scale,"
66.84,70.68, which means the government resources tend to be spread relatively thin across that nation.
70.96,74.64, They obviously operate on a large market because of this national scale.
74.92,77.04, They often look like companies such as utilities
77.24,80.52, or such as natural resources that operate on that large scale.
80.76,84.08, The last note is that they are not for profit because they are run by governments.
84.32,88.6," Note that that is not necessarily by choice as we think the governments, even if they wanted to,"
88.92,92.8, couldn't necessarily make a profit out of these companies if they were trying because of the way
92.8,96.66," that they are run. But nevertheless, they are usually not run for the purpose of generating"
96.66,101.42, profit. The first point of substantive I will bring you is why we boost public services in
101.42,109.28," this move to privatized. It's important to note that when we sell these estate-owned enterprises, we think those sales would be lucrative. There's several reasons for"
109.28,114.96, this. The first is that there is a guaranteed market for this particular company because that
114.96,118.72," company exists already. That meant there was a certainty for whatever the buyer was, they would"
118.72,122.6," make profit. Secondly, there was established infrastructure that allowed this company to"
122.6,126.02, operate already. The mines were already built for that extraction company.
126.26,128.5, The pipes were already in the ground for that utility company.
128.94,133.36," Thirdly, they had a very low barrier to entry in this market because it only required them"
133.36,134.96, to buy the company that was now for sale.
135.18,138.34," That was a relatively easy decision, particularly with all these factors in place."
138.8,141.74," Fourthly, we think that private companies could easily see that there was a large amount"
141.74,147.5, of room for improvement at these companies when they were run by governments and they had to deal with a series of government bureaucracies and
147.5,151.58, challenges that came along with that we think it also meant that they probably had the ability for
151.58,155.66, example to export minerals to foreign countries where governments wouldn't and the ability to
155.66,160.22, maximize efficiency in that situation of government bureaucracy we think that meant there was a
160.22,164.66, competitive market for these companies that meant there were high bids we were always going to make
164.66,169.16," a lot of money for the government out of this sale. When the government was receiving millions,"
169.28,173.5," if not billions of dollars for these companies to be bought by other private corporations,"
173.78,179.28," as well as not spending any more money on the upkeep, maintenance and administration of this"
179.28,183.12," state-owned enterprise as they do in the status quo, they were going to have a large amount of"
183.12,188.4, money that they could then repurpose. What do we think the government then was likely to do with that money? We think they
188.4,192.16, were likely to direct that to the remaining provisions that they were doing as a government.
192.68,197.06," In our best case scenario, we think that looked like public services because they no longer have"
197.06,201.26, these state-owned enterprises to divert that money to because there's public pressure that
201.26,207.34, is likely to continue spending money that is currently being allocated on public services on more public services.
207.34,211.04, And also purely because the electoral incentives of the fact that it looks good when they can
211.04,214.64, say that they are spending money on services that people can benefit from and that people
214.64,215.64, can use.
215.64,219.72," You could not underestimate the impact of this within the debate, because it's meant"
219.72,224.28," that there was more money going to services like health, like education, like social safety"
224.28,229.2," nets that meant the people within these developing nations would live ultimately better, safer and healthier lives."
229.2,233.04, That was enormously important and something we could only achieve when we privatize these
233.04,237.6, industries. Even if it was just other government spending and investment that they did with this
237.6,242.16," money, that's still like building infrastructure, that's still like increasing the overall spending"
