start,end,speaker
20.7,21.51,SPEAKER_07
24.53,25.11,SPEAKER_07
25.38,30.03,SPEAKER_07
34.74,37.04,SPEAKER_07
42.37,42.91,SPEAKER_07
43.94,46.93,SPEAKER_07
58.81,59.03,SPEAKER_07
59.03,290.72,SPEAKER_01
284.37,285.05,SPEAKER_07
291.75,304.62,SPEAKER_00
303.09,304.29,SPEAKER_01
304.3,337.7,SPEAKER_01
337.72,481.83,SPEAKER_01
458.76,459.44,SPEAKER_07
481.59,481.61,SPEAKER_06
481.61,482.22,SPEAKER_07
482.55,544.55,SPEAKER_01
547.14,547.51,SPEAKER_07
574.61,575.35,SPEAKER_07
578.25,578.71,SPEAKER_07
579.0,583.79,SPEAKER_07
586.52,586.54,SPEAKER_02
586.54,587.64,SPEAKER_07
592.24,592.68,SPEAKER_07
604.78,606.03,SPEAKER_07
606.03,654.0,SPEAKER_02
654.04,673.31,SPEAKER_02
672.96,673.29,SPEAKER_07
673.31,673.87,SPEAKER_07
673.87,824.17,SPEAKER_02
826.23,834.82,SPEAKER_03
836.0,1080.98,SPEAKER_02
1080.98,1081.31,SPEAKER_07
1084.82,1085.18,SPEAKER_07
1111.71,1112.48,SPEAKER_07
1114.81,1120.02,SPEAKER_07
1141.05,1142.99,SPEAKER_07
1144.59,1145.51,SPEAKER_07
1158.89,1160.04,SPEAKER_07
1160.04,1164.36,SPEAKER_04
1164.52,1177.7,SPEAKER_04
1177.86,1274.85,SPEAKER_04
1275.31,1322.17,SPEAKER_04
1322.34,1356.95,SPEAKER_04
1357.52,1423.02,SPEAKER_04
1370.58,1370.97,SPEAKER_01
1370.97,1371.14,SPEAKER_02
1423.02,1423.03,SPEAKER_02
1423.62,1424.03,SPEAKER_04
1424.03,1424.82,SPEAKER_02
1425.55,1436.95,SPEAKER_02
1437.9,1438.96,SPEAKER_02
1438.96,1453.69,SPEAKER_04
1454.08,1651.18,SPEAKER_04
1651.18,1651.2,SPEAKER_07
1653.27,1653.73,SPEAKER_07
1671.11,1672.02,SPEAKER_07
1672.02,1681.27,SPEAKER_05
1681.52,1682.08,SPEAKER_05
1682.08,1682.1,SPEAKER_07
1683.78,1683.8,SPEAKER_05
1683.8,1685.25,SPEAKER_07
1688.93,1689.05,SPEAKER_06
1691.7,1693.03,SPEAKER_07
1693.03,1698.8,SPEAKER_05
1700.78,1705.33,SPEAKER_00
1709.22,1731.07,SPEAKER_00
1731.32,1735.54,SPEAKER_00
1736.77,1750.07,SPEAKER_00
1751.07,1751.64,SPEAKER_00
1751.72,1777.04,SPEAKER_00
1777.44,1778.07,SPEAKER_00
1778.47,1804.56,SPEAKER_00
1785.64,1785.95,SPEAKER_06
1785.95,1786.35,SPEAKER_01
1791.7,1791.8,SPEAKER_01
1791.82,1791.84,SPEAKER_06
1791.84,1791.85,SPEAKER_01
1805.07,1811.88,SPEAKER_00
1812.39,1831.24,SPEAKER_00
1830.83,1831.09,SPEAKER_01
1831.58,1883.91,SPEAKER_00
1841.82,1842.31,SPEAKER_01
1856.72,1856.79,SPEAKER_01
1856.82,1856.84,SPEAKER_01
1885.1,1885.29,SPEAKER_04
1885.63,1893.34,SPEAKER_04
1893.71,1895.09,SPEAKER_04
1895.36,2008.56,SPEAKER_00
1899.57,1899.89,SPEAKER_04
1950.34,1951.35,SPEAKER_01
1992.19,1992.28,SPEAKER_06
1992.28,1992.38,SPEAKER_01
2009.03,2053.63,SPEAKER_00
2035.38,2035.41,SPEAKER_06
2051.66,2052.3,SPEAKER_01
2053.99,2092.51,SPEAKER_00
2091.13,2091.97,SPEAKER_06
2091.97,2092.14,SPEAKER_01
2092.94,2126.7,SPEAKER_00
2111.4,2112.04,SPEAKER_01
2127.33,2132.69,SPEAKER_00
2132.88,2200.97,SPEAKER_00
2200.97,2201.71,SPEAKER_07
2206.2,2206.52,SPEAKER_07
2231.04,2231.83,SPEAKER_07
2234.69,2239.23,SPEAKER_07
2242.31,2243.41,SPEAKER_07
2245.74,2246.21,SPEAKER_07
2252.0,2253.03,SPEAKER_07
2253.03,2261.26,SPEAKER_03
2261.47,2263.26,SPEAKER_03
2263.37,2267.49,SPEAKER_03
2267.68,2309.95,SPEAKER_03
2310.03,2377.74,SPEAKER_03
2378.31,2388.08,SPEAKER_03
2388.27,2398.49,SPEAKER_03
2399.03,2411.47,SPEAKER_03
2411.57,2505.19,SPEAKER_03
2457.33,2457.72,SPEAKER_00
2475.12,2475.71,SPEAKER_00
2501.28,2501.29,SPEAKER_07
2501.29,2501.9,SPEAKER_00
2501.9,2501.92,SPEAKER_07
2506.61,2518.57,SPEAKER_00
2519.2,2608.5,SPEAKER_03
2608.82,2752.77,SPEAKER_03
2634.1,2634.64,SPEAKER_07
2756.17,2756.33,SPEAKER_07
2774.21,2775.02,SPEAKER_07
2777.99,2778.55,SPEAKER_07
2778.6,2780.49,SPEAKER_07
2780.63,2783.55,SPEAKER_07
2790.09,2792.17,SPEAKER_07
2793.81,2794.89,SPEAKER_07
2802.58,2804.03,SPEAKER_07
2804.03,2931.02,SPEAKER_01
2931.22,3055.89,SPEAKER_01
3058.15,3058.54,SPEAKER_07
3066.94,3067.79,SPEAKER_07
3070.23,3070.86,SPEAKER_07
3071.2,3077.02,SPEAKER_07
3087.36,3089.17,SPEAKER_07
3090.1,3090.15,SPEAKER_07
3090.15,3119.46,SPEAKER_02
3119.49,3127.56,SPEAKER_02
3127.85,3137.33,SPEAKER_02
3137.58,3315.29,SPEAKER_02
3318.04,3321.15,SPEAKER_05
3321.66,3325.6,SPEAKER_05
3326.18,3330.38,SPEAKER_05
