start,end,text
0.0,30.0, Thank you. Judge is all set. Excellent. We thank the speaker for their speech and I'll call upon the first speaker of the opposition to deliver the text.
34.0,37.0," Hi, can I be seen and heard?"
42.0,43.0, Thank you.
43.0,46.84," I would prefer verbal POI, so please unmute and ask."
58.66,63.36," Proposition tries to clarify what this debate is about, but unfortunately doesn't do their basic"
63.36,69.6," job of characterizing state-owned enterprises, so I'm going to have to do their job for them. Let's be very clear"
69.6,75.28," where state-owned enterprises operate. First, the industries they operate in are not fields that"
75.28,80.12," require extensive innovation, like science or medicine. And that's because most governments"
80.12,89.48," know that companies are better equipped to do that, especially developing nations where R&D is expensive. That's why most state-owned enterprises today exist in sectors"
89.48,95.24," like utilities and the airline industry, industries where needed technology and materials are already"
95.24,99.74," available. Crucially, these are also often industries with some potential for profit,"
99.74,105.8, but importantly have a strong connection to public welfare in the case of gas and electricity.
109.7,115.1, What is our stance? We believe that developing countries should not privatize their state-owned enterprises. This means that governments are directly held responsible and seen as responsible
115.1,119.38, for the actions of the enterprise. It could include whether people in rural parts of the
119.38,125.48, country can access electricity and whether flights are safe and affordable. Two arguments in this speech.
125.88,130.54," First, state-owned enterprises avert market failure. Second, state-owned enterprises enable"
130.54,134.86, democratic trade-offs. My second speaker will explain how they increase corporate influence
134.86,140.84," in politics. Before that, some rebuttal. First, on their model, they say, and this is their only"
140.84,146.8," caveat, they're going to regulate companies. First, they're very, very vague about what this regulation is."
146.96,149.12, What exactly do they try to prevent?
149.12,150.6, How are they going to enforce it?
150.6,153.36, How much money are they going to put into this kind of regulation?
153.56,155.04, They need to give us more detail.
155.04,157.84," Otherwise, this caveat is meaningless for their case."
158.08,161.48, But the fact that they included this caveat suggests that they know
161.56,164.88, and they are scared of the fact there's a risk of corporate exploitation.
165.26,170.34, I will explain in my argument why regulation will inevitably fail to prevent that. But just note
170.34,174.94," that their POI concession, that they're going to open the market up to foreign corporations,"
175.42,181.18, makes regulation infinitely harder on their side when foreign MNCs that are based elsewhere operate
181.18,190.04," within your market and have huge financial clout. More on that in the argument. Second, and this is their first argument, they say state-owned enterprises cannot be declared"
190.04,194.0," bankrupt and therefore they're highly inefficient because they'll be bailed out by states, whereas"
194.0,199.9," competition between private companies lowers costs. First, the fixed costs of many of these industries"
199.9,205.04," are high. For instance, running an electrical grid involves an enormous amount of cost that"
205.04,210.52, no company would take up unless they're guaranteed access to the whole market. They thus can't have
210.52,215.88, multiple companies competing because the costs are so high that no company will enter it otherwise.
216.6,220.94," Second, states have incentives to avoid running up high debts because this would be political"
220.94,231.22," suicide because it means the tab must be picked up by voters, and generally there's huge concern about debt in many governments. Next they say,"
231.52,236.38," governments are short-termist, which will lead to poor business decisions. This is uncomparative."
237.1,241.7," Shareholders are far more short-termist, because they want to maximize returns in the immediate"
241.7,245.52, term. Because guess what? putting your money in a foreign
